row_id,lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
1,2.088,6.0,6960.18,1376.166,6828.469,28.204,28.204,635.401,581.658,1.331,7.282,1.019,10.655,0.287,0.95
3,4.161,12.0,14724.395,1547.465,7792.63,113.774,113.774,661.471,613.851,1.658,9.007,1.022,18.109,0.358,0.95
8,9.3,27.0,72763.329,3560.395,9778.528,644.905,644.905,1115.797,789.094,4.498,22.811,1.049,92.556,1.832,0.95
21,4.161,12.0,14724.616,1547.466,7796.657,113.801,113.801,659.666,613.524,1.657,8.989,1.022,18.023,0.357,0.95
32,6.175,18.0,29793.658,2307.365,8831.471,246.288,246.288,797.037,675.718,2.5,13.315,1.03,35.54,0.704,0.95
54,1.138,3.0,2951.927,1417.178,6740.109,11.583,11.583,538.322,564.943,1.207,6.528,1.019,0.0,0.162,0.95
63,1.138,3.0,3774.812,1418.886,6744.353,11.699,11.699,562.543,568.684,1.236,6.688,1.019,0.0,0.191,0.95
65,3.144,9.0,8379.928,1386.761,7129.934,60.365,60.365,600.208,586.536,1.388,7.522,1.02,12.847,0.254,0.95
66,4.161,12.0,14725.068,1547.47,7806.748,113.794,113.794,655.19,612.71,1.656,8.943,1.022,17.809,0.353,0.95
77,6.175,18.0,29795.241,2307.311,8836.655,246.255,246.255,791.444,674.599,2.499,13.246,1.03,35.176,0.696,0.95
79,8.206,24.0,50997.94,3087.634,9321.484,438.004,438.004,943.809,740.467,3.569,18.461,1.041,61.664,1.221,0.95
84,4.161,12.0,14725.17,1547.471,7810.79,113.792,113.792,653.415,612.387,1.656,8.925,1.022,17.724,0.351,0.95
87,7.148,21.0,38978.773,2678.088,9136.933,332.181,332.181,845.431,698.392,2.958,15.524,1.035,45.15,0.894,0.95
95,6.175,18.0,29795.876,2307.294,8838.727,246.256,246.256,789.231,674.155,2.498,13.218,1.03,35.031,0.694,0.95
103,5.14,15.0,21638.498,1924.331,8504.847,175.3,175.3,720.631,643.627,2.075,11.071,1.026,25.754,0.51,0.95
111,4.161,12.0,14725.441,1547.473,7816.877,113.809,113.809,650.769,611.904,1.655,8.898,1.022,17.598,0.348,0.95
118,2.088,6.0,6169.829,1352.942,6847.342,23.94,23.94,609.547,576.425,1.301,7.037,1.019,21.312,0.267,0.95
122,6.175,18.0,29796.753,2307.27,8841.83,246.297,246.297,785.938,673.495,2.497,13.177,1.03,34.816,0.689,0.95
125,9.3,27.0,72773.589,3560.429,9788.5,645.021,645.021,1104.213,787.286,4.482,22.457,1.049,91.183,1.805,0.95
126,1.138,3.0,4893.243,1312.751,6695.191,5.598,5.598,615.36,570.584,1.249,6.769,1.019,33.173,0.278,0.95
130,5.14,15.0,21638.765,1924.338,8507.59,175.35,175.35,717.719,643.085,2.074,11.037,1.026,25.587,0.506,0.95
131,6.175,18.0,29797.061,2307.262,8842.865,246.305,246.305,784.846,673.276,2.496,13.164,1.03,34.745,0.688,0.95
137,3.144,9.0,8380.817,1386.766,7150.696,60.381,60.381,593.689,585.343,1.387,7.464,1.02,12.577,0.249,0.95
144,1.138,3.0,2639.688,1307.675,6694.715,5.304,5.304,551.016,560.64,1.177,6.346,1.019,32.625,0.204,0.95
148,5.14,15.0,21639.262,1924.341,8509.428,175.306,175.306,715.792,642.726,2.074,11.014,1.026,25.476,0.504,0.95
149,6.175,18.0,29797.514,2307.247,8844.927,246.284,246.284,782.673,672.84,2.496,13.137,1.03,34.602,0.685,0.95
154,2.088,6.0,5259.425,1346.166,6853.352,22.708,22.708,583.693,572.257,1.272,6.849,1.019,23.154,0.239,0.95
158,6.175,18.0,29797.827,2307.243,8845.964,246.326,246.326,781.591,672.623,2.495,13.123,1.03,34.532,0.684,0.95
163,2.088,6.0,5302.58,1346.313,6856.03,22.737,22.737,583.962,572.237,1.273,6.848,1.019,22.888,0.239,0.95
172,2.088,6.0,5179.159,1345.805,6858.196,22.643,22.643,579.983,571.677,1.269,6.824,1.019,23.23,0.235,0.95
175,5.14,15.0,21639.721,1924.347,8512.18,175.31,175.31,712.918,642.19,2.073,10.981,1.026,25.311,0.501,0.95
180,1.138,3.0,314.48,1349.466,6728.353,7.553,7.553,451.45,547.742,1.096,5.843,1.019,4.567,0.071,0.95
184,5.14,15.0,21639.876,1924.349,8513.098,175.327,175.327,711.965,642.012,2.073,10.97,1.026,25.256,0.5,0.95
187,8.206,24.0,50995.647,3087.591,9325.777,438.073,438.073,931.663,738.583,3.558,18.209,1.041,60.524,1.198,0.95
191,3.144,9.0,8381.37,1386.77,7166.289,60.382,60.382,588.87,584.453,1.386,7.422,1.02,12.377,0.245,0.95
209,3.144,9.0,8381.606,1386.771,7171.496,60.384,60.384,587.277,584.157,1.386,7.407,1.02,12.311,0.244,0.95
220,5.14,15.0,21640.355,1924.357,8516.768,175.338,175.338,708.176,641.303,2.072,10.926,1.026,25.038,0.496,0.95
227,3.144,9.0,8381.818,1386.772,7176.703,60.388,60.388,585.691,583.862,1.386,7.393,1.02,12.244,0.242,0.95
232,8.206,24.0,50994.522,3087.557,9327.756,437.951,437.951,926.629,737.842,3.554,18.108,1.041,60.053,1.189,0.95
234,1.138,3.0,395.648,1331.563,6663.587,6.59,6.59,477.697,551.149,1.099,5.976,1.019,17.188,0.105,0.951
