source_row,input_group_sha256,partition
0,15f570f011e2f42c6adb40330d35d0d48eb9e0bb33787daa2a89e15e4865f145,train
1,1061414e9b39a8161977fa15b6cd12fbb5dfbddf87968df691b932a81b20dc6c,train
2,46b017f5d35477a59e7685014a0029d82a5df094d308f62b873f6dc5e7dac44f,train
3,00f03269910f857a48d7bfa94c09328398fa1ff0fc41eb63c6cdf7adb30f9f98,selection
4,15f570f011e2f42c6adb40330d35d0d48eb9e0bb33787daa2a89e15e4865f145,train
5,490071a02c073cbb988c6c39b1f30cb011b168bd51b3a0c9fdee4a10e29b4417,train
6,afb8cfd62fbdd50cbffde89b8ad22afe7188ad10171e7eb38d6f79ca56a6ba29,selection
7,845b2cc81e50ea9647f5cd861aec941a6ceba3c880a421ee5e7cb7c5c00839b4,train
8,98bfa30d1122e90ff5b07c85d0992a1636466f5ef862795245e4087069a7e06b,train
9,4c45a64fbaf1130cb822b822366c84ca7d1cad6ef0366fcccedb335a91145869,selection
10,480a42e81765569043974bab9756ffe189e5958177d85630bfcb0d4bdbbd4ae3,selection
11,4c45a64fbaf1130cb822b822366c84ca7d1cad6ef0366fcccedb335a91145869,selection
12,41009d15eaeac39fdc7969c55a26729e0c0705c267865dc9aa78ceba3cd7cbb0,train
13,27d7c1dd6d6aa6c17c240b85fbc45fa24b1242547ee5a4bbe21ea3065a299b16,final
14,e77cae922397246def59e74b92e5023597b1a05f3c52fd1198c851f72768645f,final
15,e42b8ee8d4e287bc17d0d5a77a54d3bb5a9a01c9b3ec3e1040a15604419539c8,train
16,468f479acc566c127b33c40607f7f9bb7b18ccc903455e0d801a7660da04457f,train
17,f6d266897aac7b7a9a6fff622960bab5e44d76d194ebdb98a805f88a27a4fc88,train
18,41abac449801d762be9e79f358be19a32b5a82b78e89e8cfda0158a43bc4bfe0,train
19,7046c2e98bc90d9a34ce7565986c5fda4a5a09f36b8fb8e81ce0c08f1da45582,train
20,e50b22ded0732519a09bd3dabe0b0163e818dafc25411b28fcc48306281f65c0,train
21,0b66a1c16d1bc1394c7a825a903edb52e41fb8c16e75d03be91c61c21159e605,final
22,e30d5d475326bc577250edd5d69c9a356adb9b65efe2d3cdc8fb2f5496a1cc3c,train
23,4455ed2947c3e2ffca36934dae52da6f5cccf0ac7416c3ebce6f5f1f3c4a7b6a,train
24,05b2a024fc75202dd15b5957a55863357743928e7c872c0797d168863352f847,train
25,46f034d2f460dff727c6226ba5e2346dcf96db7ebc42636741225d6f419bd6cc,train
26,e3a61761f711634d3c6ed0b89d0288901315567b6ce8a4cbf44bac38656df3ce,train
27,e30d5d475326bc577250edd5d69c9a356adb9b65efe2d3cdc8fb2f5496a1cc3c,train
28,b45d9d8f2fc2dd13d234e38acbc436a9752b0c649bb397896aaaf15fea97e431,selection
29,a0e2590df4dd39d0e26aa903d0f81310b89dfbb2f38705002986a17dc2d5cccf,selection
30,57e533751dbd9df1d141f3505b2b956b2b7cc4e9f0bc9e21cc83ef998a68e9d6,final
31,4338dc9c4c06a9e65576e0b6e2cae1c45b65715f7b95d302cc0420adf2ac64e0,train
32,80cf62cff24ee3d62a5fb00f998f3fb1e57d03ff4119ecfd88542e4806a71c59,train
33,42813899914311c68e2f4e4cf5568305706620a673766965cce967e558b93692,final
34,1d8e756911316c6d7391d4ff1751bcc326bbb409534c8ceab62c40ae9e0fda73,train
35,edd3e2a3a26167cc0fc24e09cd18603607b83ef985d399826789b7830c4f290e,final
36,4c71e34fdc985c762ac223632e59014805026001fc7f61f8a0f333db9e0c449c,selection
37,51d33b191ea4390600f286112099e809fbbc9adf0fee67b8ee7b15a04b1071e0,train
38,4aea88e5bfe0f688cc12a1655eafead44fa43f37e11b781691ee7237c6b08d9c,selection
39,4ce61ee20ad9fe41519910296df30208972bd25e0d662da63396eb61cb526325,final
40,4ce61ee20ad9fe41519910296df30208972bd25e0d662da63396eb61cb526325,final
41,8fed66a3083bdcfd235f900a9735946019fcb538b5852243f4775bd18d3d141f,train
42,29aece572a471fb1d742c6dc6e2b6dd2a7bccdc547d793e172e2befd0a064a58,train
43,bebc83cec63ea84ca7afeb3abd3b4b3aa6b6499380a058e9cbefe51210afc506,final
44,0e07ad2ac62333ba6cd25a6ceea661ceef9ab6abe3f4f4356ddf285aba7adb94,final
45,4463ec88ffa66ba50bc3595563efdf80a646c0659cc7a07105ff06c2d398799e,final
46,b22c5f715bfb2d87adbff2b59a6add9bba3e09f8db1eab79ddcdf85986b81eed,final
47,8df8b345aacb7d9daa540989eff7de4e1bd0316218aa34c6f3139397c9330d11,train
48,2060e3a3ec1db3d9f3222e67b6687b2c8b21d279a920b4c559f3ea7ab8ffa1f1,selection
49,6131651f5bf08484977e6ff9e7bdadde86fc855f162d54ff06b145b2321eb1b8,train
50,70163b82cda2a1613896c0e50dc3bf03785577844554a17829a28c6ff8c8c61c,train
51,c1936b37daf412ecaf754da0a09a5ddc86dd9ee3c9e33880c012663e1503a901,train
52,c9b4eda5e061b32bc294b6f36bbce016b9ce10ab648f71b16c646f25df06e40b,selection
53,148741a7898a999d1b140cb656fad331be97cb7bde52be1f259b24cecfd197f9,train
54,e0ecc7ec01c105fcee6b13bbecb8172cde84f005453c0c371dc01fdc51570f81,train
55,831867b3a476ba1083ddf2bf4effc403ee785e8090c72a134e62b4cadd83a59b,train
56,1c2ccfa195eb324c027337c5357d75bdee2b5fb1b5b400ab859238b25b38a1ba,train
57,b765b0e9d401aa769d96046bf35d66795061c4c0577fb6338a04ee1d8315ca00,train
58,d49dcbe021557c5eea204c194387ccf9d0b691971deb0a074d6c6454ebf98e7d,train
59,4c46019edf3bb629b2ec54539c7f2401efd82ebb6cf6b7ba6a44255f79dea9fd,train
60,007924a6a584db9efa718801b9a55e41669fd45f1eccb7f29f10424949ad6c64,selection
61,a063794482d2e95470cdd513ee36e12d168bba61f5bbef70302a440ee3193dcf,train
62,7864d8e073ae7afd92336ffb3505ca48315bc001196f2b7489f5dc4af7ed047e,train
63,7e5a7706ee954ede7ea5b557cf59ca328b8c9fb266ba969541f625540ffb48f4,train
64,bcfe8a272d4c73870eceb9d54591d21c289b14bcb033cd9eb0d613318663f271,train
65,bcfe8a272d4c73870eceb9d54591d21c289b14bcb033cd9eb0d613318663f271,train
66,424182c982e46fc18bf46c01849ed9ebe54abf7950ae7897645a563f9415ccd8,train
67,bc0b0990a7d8eec3659451c107ebd7d2f7e620004bd13314205dfe2ed6de79d1,train
68,5cfeed1be696d28ae7602ff1c6bfe417e897a9258dbd503157ca022d4a4b7756,train
69,36b9c183ec511a75eda67321c4c5e94e00cd9a8882e56843d9598030703b393d,train
70,6dd9f0ae7d9ab388b9e403e678a7c7e975774c21209a9492afa0336f1989b78c,train
71,7f2cea40a56643fecde56e171e4f9b2bf35fbd7b08aeed83f0e12d9a9015a25f,final
72,203da2684e34b2e542d788aa0f9026c9afef3216adca7840737e2337131b28a5,final
73,fd99e47fa1a34cd47287e8ca6d61356ae108025f8fba931c3e18cb4137adee30,train
74,a091fd68b5280ad79dc7c425ea362f0789962a5f3bbfd5b4ebc082fc01579e58,train
75,8fdd962ce7468b68364ac96c79dee6ebb717794728027ecc8928b2b9b0293583,train
76,8fdd962ce7468b68364ac96c79dee6ebb717794728027ecc8928b2b9b0293583,train
77,8a14adec2b5ef7ee5c064c964e249f83388f7f55d3bfafdfd40a172ce3b1ed1c,train
78,14405e9604441db94cdc5d94cafd9091e0478d567e1a588d79c488c931bc12ed,train
