row_id,tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab
6,6.71016636762265,3.76520418352323,6.92931443867021,8.81856192345691,2.39741922937942,-0.614589561907959,-1.20882589139371,-0.574003776077751,0.177889561089242,0.397976580119618,0.402045952122677,0.376630279179848,0.0059535705684696
13,8.55159820963844,8.31495222344878,2.54996382964303,9.92680728110744,4.89171373543719,-1.80862626682759,-1.16706123460778,-1.91602623400182,0.612403529208615,0.280982857520184,0.354342487890125,0.472192077743488,0.0277556924227216
20,8.67689455715097,5.58332528932482,4.92540189980591,7.3562122896724,2.82824733012091,-1.39673198846508,-0.929289557595819,-0.50222578406001,0.595003445440603,0.983650729391923,0.245571184843254,0.454155494134516,0.0624905100491812
33,9.93605035330734,4.40654158307195,6.82548256598869,4.8551365943656,4.14953397785072,-0.962996982034028,-1.49164510923186,-1.69489188658483,0.955617589180665,0.787557445555592,0.667851721721907,0.637185671909518,0.0761082548827678
36,7.21296752386029,3.81571985705203,8.8662079819718,6.51775706954577,2.79640021715211,-1.65246484248331,-0.54715133397677,-0.59678404069203,0.417993053623149,0.0585230182504177,0.578285993986588,0.314434099510369,0.0220062433915864
40,8.23421911818654,8.83525617171532,1.59934544876611,7.62040103067845,3.98096002530882,-1.65465562641161,-0.600065552451671,-1.72623884644554,0.812149886893758,0.143850509502519,0.980108942415168,0.654095210241171,0.0253997260673886
54,6.74521435313124,3.12712312110038,3.92716530235617,7.7579885065924,3.4084593810428,-0.846231223281589,-0.688376810929726,-1.87385134683148,0.757866706937889,0.832285770962534,0.379493541632433,0.242668907494299,0.0354861064637626
60,3.9898504245833,9.54598877757237,1.2191374458245,7.3544582501001,3.96510089760722,-0.58725894994745,-1.54570456996384,-1.83213737769593,0.442927870360343,0.612155473810246,0.304396707586088,0.199837425156209,-0.00918522652713323
68,4.77900506510407,6.96474261608614,5.5673134308132,5.55193787832241,2.98653539631521,-1.40493121960037,-0.573671433478384,-1.00793274323646,0.380299484792562,0.187899833853611,0.457856900065247,0.376601651037559,0.0107949107472528
74,2.93603874711486,3.84992606003302,0.637752898140065,9.265647001861,3.4604671198218,-1.52500460288171,-1.38395502183858,-0.551507495101506,0.745966779826792,0.90332361958275,0.0813262773435086,0.737205263915008,0.0113206563615662
84,9.80031816256616,3.37201924142352,5.05658223732158,6.08954586235986,4.08755294039729,-0.749788068774261,-1.50244434315665,-1.83532052846638,0.280766778887248,0.351242119335179,0.450951085453555,0.809877268810547,0.0307947425175272
93,0.867087833116122,2.80053402861336,9.07275242759945,5.53638845811707,4.22868871041747,-1.23513606876137,-1.03781194834062,-1.95574069331548,0.752231120026072,0.623179662534828,0.608407919176042,0.363984723192651,-0.0200850573678023
