contrast,task,kind,child_status,parent_status,child_native_score,parent_native_score,loss_difference
harness-minus-parent,6,classification,success,success,0.8800068749038723,0.8800068749038723,0.0
harness-minus-parent,23,classification,success,success,0.5145923982241117,0.5396308721116905,0.025038473887578683
harness-minus-parent,31,classification,success,success,0.7097399635036497,0.7029539233576643,-0.006786040145985384
harness-minus-parent,361235,regression,success,success,1.4514400626990451,1.4514400626990451,0.0
harness-minus-parent,361237,regression,success,success,4.107390697909863,4.107390697909863,0.0
harness-minus-parent,361247,regression,success,success,0.0009974447902358,0.0009974447902358,0.0
updater-minus-harness,6,classification,success,success,0.8800068749038723,0.8800068749038723,0.0
updater-minus-harness,23,classification,success,success,0.5486819233622303,0.5145923982241117,-0.034089525138118526
updater-minus-harness,31,classification,success,success,0.7029539233576643,0.7097399635036497,0.006786040145985384
updater-minus-harness,361235,regression,success,success,1.4514400626990451,1.4514400626990451,0.0
updater-minus-harness,361237,regression,success,success,3.738153886317409,4.107390697909863,-0.028756772172234935
updater-minus-harness,361247,regression,success,success,0.0009974447902358,0.0009974447902358,0.0
memory-minus-fixed,6,classification,success,success,0.8940037772040041,0.8940037772040041,0.0
memory-minus-fixed,23,classification,success,success,0.5486819233622303,0.5145923982241117,-0.034089525138118526
memory-minus-fixed,31,classification,success,success,0.7144160583941606,0.7144160583941606,0.0
memory-minus-fixed,361235,regression,success,success,1.4514400626990451,1.1972552498009554,0.04703724137084778
memory-minus-fixed,361237,regression,success,success,3.738153886317409,3.111242577131938,0.04882488723887729
memory-minus-fixed,361247,regression,success,success,0.000995966796875,0.00068447265625,0.024222724216699403
memory-minus-random,6,classification,success,success,0.8940037772040041,0.877528162574833,-0.016475614629171104
memory-minus-random,23,classification,success,success,0.5486819233622303,0.5369367773459844,-0.011745146016245822
memory-minus-random,31,classification,success,success,0.7144160583941606,0.7144160583941606,0.0
memory-minus-random,361235,regression,success,success,1.4514400626990451,1.4514400626990451,0.0
memory-minus-random,361237,regression,success,success,3.738153886317409,4.107390697909863,-0.028756772172234935
memory-minus-random,361247,regression,success,success,0.000995966796875,0.000995966796875,0.0
