task,kind,arm,step,round,template,factor,parent_step,reason,skill_sha256,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score
6,classification,fixed,6,1,base:rbf-10,1.0,0,fixed conventional portfolio,06dcb70f74303df1259c31f0f42488557ee4db41853cb80231e26c17b1119d2f,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5,success,0,1.9558571000234224,0.0054970891006213,0.1007769350232427,0.8992230649767573
6,classification,random,2,0,base:extra-trees,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7,success,0,2.095497499976773,0.0,0.1041478712822041,0.8958521287177958
6,classification,memory,8,1,base:rbf-10,1.0,0,frozen global-rank experience,40e36d64128be8ed7cff4006500dcfbf6009edbb097f98c1682b7b666e1dba29,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5,success,0,2.2240667000005487,0.0054970891006213,0.1007769350232427,0.8992230649767573
6,classification,parent,6,1,base:extra-trees,3.0,2,higher-capacity local branch,774a6663ee5890c801c2bea8419118d3caa10157ac1f6299aae2daf9944acdf9,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3,success,0,1.919707599998219,0.0,0.103019955604241,0.896980044395759
6,classification,harness,6,1,base:extra-trees,3.0,2,higher-capacity local branch,e69403c247df4103131d68c3620aabe4cf804bc2d4741f62c5d404e31401b061,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3,success,0,1.925528799998574,0.0,0.103019955604241,0.896980044395759
6,classification,updater,6,1,base:extra-trees,3.0,2,representation or local-capacity question,752848230b967401857ab97d256a6c66819db17ef8f86194b7db6cf94ca88afa,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3,success,0,1.9228724999993574,0.0,0.103019955604241,0.896980044395759
23,classification,random,6,1,two:unscaled-c100,3.3980193,0,seeded conventional random search,499aa7d5d0c59a0027a93ed1a4f161a01384bfd64f6ee73cc2f5b8fbe04acbb9,315d6a38397ed1a46df3d638c936aef49c6018d5481a90cddc070b3161ee34e1,success,0,1.9859915999986697,0.3976946289268396,0.4185190885383266,0.5814809114616734
23,classification,memory,6,1,two:unscaled-c100,1.0,0,frozen global-rank experience,1712858314bb69b3b777f3186d4acb1639dbccbbb9156ec9b3caa45f9306b895,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb,success,0,1.7947813000064343,0.4121940666947782,0.4115112650164594,0.5884887349835406
23,classification,parent,7,2,base:rbf-1,0.33,3,lower-capacity local branch,69dd24371b39e4650aff0096ebbb535e7a2e833f5276420a443228a0941d90b0,55c9a2ebb4011b80be7050d81c8c717029c15f98512fcb6cce51d87e001426f5,success,0,1.8359909999999218,0.396677779534753,0.4489658415629942,0.5510341584370058
23,classification,harness,3,0,base:rbf-1,1.0,0,common broad probe,3cb706fa7df7a4e53c9df1208b3e8316b8679be1304874efc158f74e6ee90640,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157,success,0,1.8530661000113469,0.341830504603275,0.458053952374845,0.541946047625155
