"path","type","sha","size"
".github","tree","e0d375100423372b1add84c8255512ca4410db5e",
".github/workflows","tree","22bdeb06811173a453b9e40f97134b301c6cc4d8",
".github/workflows/ci.yml","blob","8785f07f54864fc39a99615290cab71bb0edc48f","601"
".gitignore","blob","032d39449e4dbefe87de880db9b6ed864e2dba03","231"
"LICENSE","blob","8706413b14fcb5a275d543bf19593e9587fe5d92","4554"
"MANIFEST.in","blob","6210869a5502ff684c65e9320d3d083e636a4a5c","305"
"QUICKSTART.md","blob","183655639d829ad63b1107a2c25b191f57524498","4031"
"README.md","blob","2a0671c7783ea4ff7635ef2141fbb91d4c2d5743","9220"
"SECURITY.md","blob","180827cd68c43055c608a0c83460f985937c2c88","3263"
"assets","tree","ad0c43ce92395d3cb4d353fdf06a353c9ef8d746",
"assets/logos","tree","f4d57c2e22f7d3e91d265ec2c66a2ac43d98d711",
"assets/logos/logo-light-tricolor.jpg","blob","237a802de2fadc87c0b6cb5c51bc4dbdc59e0357","212532"
"assets/studio-conflicts.png","blob","8131ebb5d02c71f0ea6f684f42c930b6f67572c6","517180"
"assets/studio-demo.gif","blob","9ad0fc79eeb2f8b03503541a2f722d97221c4039","416966"
"assets/studio-diff.png","blob","39558656e21a2ed27e9d0898e7c38791e77c3dd8","538393"
"assets/studio-mutations.png","blob","40b3eef53b90a2c40728c2f5b5598c9e2705423c","445392"
"assets/studio-overview.png","blob","5acbefd6cb93f55401b3bd1d2bcca731a6c37edf","383060"
"assets/studio-preview.png","blob","2eb8577e9db3c1fbd775abb8c20b1244b7f524ea","413725"
"docs","tree","6d04b4dc29987055ec94bd7317ec4bec253b1eda",
"docs/README.md","blob","b3eec6805426c07ba8c4f941c77a401410e341e7","3076"
"docs/benchmarks.md","blob","57f7cdf1f350f3f67a11050aad0a53b157fd4484","1818"
"docs/concepts","tree","220d09b2b691e82217f0938b279fdab97f701b9b",
"docs/concepts/compensation.md","blob","dc1789cf64cdcb66a55bc3664c2accd739ccf219","2521"
"docs/concepts/crash-reconciliation.md","blob","1e9bded5bd5fb2bdde0e6006a8b3965d8dff2454","3056"
"docs/concepts/memory-consistency.md","blob","86872e8b0eddb241b9019e81b0755e3af9ca660e","1895"
