recipe,negative_count,raw_score,corrected_score,raw_prediction_sha256,corrected_prediction_sha256
boost-0,44,93.76683181002952,93.49084917236345,4c4e71205a67c9dbd25f319e2c73cb22f7568b0aebea974304621ca432b5b736,11021ff33bbb47904e7f832942f40808e1df48a1ae551fc0af079726639a9965
boost-1,35,91.7073960091397,91.44445534935208,5cd968cc48a02fbc1c150d56d902587997462138ee45bb65824ee614737623db,3fceafd27390b408323aad39046f2957e9710675dec706fee801f363c46cd566
boost-2,57,95.34542098381986,94.76056889035966,da98c0203a02a027cf851e6fc167854b42fd832b3a484a685f35ecbb1d1d9868,65cf8d94a7a5c20cebe304040ba0a992c2e95577fbc7fe1a6a6a00ed51905d27
boost-3,44,94.52042396149564,94.2250779190563,3e29227c3a3b3f551178c706edb09c95efc2c952838c100457cb430f4015519d,99f9364352d924ff1dc642c2e51995402209bb23d2f18c13a574075dae012ce7
boost-4,0,100.64073741324708,100.64073741324708,9e5fdfea2ab367cf3e76e492535df41760326d9ef55c8413de8f109439c8c09e,2dfcf08a2bae14e73351ac880db04c1980257eb403f59e1f5f5427c36bb37784
boost-5,0,100.9947040116772,100.99470401167719,7de549089c90983223a4270ca29d8eaa4d77bbc887a1e33cd6ec6008cf37b3bf,a2450e9a84a72000a489a6d38f067f56eafeb8819977030b2a62b2f9d95a0e23
boost-6,109,92.9160905023461,91.14433356804483,8a3d0162ea920ce82808f0d15bab362b4f50332baaec9f753f3a96aee0db1db8,bc3991b0a4c15bdf92dacd5b4ccfb726b7cbaf27645f2dda894b2b5f2375d5d7
boost-7,42,93.20776229104446,92.95563983851207,95009fc866fbcdb175f501f642d389cb8a79555270f92fd0b740ee9266b47ebc,c8ac173b47b39c8310c8bf14fe54e5f335597f80b975824aa7638d6e2c9ef90c
extra-0,0,87.1242578125,87.1242578125,761f8fafc5f36fa77219e721d15003c27334969f619fca5e3743529a41e4ddfc,dfcdd68cdc5ad84f4c80f7317673e91853653d1db6f7c940b0853fad73f6fdf6
extra-1,0,93.2849878937252,93.28498789372519,e278e0831df4525ee340d7e4c4eed54c26da42e1e90a0ad78b68390a19c6d199,de278df0c9de0325a0a463de2aac5ced67d3a7bc33e9052ac8f61b36659cf86f
extra-2,0,112.35098949091672,112.35098949091672,1b7acf95701e6e6c65cc1b1645086ea887a6c97741aad14c5437ff0dff1f84dd,8ee3442f1ac4a61fc49e69a1c2965b857346caecba55213355c15051c0752483
extra-3,0,115.42339018621765,115.42339018621766,ef57c39ff9fedac9d82d85224bc425b1bc1b6d4d590060c547c426cd2b9dfb87,8dd0710420b8a60010edaa7685fb2d8b4775353e19131e513dddfc69cdcde709
extra-4,0,129.27481141595035,129.27481141595035,b4bd048175b7abccd01a83e400f9ec8466567ee583be19068fea8a6231a191cc,54ca2b431abcf031a93727478d6a08d872a79db94a3c5790563f14239228645e
extra-5,0,131.32761255157155,131.32761255157155,edb4ccf67944766ee2cc4e6ddb1e66d3e44520b7d7376f9f4beb0fd7a7e3ad59,32636e920eb4c1351dc79f85599ed803c1cce6d6e1013c2a8ffd6b684e7a5144
extra-6,0,103.27020242656874,103.27020242656873,e3ebcfdca9249cf5cde5f986d4f4a10f9e39f3f134c4f350b9fe2e425ef8582f,a55eeb302cf822e46a0fea48cef1f6aaf00460300cb0012dd6f8d22d1bb619fe
extra-7,0,91.31671875,91.31671875,89a27526c9a300a5e6c7379d514798e5620ff3dc9c753850a81dcfba214da490,a3e7f93f7ab6ce14e503df511a7c062ab672050f813734a422ce704eb16d9c5e
