command,exit,wall_seconds
H0-bike-fit,0,1.6752197999999998
H0-bike-check,0,1.5294188999999998
H0-bike-report-1,0,0.05009900000000016
H0-bike-report-2,0,0.05064850000000024
H0-bike-report-3,0,0.049471300000000155
H1-bike-fit,0,1.6164075999999996
H1-bike-check,0,1.5117101999999996
H1-bike-report-1,0,0.050562300000000504
H1-wine-fit,0,1.5523784999999999
H1-wine-check,0,1.5349902999999996
H1-wine-report-1,0,0.05181240000000071
H0-wine-fit,0,1.5621594000000005
H0-wine-check,0,1.495303899999999
H0-wine-report-1,0,0.05041949999999997
H0-wine-report-2,0,0.048362499999999274
H0-wine-report-3,0,0.04683740000000034
