task,budget,policy,seed,best_recipe,normalized_loss,reference_recipe,reference_loss,headroom,charged_process_seconds
bike,4,fixed_diverse,0,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,10.244440100010252
bike,4,uniform_random,0,forest-2,0.6920113956554623,extra-0,0.5394579542991889,0.15255344135627347,9.293174899969017
bike,4,uniform_random,1,boost-0,0.5805875945389952,extra-0,0.5394579542991889,0.041129640239806364,9.435112899984233
bike,4,uniform_random,2,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,9.532603599975118
bike,4,uniform_random,3,extra-1,0.577604102456452,extra-0,0.5394579542991889,0.03814614815726314,9.403310199966654
bike,4,uniform_random,4,extra-1,0.577604102456452,extra-0,0.5394579542991889,0.03814614815726314,9.277269700018223
bike,4,uniform_random,5,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.41378059994895
bike,4,uniform_random,6,kernel-6,0.6081534812573189,extra-0,0.5394579542991889,0.06869552695813008,8.922554099961417
bike,4,uniform_random,7,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,9.222135399992112
bike,4,uniform_random,8,kernel-2,0.5923068467581968,extra-0,0.5394579542991889,0.05284889245900792,9.372014299995499
bike,4,uniform_random,9,kernel-6,0.6081534812573189,extra-0,0.5394579542991889,0.06869552695813008,9.483093099930556
bike,4,uniform_random,10,forest-1,0.6202922882364164,extra-0,0.5394579542991889,0.0808343339372275,9.828177700022934
bike,4,uniform_random,11,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,9.586861099960515
bike,4,uniform_random,12,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,9.773770900006639
bike,4,uniform_random,13,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,9.939085399964824
bike,4,uniform_random,14,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.681034199980786
bike,4,uniform_random,15,boost-2,0.5903619387658864,extra-0,0.5394579542991889,0.05090398446669753,8.967826599953696
bike,4,uniform_random,16,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,9.685352500004228
bike,4,uniform_random,17,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,10.087244399997871
bike,4,uniform_random,18,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.471861099969829
bike,4,uniform_random,19,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,9.849165899970103
bike,4,uniform_random,20,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,9.815850199986016
bike,4,uniform_random,21,boost-4,0.6231495990583089,extra-0,0.5394579542991889,0.08369164475912005,9.676764700008789
bike,4,uniform_random,22,forest-3,0.7044628051988157,extra-0,0.5394579542991889,0.1650048508996268,9.478931199992076
bike,4,uniform_random,23,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.281113599950913
bike,4,uniform_random,24,kernel-1,0.5940572565017637,extra-0,0.5394579542991889,0.054599302202574806,9.191789099975722
bike,4,uniform_random,25,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,9.82195579999825
bike,4,uniform_random,26,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,9.85942329998943
bike,4,uniform_random,27,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.566166799952043
bike,4,uniform_random,28,boost-3,0.5852537035035127,extra-0,0.5394579542991889,0.04579574920432383,9.888372999994317
bike,4,uniform_random,29,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,9.215711099997861
bike,4,uniform_random,30,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,9.264156399964122
bike,4,uniform_random,31,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,9.19332360001863
bike,8,fixed_diverse,0,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,20.161307200003648
bike,8,uniform_random,0,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,19.276205999951344
bike,8,uniform_random,1,boost-0,0.5805875945389952,extra-0,0.5394579542991889,0.041129640239806364,19.181927599973278
bike,8,uniform_random,2,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,18.60548619995825
bike,8,uniform_random,3,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,19.0024389999744
bike,8,uniform_random,4,boost-7,0.5771259352193626,extra-0,0.5394579542991889,0.03766798092017376,18.36225460001151
bike,8,uniform_random,5,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,18.387518399918918
bike,8,uniform_random,6,kernel-6,0.6081534812573189,extra-0,0.5394579542991889,0.06869552695813008,18.22655969992047
bike,8,uniform_random,7,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,18.330798499984667
bike,8,uniform_random,8,boost-0,0.5805875945389952,extra-0,0.5394579542991889,0.041129640239806364,19.338501500023995
bike,8,uniform_random,9,kernel-6,0.6081534812573189,extra-0,0.5394579542991889,0.06869552695813008,19.062149299948942
bike,8,uniform_random,10,boost-7,0.5771259352193626,extra-0,0.5394579542991889,0.03766798092017376,18.952799499995308
bike,8,uniform_random,11,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,18.75827359993127
bike,8,uniform_random,12,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,19.43236959996284
bike,8,uniform_random,13,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,18.688324099959573
bike,8,uniform_random,14,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,19.616264499985846
bike,8,uniform_random,15,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,18.07423619995825
bike,8,uniform_random,16,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,18.890147599973716
bike,8,uniform_random,17,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,19.894704599981196
bike,8,uniform_random,18,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,19.1249453999626
bike,8,uniform_random,19,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,19.237096799974097
bike,8,uniform_random,20,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,19.650698799960082
bike,8,uniform_random,21,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,18.62528239999665
bike,8,uniform_random,22,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,19.094992999976967
bike,8,uniform_random,23,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,18.023453799949493
bike,8,uniform_random,24,kernel-1,0.5940572565017637,extra-0,0.5394579542991889,0.054599302202574806,18.327342399948975
bike,8,uniform_random,25,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,19.542479900002945
bike,8,uniform_random,26,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,18.899428799952148
bike,8,uniform_random,27,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,18.338281799922697
bike,8,uniform_random,28,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,19.773973899980774
bike,8,uniform_random,29,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,18.769814700004645
bike,8,uniform_random,30,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,19.296607799944468
bike,8,uniform_random,31,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,18.422471199999563
bike,16,fixed_diverse,0,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,39.3018163999659
bike,16,uniform_random,0,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,38.02469169997494
bike,16,uniform_random,1,boost-6,0.5753199552270093,extra-0,0.5394579542991889,0.03586200092782044,37.743159600009676
bike,16,uniform_random,2,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,37.35507819993654
bike,16,uniform_random,3,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,38.10392739993404
bike,16,uniform_random,4,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,37.72997120002401
bike,16,uniform_random,5,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,36.956518599938136
bike,16,uniform_random,6,kernel-6,0.6081534812573189,extra-0,0.5394579542991889,0.06869552695813008,36.810723599919584
bike,16,uniform_random,7,extra-7,0.5654169289591546,extra-0,0.5394579542991889,0.025958974659965772,37.08688419996179
bike,16,uniform_random,8,boost-1,0.5678359332674643,extra-0,0.5394579542991889,0.02837797896827543,38.25339300004998
bike,16,uniform_random,9,forest-0,0.5747883493116758,extra-0,0.5394579542991889,0.035330395012486915,38.60087769990787
bike,16,uniform_random,10,boost-7,0.5771259352193626,extra-0,0.5394579542991889,0.03766798092017376,37.80059859994799
bike,16,uniform_random,11,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,37.93608679994941
bike,16,uniform_random,12,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,38.93171499998425
bike,16,uniform_random,13,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,36.91854409989901
bike,16,uniform_random,14,extra-0,0.5394579542991889,extra-0,0.5394579542991889,0.0,38.2916838999663
