row_id,actual,prediction
0,6,5.3616460622710616
7,6,5.3616460622710616
13,7,6.25422279109779
14,5,5.1669016849163905
22,8,6.324186056998558
25,6,5.596645764366352
28,6,5.785139964202465
29,7,6.728200480075479
30,6,5.717298777611277
32,6,5.635372913335375
36,5,5.444829147460727
42,6,5.282496114996115
43,6,5.748738969363969
44,6,5.806716404510522
45,7,5.915556804306805
48,6,5.282496114996115
54,6,5.638369512432013
55,6,5.997233844586786
56,6,6.004340902153403
58,6,5.090626214063715
63,6,5.090626214063715
71,5,5.407075120549385
79,5,4.83940712065712
80,6,6.36891679807121
83,6,5.680456349206349
85,6,5.131522366522367
86,6,5.034409430438843
89,6,5.131522366522367
90,6,5.034409430438843
102,5,5.348672573341691
109,5,5.536807020593786
123,6,5.8564304445554445
124,6,5.727747644512351
125,6,6.1180832362082365
130,5,5.087424115379804
133,5,5.810008047508048
148,7,6.463085005272506
154,6,5.148980665984342
157,7,6.505270436263084
160,7,6.505270436263084
180,6,5.518447594072595
186,6,5.94690895909646
187,5,6.3074120324120315
189,4,5.571232066544566
193,5,6.039015433096314
207,4,5.253343453931689
213,6,6.065694860694862
214,7,6.423467782217783
222,7,6.423467782217783
232,6,5.845391573295986
239,6,5.773411161958956
241,5,5.6635818001443
242,7,6.20635959220518
243,6,5.618639971139971
258,6,6.270082709687974
262,5,5.4605655455655455
272,5,5.42079052891553
276,6,5.9889031311825445
281,8,6.81879394910645
283,5,5.259884772090656
286,6,5.4567181429681435
292,5,5.494803599178598
298,6,5.734385965341848
304,6,5.346535755910756
305,6,5.346535755910756
329,5,5.909773004773004
334,5,5.752721096305655
336,6,6.34228374147782
337,6,5.430750707625708
341,6,5.603089618714619
347,6,6.30317403904575
352,6,5.364647227772229
354,6,5.57767322954823
362,6,6.244971001221001
366,6,6.109646013708515
376,7,5.707945436916026
377,7,5.510741966366966
379,7,5.707945436916026
380,7,5.510741966366966
381,6,5.385164245476746
399,6,6.298555715118214
402,5,5.107242236929737
404,6,7.115284368409368
407,5,5.102804719790013
410,6,5.59638313075813
414,6,5.59638313075813
417,5,5.2463698107448105
431,5,5.282240537240538
439,5,5.298626547064048
440,7,6.358074833663069
457,5,5.92328706016206
460,5,5.92328706016206
462,5,5.27458537989788
463,6,4.809836066711068
464,5,5.0258739177489185
467,6,4.809836066711068
468,5,5.0258739177489185
469,5,5.477834595959596
470,6,5.151472763347764
474,6,5.718778998778999
477,6,6.341564126233243
478,6,4.73177235958486
479,6,6.304182115399222
482,5,5.331379211066709
484,5,5.381826306863073
485,6,6.0812544400044395
487,6,5.814999202186702
493,6,6.266868825618825
494,6,6.4192114217481855
501,6,6.0510951711687015
508,6,6.322523381438823
511,6,5.714009561774654
517,6,6.099425921300922
525,6,5.248375626566417
530,6,6.205984734220028
543,6,6.056480728701125
548,7,5.988300057785352
556,5,5.243807144652733
562,6,5.418067557442557
564,5,5.066143578643579
581,5,5.681173479298478
586,6,5.204475108225109
593,5,5.108504934607876
598,8,5.9361914474414466
601,6,5.704986455537927
602,5,5.108504934607876
624,5,5.266904935342437
634,6,6.516844993242053
637,5,5.505596833721834
643,5,5.46213820901321
646,4,5.083391020743962
653,6,5.4263808311786255
656,6,6.003084831834831
661,7,6.543587211399711
673,6,6.006196650571649
681,5,5.0817878393536295
690,4,6.152281003310415
696,6,6.223270293840147
702,4,5.438349501805385
706,5,5.186028507311403
711,6,6.1460898476523464
712,6,6.1460898476523464
714,6,5.606611937898703
719,7,6.143792839105339
721,5,5.468733662171162
738,7,5.97536689005439
745,6,6.337006202861468
746,6,6.113011294261294
748,6,5.9605937812187815
753,6,6.113011294261294
756,5,5.368011016761017
759,7,6.399227369852371
760,6,5.9605937812187815
761,6,5.882766053391054
762,5,5.6680657883782875
764,6,5.743823927298193
765,6,5.598336919358591
767,6,5.3498481849033315
775,6,6.416559115226879
780,4,4.463461469086469
797,6,5.773457133144634
800,6,5.163944805194806
805,6,5.163944805194806
809,6,5.532659562659562
813,6,5.3837273837273845
816,5,5.367528582528583
821,6,5.016323086635587
824,5,5.367528582528583
828,7,6.365291867038191
833,6,6.240037531912532
835,8,6.785776833460657
841,7,5.868750201037353
842,7,5.868750201037353
843,7,6.227964704821323
848,7,5.868750201037353
850,7,6.227964704821323
862,6,5.490142770241453
887,7,6.822319902319904
889,7,6.822319902319904
900,7,6.361548341364518
902,5,5.37225487339458
906,4,4.819540587551424
925,5,5.016765607758256
928,5,5.464613095238095
938,6,5.752386892111157
940,5,5.527320526695527
943,7,6.71109237984238
957,7,6.332424771435994
959,6,5.528777329696448
960,6,5.528777329696448
962,6,5.528777329696448
963,6,6.2893607087357095
964,6,5.464274163336663
969,7,6.329359251859254
970,7,6.919965694028194
995,6,5.4339069264069275
1007,5,4.994515276390277
1022,8,5.936102900367608
1023,6,5.875354992229992
1025,6,6.062582352288234
1040,4,5.0080583999333985
1041,5,5.261099525474526
1044,7,5.946991968300018
1047,5,4.723782016594518
1053,4,5.42080475080475
1054,5,4.723782016594518
1056,6,6.096772898154477
1057,5,5.092161727161728
1058,6,6.096772898154477
1075,7,7.20489088321809
1083,6,5.820826750863516
1088,6,5.820826750863516
1095,8,6.389694264069265
1109,4,5.218619326579852
1111,6,6.13803241896992
1112,6,5.711204004329003
1114,4,4.359081959706962
1115,8,5.724343156843156
1116,5,4.919237498612499
1121,6,5.413100641188876
1125,6,5.340190157065157
1127,7,6.401050869065574
1134,5,5.302176253076988
1141,5,5.656918751076065
