path,sha256
I0.md,753b9cddd58ea16e59eeffa1018171e0de26498f1456d86e4d4c4a593d2bc65e
I1.md,cfc570b53e2bc1c93c2196a24578cfc052b2e3ba0a39d306c9be6aabce95d9f0
CHILD-FROZEN.csv,630daafe5f31ab8cf4830a225e301e150d082d01dfe653271f914f5c0f79a20e
CHANGE-PROPOSAL.md,69d6840b426124559cd223b7734fc03ce0e45977fb3375d2f1e6cf796583a593
PROMOTION.csv,a8f14deab355011144401e503da569459a99ca237b63c4b1cff0e8b9cd48bc85
g1-TASK-SKILL.md,18f9607d27fe7e96513ab6235d44adbb371772a8f12e017751bd2ea10dca72a1
g2-i0-START.md,18f9607d27fe7e96513ab6235d44adbb371772a8f12e017751bd2ea10dca72a1
g2-i1-START.md,18f9607d27fe7e96513ab6235d44adbb371772a8f12e017751bd2ea10dca72a1
experiment/ATTEMPTS.csv,0cb210719712bb807ff165edad2c723494b45abf6711720924f622bcc90343cf
g2-i0-CHOICE.csv,4ed2771dec7b2453add84173cdccd5275680a44939ce4b71df3a97dc5701ce53
g2-i0-TRACE.csv,8f3334c01fbe3340f19adc54eef408f15e4df0c88ac1ae86f0ed6769183c19af
g2-i0-TASK-SKILL.md,18f9607d27fe7e96513ab6235d44adbb371772a8f12e017751bd2ea10dca72a1
experiment/g2-i0-tree/model.joblib,633d9a1ff204b5b7d2b34568ccaaf509d610b64ffbfa1fd762ea802150cecf3b
experiment/g2-i0-tree/predictions.csv,d4fb12132c7434e8b61fb398c343af67992118e9b22df2121347518251a4e7a7
experiment/g2-i0-tree/training-predictions.csv,065030d5f2bde2f19a04965f47c6389ae6942e4b3724b27b6ac8b8ebdc5e4eac
experiment/g2-i0-tree/metrics.csv,3d614cc63a4b709dc270b9550237dd487eb90bc975f569c4185fcae70a74d492
g2-i1-CHOICE.csv,6f0841e5f9c9d8e5de8899c75432321f387fe6d509c7644a35c3c8293ac10faf
g2-i1-TRACE.csv,1b507651b8720eebccc35701c8ef4bf7f29eded76c29ae132319494fbe67f0db
g2-i1-TASK-SKILL.md,f490689b79fd18a684bdf4e2906907cb2a01ee4a7a266a1a69534609d35b3c64
experiment/g2-i1-forest/model.joblib,e048d0233f8f95e479cc4310a5715613d1ce3bdf27b2d658f0341850b88db4ea
experiment/g2-i1-forest/predictions.csv,55bb2646893c404496f6a99a75fc61e604f77581f1bccd2df72c0aa8b8b8607c
experiment/g2-i1-forest/training-predictions.csv,a6ee5a9317c1cd18305ae3636251af74bb065f75f6ade485d6153bbd5800656f
experiment/g2-i1-forest/metrics.csv,529247efc381944e6a089d95dd044978d0a303e5237421b999272406212a0903
