node,parent,status,loss,seconds,score,metric,fit_seconds,predict_seconds,policy_seconds,proposal_seconds,candidate_sha256
node-001,root,ok,0.10349025974025983,1.768936800013762,0.9482548701298701,balanced_accuracy,0.00635609999881126,0.0010067000112030655,2.8999929782003164e-06,0.011271600000327453,759fdbb2c617374b8e427d688c0641e4bf8becda9e43ddca0a674379a47f9983
node-002,root,ok,0.1316964285714286,1.8252091000031214,0.9341517857142857,balanced_accuracy,0.08576260000700131,0.00759029999608174,8.69997893460095e-06,0.012038699991535395,c141ee37cbec6840f45bf218d1c84c0871c3b01e0635e737fbda0becaab11156
node-003,root,ok,0.1714691558441559,1.8445930999878328,0.914265422077922,balanced_accuracy,0.10298630001489073,0.006182000011904165,6.700021913275123e-06,0.010581800015643239,d66d66de80038ef0887a905d84fb357ae66dcabc6f8ddea49fef5eba34cbe952
node-004,node-001,ok,0.11810064935064934,1.7514827999984846,0.9409496753246753,balanced_accuracy,0.009065799997188151,0.0015272999880835414,1.7499987734481692e-05,0.0158575999957975,2b6378de3425f89e02e0eeddfaaa06b4404a1a0d600561163bdded7cc21599c2
node-005,node-004,ok,0.11525974025974017,1.729094200010877,0.9423701298701299,balanced_accuracy,0.007747199997538701,0.0012238000053912401,2.479998511262238e-05,0.017191399994771928,d5a3a74185ea15928cf52cbbce78aac6cca8b260d9da6d561dc8e75db0dd0f2d
node-006,node-005,ok,0.13859577922077926,1.7194119000050705,0.9307021103896104,balanced_accuracy,0.008209500025259331,0.0020348999823909253,2.6399997295811772e-05,0.014540800009854138,6942155af63a56347a08cdac2c36209acefd269c95c42b6ecb79e0c4cafbbb4d
node-007,node-002,ok,0.13737824675324672,2.0636563999869395,0.9313108766233766,balanced_accuracy,0.2690096000151243,0.008847299992339686,2.5300018023699522e-05,0.020234600000549108,a135d942365a4ad09619ab7b28946ff91a07d8c18ff2861e6ac243ff1681ffe3
node-008,node-007,ok,0.14610389610389607,2.244281899998896,0.926948051948052,balanced_accuracy,0.4960902000020724,0.011182300018845126,2.0099978428333998e-05,0.01446060001035221,c9a12fa0b1f61d0fd4711fa2d61c61e3c32346f85eed9b9e93c53d79e785b743
node-009,node-006,ok,0.12844967532467533,1.7545037999807391,0.9357751623376623,balanced_accuracy,0.0075477999926079065,0.0017958999960683286,3.209998249076307e-05,0.0190848000056576,585f99cc5b35e3afd8c63e1507d5347e35f759c3056eb9fcaa2325d82f5aaaf0
node-010,node-009,ok,0.13413149350649345,1.747846499987645,0.9329342532467533,balanced_accuracy,0.009697500005131587,0.0013423999771475792,2.540001878514886e-05,0.016424200002802536,2580336e20e90f3dc8b60bc08eff7c6007fe6ba387e59739e1961d9503667ede
node-011,node-010,ok,0.13068181818181834,1.7229590000060853,0.9346590909090908,balanced_accuracy,0.008079799998085946,0.001337599998805672,4.429998807609081e-05,0.015134399989619851,73157723d09482a35a05b5fde68ed7a65dfdd04f8ba47f2043af3942c2e00d85
node-012,node-011,ok,0.12844967532467533,1.7633172000059858,0.9357751623376623,balanced_accuracy,0.008396499993978068,0.0015032000083010644,5.649999366141856e-05,0.016173900017747656,b17cc7eec32723766096b1888c37e575e140ec314645eaa4d91580389c125b61
