row_id,LATITUDE,LONGITUDE,SALE_PRC,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus,month_sold,structure_quality
1,25.891324233,-80.1539675238,349000.0,9375.0,1715.0,0.0,4359.1,10648.4,337.8,43504.9,37340.5,18125.0,63.0,0.0,9.0,4.0
7,25.8930187999,-80.1574258802,850000.0,10272.0,1663.0,34933.0,3112.4,11718.1,10.5,43780.8,38198.3,16989.9,21.0,0.0,9.0,4.0
54,25.9488947784,-80.1229069885,715000.0,7500.0,4098.0,0.0,7890.7,1284.8,386.9,62834.1,57524.4,14978.8,61.0,0.0,2.0,4.0
57,25.9514535589,-80.1213818659,1650000.0,4402.0,3089.0,35539.0,8377.7,808.5,667.3,61988.4,58505.6,15164.8,1.0,0.0,5.0,5.0
60,25.956810508,-80.1230802948,1200000.0,5564.0,2978.0,31117.0,7847.3,1377.8,257.0,59988.7,59988.7,14132.4,9.0,0.0,12.0,5.0
64,25.960574499,-80.1294208202,1250000.0,6286.0,3015.0,34153.0,5823.5,3483.3,305.3,58415.6,58415.6,11865.8,18.0,0.0,12.0,5.0
104,25.8957279461,-80.1716107595,200000.0,8960.0,1617.0,70.0,963.9,16331.4,1686.0,43753.5,40455.9,12402.5,67.0,0.0,3.0,4.0
122,25.9016786372,-80.170371522,289000.0,10560.0,1596.0,33845.0,2020.4,15839.2,2289.5,45954.8,42373.0,12904.6,39.0,0.0,2.0,2.0
133,25.9029578161,-80.1630673721,230000.0,8775.0,1969.0,27216.0,564.6,13444.3,1067.6,46847.8,42144.4,15341.4,63.0,0.0,8.0,2.0
139,25.9041478964,-80.1761807456,120000.0,8636.0,1023.0,0.0,4049.4,17770.1,4323.2,46585.1,43849.1,11073.8,69.0,0.0,3.0,1.0
153,25.9067065237,-80.1800895217,289900.0,8100.0,2785.0,10388.0,5628.4,19112.2,5121.7,47378.9,45171.4,9779.3,26.0,0.0,12.0,4.0
162,25.9079000828,-80.1866303254,179000.0,13900.0,1030.0,0.0,7532.0,21271.7,3222.8,47668.0,46377.9,7606.9,31.0,0.0,4.0,2.0
168,25.9088680135,-80.1844718855,210000.0,7740.0,1700.0,0.0,7225.9,20624.6,4045.2,48060.4,46434.9,8336.5,41.0,0.0,6.0,4.0
174,25.9101134278,-80.1845277435,220000.0,7320.0,1602.0,1564.0,7544.6,20697.9,4223.5,48514.0,46865.0,8316.8,31.0,0.0,7.0,4.0
182,25.9109240694,-80.1761511512,150000.0,8473.0,1302.0,27824.0,5021.9,17999.5,5005.3,49042.1,46173.3,11042.3,63.0,0.0,12.0,1.0
194,25.9123749452,-80.172711819,155000.0,9042.0,1912.0,24920.0,3780.8,16858.9,3768.1,49688.7,46310.1,11601.8,64.0,0.0,9.0,2.0
195,25.9123749452,-80.172711819,170000.0,9042.0,1912.0,24920.0,3780.8,16858.9,3768.1,49688.7,46310.1,11601.8,64.0,0.0,9.0,2.0
