label,task_skill,case,actual,expected,pass,decision_ms,model_fits
prerequisites/parent-seconds,skills/TASK-SKILL-v0.md,seconds,A,A,true,0.3137000000000043,0
prerequisites/parent-milliseconds,skills/TASK-SKILL-v0.md,milliseconds,B,A,false,0.21450000000000102,0
10-16/target,skills/TASK-SKILL-v1.md,milliseconds,A,A,true,0.28529999999999944,0
10-16/second,skills/TASK-SKILL-v1.md,seconds,A,A,true,0.22989999999999355,0
prerequisites/second-parent-minutes,skills/TASK-SKILL-v1.md,minutes,A,B,false,0.24990000000000023,0
prerequisites/second-update/target,skills/TASK-SKILL-v2.md,minutes,B,B,true,0.3000000000000007,0
prerequisites/second-update/second,skills/TASK-SKILL-v2.md,milliseconds,A,A,true,0.22339999999999804,0
10-17/v0/target,10-17/v0/TASK-PROPOSAL.md,microseconds,A,A,true,0.23989999999999867,0
10-17/v0/second,10-17/v0/TASK-PROPOSAL.md,seconds,A,A,true,0.13129999999999598,0
10-17/v0/external-microseconds,10-17/v0/TASK-PROPOSAL.md,microseconds,A,A,true,0.126100000000001,0
10-17/v0/external-unknown,10-17/v0/TASK-PROPOSAL.md,unknown,A,refused,false,0.21220000000000283,0
10-17/v0/external-seconds,10-17/v0/TASK-PROPOSAL.md,seconds,A,A,true,0.29589999999999606,0
10-17/v1/target,10-17/v1/TASK-PROPOSAL.md,microseconds,A,A,true,0.22419999999999618,0
10-17/v1/second,10-17/v1/TASK-PROPOSAL.md,unknown,refused,refused,true,0.23040000000000305,0
10-17/v1/external-microseconds,10-17/v1/TASK-PROPOSAL.md,microseconds,A,A,true,0.12959999999999638,0
10-17/v1/external-unknown,10-17/v1/TASK-PROPOSAL.md,unknown,refused,refused,true,0.09149999999999636,0
10-17/v1/external-seconds,10-17/v1/TASK-PROPOSAL.md,seconds,A,A,true,0.23560000000000514,0
