hour,size,mean
0,182,43.077168840415425
1,182,38.41360546603727
2,181,37.7818820386579
3,176,27.3714929604147
4,179,25.39518030924132
5,182,28.35044142768601
6,182,45.430141937209946
7,182,130.28073168378558
8,182,183.97729464525224
9,182,120.79994394921538
10,182,78.68140825428102
11,182,105.21856207550223
12,182,141.46786278764344
13,182,143.12905623511503
14,182,122.28639312625135
15,182,129.46902567441333
16,182,150.9726010442822
17,182,197.60076830742796
18,182,186.34774775224523
19,182,144.45131803191188
20,182,102.13418730595023
21,182,76.09111533512159
22,182,47.93537271064129
23,182,40.3692751966566
