column,role,kind
attribute_1,feature,categorical
attribute_2,feature,categorical
attribute_3,feature,categorical
attribute_4,feature,categorical
attribute_5,feature,categorical
attribute_6,feature,categorical
attribute_7,feature,categorical
attribute_8,feature,categorical
attribute_9,feature,categorical
attribute_10,feature,categorical
attribute_11,feature,categorical
attribute_12,feature,categorical
attribute_13,feature,categorical
attribute_14,feature,categorical
attribute_15,feature,categorical
attribute_16,feature,categorical
attribute_17,feature,categorical
attribute_18,feature,categorical
attribute_19,feature,categorical
attribute_20,feature,categorical
attribute_21,feature,categorical
attribute_22,feature,categorical
attribute_23,feature,categorical
attribute_24,feature,categorical
attribute_25,feature,categorical
attribute_26,feature,categorical
attribute_27,feature,categorical
attribute_28,feature,categorical
attribute_29,feature,categorical
attribute_30,feature,categorical
attribute_31,feature,categorical
attribute_32,feature,categorical
attribute_33,feature,categorical
attribute_34,feature,categorical
attribute_35,feature,categorical
attribute_36,feature,categorical
attribute_37,feature,categorical
attribute_38,feature,categorical
attribute_39,feature,categorical
attribute_40,feature,categorical
attribute_41,feature,categorical
attribute_42,feature,categorical
attribute_43,feature,categorical
attribute_44,feature,categorical
attribute_45,feature,categorical
attribute_46,feature,categorical
attribute_47,feature,categorical
attribute_48,feature,categorical
attribute_49,feature,categorical
attribute_50,feature,categorical
attribute_51,feature,categorical
attribute_52,feature,categorical
attribute_53,feature,categorical
attribute_54,feature,categorical
attribute_55,feature,categorical
attribute_56,feature,categorical
attribute_57,feature,categorical
attribute_58,feature,categorical
attribute_59,feature,categorical
attribute_60,feature,categorical
Class,target,categorical
