row_id,group,split,included
0,fd9b1e2a9562b165cf226da0032cc93d7f69af97239c900be8f368566d75b6f6,train,True
1,21b1e3594987d2f770bc755d3c722b374b77afd5a2d58f6c4d311f763ed10352,train,True
2,ce49724029e968ca954eee5945ee13d3c4531765acc73f0d23815afd00a4e716,train,True
3,8d45245d4236e9ef000cb89c4b7a5bf02edb31d8433244699de025d05e4edae4,train,True
4,b3e0a8bec270e56cd9dd4fc390b3dcf96477bbaada2e83e73aff0f648aabf0cb,train,True
5,9489d168e62502d7007c8dcf84945063f1049eb28021550ec998067d8c116f77,final,True
6,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
7,ecabf3d840310bab07c32c10d5cb8ae3d893a8faf5839ee0fbb6cf6624298877,train,True
8,9489d168e62502d7007c8dcf84945063f1049eb28021550ec998067d8c116f77,final,True
9,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
10,9489d168e62502d7007c8dcf84945063f1049eb28021550ec998067d8c116f77,final,True
11,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
12,9bd5787462ee90c63d29368dfd4f1acd76fd172890771394d13a2d32a7c7a16f,train,True
13,dacff033edbaac69b1125a97152e9191c4270066e244ca767c5ece5fa2162994,final,True
14,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
15,c228900dcde72b67f0bc0ab0f305eadf272b4e603c7e461192c443485ac57f3f,final,True
16,26d1f156cd3ccb965ce57fb66cf0daf48de76a8caa37a22740f3bcc90b27e394,selection,True
17,dcdd454863c89f08590760110332a5b4a56ec530091aa2d957f94d8f494e9ec3,train,True
18,c228900dcde72b67f0bc0ab0f305eadf272b4e603c7e461192c443485ac57f3f,final,True
19,bf1b5391f85f7b5ee624c58d776e8406141445d80bd006aeab13390fa9ab65e9,selection,True
20,adde74d1e221a58d6546650f32d52e1f88c19eedc25b520e541a9799e26aea27,selection,True
21,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
22,e2b59ec88764f60396bd9c011acd790a825bcf2c25d36c8b7b6a29bd5e3522c2,train,True
23,8ebc76462e9ca307ecf4ccbb52a9989c12946b80bf2c9347057f06cc5b8d1a98,selection,True
24,bf1b5391f85f7b5ee624c58d776e8406141445d80bd006aeab13390fa9ab65e9,selection,True
25,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
26,f9b42aee62e9a20d5d1ee2169ff78e797465f2a0efa153341faa8fb117ca5603,train,True
27,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
28,21b1e3594987d2f770bc755d3c722b374b77afd5a2d58f6c4d311f763ed10352,train,True
29,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
30,909aaac6f1bebfc63115e796322e9a41f17ef1d4941a06d4ec4d628512596a78,train,True
31,140c0628c5624a10678a36b6d9a80de7514298de7a4db4f1f55071b180680be1,train,True
32,e294c5d05c47e378492c069f7f8cc3dea0663826d03d7aa344183c2bc581d430,train,True
33,35e009c631111e98946a9005c690a09d2a5fcc7e43b750c0a11e236c746e45ca,train,True
