attempt,task,kind,candidate
1,3,classification,unscaled-c1
2,3,classification,unscaled-c100
3,3,classification,native-category-boost
4,3,classification,forest-all-features
5,16,classification,unscaled-c1
6,16,classification,unscaled-c100
7,16,classification,native-category-boost
8,16,classification,forest-all-features
9,28,classification,unscaled-c1
10,28,classification,unscaled-c100
11,28,classification,native-category-boost
12,28,classification,forest-all-features
13,361234,regression,log-boost
14,361234,regression,log-svr
15,361234,regression,extra-leaf5
16,361234,regression,quadratic-splines
17,361236,regression,log-boost
18,361236,regression,log-svr
19,361236,regression,extra-leaf5
20,361236,regression,quadratic-splines
21,361244,regression,log-boost
22,361244,regression,log-svr
23,361244,regression,extra-leaf5
24,361244,regression,quadratic-splines
