hour,size,mean
0,182,25.684529790286547
1,182,17.108441421742945
2,181,13.999628986998415
3,176,10.921907802117348
4,179,10.895762698669028
5,182,10.077145272300795
6,182,53.98585856535319
7,182,168.1421312833531
8,182,198.77942927512618
9,182,118.226477866342
10,182,88.21574681030923
11,182,112.53621117347205
12,182,152.80967762475535
13,182,158.07583381545166
14,182,143.72596132844467
15,182,153.84728519479012
16,182,169.03346395209846
17,182,244.43270534661605
18,182,235.90172658307162
19,182,174.7867644446454
20,182,147.742063597178
21,182,89.08478476158552
22,182,54.39501223262029
23,182,45.21328830942383
