source_relative_path,sha256
LINEAGE.md,fb5ef8952a1c7435c6ef346dbfa8ef24c8593ebc058628fc28fb3faeec9a54b4
PROTOCOL.md,84cebf714fa80e522f6986dc9d06fd2396499b1ac68661a1cc06daf32c770327
STATE.csv,663d1af6f88a513278c070d15bb6851a33679e236bf4e07fe702986e07abcbf4
baseline/generation-1/ARM-DECISIONS.csv,b08a6259ea2acd91fac0f420b76d620b1e2ff4ef959572178be5f43f8e3dc0d7
baseline/generation-1/DECISION.csv,78b92eafc42e2172d5b374f9005beabb38cd87d979d38c41b4b25da96daece2c
baseline/generation-1/TASK-proposal.md,e2a64783fe486efcd51af61bd73027f37ee2afc9edc711218c68c1b4e286a109
baseline/generation-1/active/BEFORE.md,40a6d33c456d04241b3f74c3f35d561368030c7821ff7aacae0beaab6e3c7f79
baseline/generation-2/ARM-DECISIONS.csv,0e1068d38eb0f2e12a260a48e8d55eb28280114272f6ab1a1fcc5b5848bd3aa9
baseline/generation-2/DECISION.csv,0be68b6b68b7e8bf1cfe17ce3eae02d9ad816984e3776683b9e25f2f54c0a5b6
baseline/generation-2/TASK-proposal.md,b7936438275b1693a911870fceb8b8619a32480914bfe590d49289762c2defa4
baseline/generation-2/active/BEFORE.md,42a1c5a2af4cb5380bd748f9995fb6021605e9ee72a01fec95fe6c7ddd2bf829
driver.source.py,39a38ab9dd63b404bdd7b811e079465d1667d14d22c5f0def16da9b749760695
recursive/generation-1/ARM-DECISIONS.csv,65ce58b2ab6305092d350b8ee0ffb4d6d6bfa43a893f6ee9e6313bdb7d10ed31
recursive/generation-1/CHANGE-PROPOSAL.md,ca75c0e455e2d6e9066d57ceabb8c98db480cee940a776823f97641bcf84cacb
recursive/generation-1/DECISION.csv,19badd8137f95b4a490a68b0d788b198305e92c342c63da7c6226897734f479c
recursive/generation-1/IMPROVER-proposal.md,82a8fb8698e4f2522948e22c97a29b52a8c0b4b207af58d20fa2e517ad433d93
recursive/generation-1/TASK-proposal.md,e2a64783fe486efcd51af61bd73027f37ee2afc9edc711218c68c1b4e286a109
recursive/generation-1/active/BEFORE.md,5f24962c43f74064f6ae762f1173f825fe639cc788b80bdc0471bd17cd47d2f2
recursive/generation-1/proposed/BEFORE.md,f00fcbe624f2e9e89d16f5a24cb095165c5160590d398bc8a3e85f53d85e96df
recursive/generation-2/ARM-DECISIONS.csv,c8e6725e04ee871c0c1a270e0991c79d04d1bd190b85d88e4009078e9b293d95
recursive/generation-2/CHANGE-PROPOSAL.md,8f90b8fa0f7be0328eb1ff0a7a85a0c452fe60f9461eef267022692ad536c49e
recursive/generation-2/DECISION.csv,5887959384107bbc7fdbdfc2355817f7c0480ae5b897a77e6cab9a22b97786c5
recursive/generation-2/IMPROVER-proposal.md,f113a57ea0317f365972441f212ccb8f66449a72175ee92755acd0578ba816a6
recursive/generation-2/TASK-proposal.md,b7936438275b1693a911870fceb8b8619a32480914bfe590d49289762c2defa4
recursive/generation-2/active/BEFORE.md,f887d7a3d298768051c0706bba98992900e649173b251c3f46ddcb5e2171170a
recursive/generation-2/proposed/BEFORE.md,5467939bb18f8859f3af3214f7e8ceacea3f113a9405b4cf0eaeaa9b0ca2f79b
skills/IMPROVER-v0.md,00868ca8a96e4f2240b1d0c67b2139d5ec42f271e7078805dbfd3a1fdccf2a8c
skills/TASK-initial.md,997130566e80e2e2648c445a7a25bb4759404c8cc4ed9cf60d0e2cafb20d3cab
