hour,size,mean
0,182,35.34281056855903
1,182,31.480876754742738
2,181,27.450558408005016
3,176,22.79040081487099
4,179,18.35246467379519
5,182,23.538563458244656
6,182,55.20467733849173
7,182,158.8239242005667
8,182,257.10502159665754
9,182,112.72602402275038
10,182,88.42974640906075
11,182,103.98706879810152
12,182,119.0428627469704
13,182,122.55014758497154
14,182,114.44527511169306
15,182,117.46257875655657
16,182,134.03792713180596
17,182,217.2302521102712
18,182,210.7852684729589
19,182,144.71009773116896
20,182,97.34819547067659
21,182,71.21242272029313
22,182,53.481742301870376
23,182,38.43870941320315
