hour,size,mean
0,182,55.06677582391868
1,182,71.71844324701468
2,181,67.3957857818355
3,176,29.749894802322682
4,179,2.6440225417904997
5,182,67.96985760745913
6,182,43.662215233643806
7,182,171.99727342584484
8,182,195.01816199994337
9,182,151.14196685625257
10,182,94.17532623246908
11,182,134.7704891419177
12,182,182.80855833712977
13,182,189.62174515031657
14,182,172.9821453392882
15,182,184.54745159030875
16,182,167.0460857596271
17,182,247.21203331796346
18,182,237.98733995055895
19,182,183.1014245986367
20,182,158.33841499555786
21,182,96.68471579900152
22,182,54.35324916753488
23,182,35.71814078956936
