row_id,RMSD,F1,F2,F3,F4,F5,F6,F7,F8,F9
40,14.882,6390.08,2063.85,0.32297,53.3978,872065.7572,81.8471,2463.51,43.0,40.4188
162,1.815,6612.86,2245.81,0.33961,62.407,922140.961,98.9037,3822.42,73.0,36.0666
192,0.525,8682.58,2348.39,0.27047,98.1656,1221977.8772,130.857,3224.91,4.0,36.9912
239,1.426,13147.0,4100.1,0.31186,153.852,1858378.5443,214.358,5004.43,76.0,28.7302
270,9.502,5856.63,2290.52,0.39109,45.9514,841418.3035,85.1854,2556.66,39.0,42.6898
274,11.196,12310.4,4958.98,0.40282,102.735,1729155.359,169.894,4191.26,67.0,32.9828
347,1.611,13692.0,3664.12,0.26761,192.966,1877160.3123,220.066,4575.84,178.0,29.1416
415,3.066,12953.2,4316.91,0.33326,135.224,1823967.013,194.695,4334.67,49.0,31.5703
434,1.932,6680.69,1744.47,0.26112,52.2965,941162.7521,76.513,3314.38,58.0,39.0646
450,6.848,5416.49,2242.79,0.41406,34.3671,768445.101,74.3528,2591.95,35.0,43.1413
563,2.365,4376.95,747.41,0.17076,39.2546,577148.4164,64.4894,2562.81,11.0,43.5166
620,11.2,5440.74,1685.51,0.30979,43.7013,762874.7419,70.5372,2810.19,56.0,42.631
623,12.914,6666.03,1420.97,0.21316,52.145,935272.8327,68.1992,3417.4,19.0,39.369
657,2.045,8535.59,2531.23,0.29655,92.1925,1202482.8895,116.682,3572.88,99.0,36.9993
734,9.978,7115.35,2137.83,0.30045,68.909,1003582.4387,96.7803,2882.88,32.0,39.5488
741,13.807,6954.55,2132.77,0.30667,57.1288,966581.6172,105.51,3035.59,55.0,39.1762
753,20.3,19268.5,7348.16,0.38135,126.985,2748202.5157,286.186,10418.67,93.0,29.3758
766,15.102,18197.1,7496.7,0.41197,157.265,2552698.3672,275.48,5349.63,108.0,25.4521
890,8.249,8534.16,2590.05,0.30349,75.0951,1193836.3146,119.124,4068.1,22.0,33.5756
896,16.889,10854.7,3118.15,0.28726,122.359,1561541.9174,172.03,3458.62,140.0,37.2447
899,2.343,15454.7,3511.66,0.22722,200.946,2149631.1186,239.811,5038.82,124.0,24.0375
1043,3.515,7870.91,2158.72,0.27426,67.2952,1045053.6226,99.0195,3122.78,25.0,38.4217
1087,2.337,9502.14,3425.0,0.36044,101.003,1338975.9314,136.419,3653.9,13.0,35.1578
1106,4.977,7188.29,2261.99,0.31467,70.2348,976867.9819,96.1204,2978.66,101.0,38.4894
1165,3.747,9649.03,2291.76,0.23751,86.3962,1365355.4734,110.118,4779.12,30.0,32.7941
1345,2.629,3767.0,983.81,0.26116,35.0857,512452.4033,43.0478,1287.1,21.0,43.8093
1349,6.025,8605.42,1967.89,0.22868,62.6548,1254158.1695,89.0824,3082.52,31.0,38.0895
1509,1.796,8232.42,1612.04,0.19581,74.2207,1159507.8305,104.469,3778.36,20.0,34.2832
1744,4.449,8993.02,3421.63,0.38047,92.0166,1263358.769,131.934,3591.33,38.0,35.8413
1760,9.227,10836.0,2678.23,0.24716,90.8235,1489272.2335,133.813,5009.0,48.0,32.3216
1811,18.45,9467.02,3175.58,0.33543,70.7285,1366557.6647,120.114,3496.97,96.0,36.6985
1836,1.376,21664.5,6213.37,0.28679,308.088,2967712.2272,310.028,6589.69,285.0,18.6529
1861,3.157,14500.3,3082.69,0.21259,183.281,2028577.8164,223.92,4889.58,83.0,27.4388
1868,12.247,5752.82,1454.01,0.25274,41.1821,781150.7264,88.6349,3434.29,31.0,39.5338
1950,1.525,5094.89,1978.2,0.38827,34.2611,722154.3795,64.6469,2605.56,38.0,44.1626
1988,13.273,13506.7,5293.45,0.39191,167.675,1915482.8762,270.346,4674.68,59.0,28.3044
