column,role,kind
word_freq_make,feature,numeric
word_freq_address,feature,numeric
word_freq_all,feature,numeric
word_freq_3d,feature,numeric
word_freq_our,feature,numeric
word_freq_over,feature,numeric
word_freq_remove,feature,numeric
word_freq_internet,feature,numeric
word_freq_order,feature,numeric
word_freq_mail,feature,numeric
word_freq_receive,feature,numeric
word_freq_will,feature,numeric
word_freq_people,feature,numeric
word_freq_report,feature,numeric
word_freq_addresses,feature,numeric
word_freq_free,feature,numeric
word_freq_business,feature,numeric
word_freq_email,feature,numeric
word_freq_you,feature,numeric
word_freq_credit,feature,numeric
word_freq_your,feature,numeric
word_freq_font,feature,numeric
word_freq_000,feature,numeric
word_freq_money,feature,numeric
word_freq_hp,feature,numeric
word_freq_hpl,feature,numeric
word_freq_george,feature,numeric
word_freq_650,feature,numeric
word_freq_lab,feature,numeric
word_freq_labs,feature,numeric
word_freq_telnet,feature,numeric
word_freq_857,feature,numeric
word_freq_data,feature,numeric
word_freq_415,feature,numeric
word_freq_85,feature,numeric
word_freq_technology,feature,numeric
word_freq_1999,feature,numeric
word_freq_parts,feature,numeric
word_freq_pm,feature,numeric
word_freq_direct,feature,numeric
word_freq_cs,feature,numeric
word_freq_meeting,feature,numeric
word_freq_original,feature,numeric
word_freq_project,feature,numeric
word_freq_re,feature,numeric
word_freq_edu,feature,numeric
word_freq_table,feature,numeric
word_freq_conference,feature,numeric
char_freq_%3B,feature,numeric
char_freq_%28,feature,numeric
char_freq_%5B,feature,numeric
char_freq_%21,feature,numeric
char_freq_%24,feature,numeric
char_freq_%23,feature,numeric
capital_run_length_average,feature,numeric
capital_run_length_longest,feature,numeric
capital_run_length_total,feature,numeric
class,target,categorical
