file,sha256
ALLOCATION.md,a4405e8e9b3a81d8cf5f6a284e448953e729db401c3738913aa7b8d5aeb69a84
commands/check-1.md,86233fbff6e38c7e56f6f27eaa4f33c6ad3dd4fad98bb350c10b2c8be927af89
commands/check-2.md,f1129eb480d21940d48acc8fe218ff61fedfa9ccb167ba42ece6c006c090b7bd
commands/check-3.md,a884e9b1ed47591671fb996d4579a73ee9481ff46f2303252e79495e22bfbf88
commands/fit-1.md,b8f383d8de965ba525bd2df1a258ef77e430eb607680924e6daa86edb958d147
commands/fit-2.md,1e3f5967d0f8b83aa4f8516fb4d97ad96b688ba85ad38d32100deec7ee6de91a
commands/fit-3.md,8904bfc472ad262a0e5f7bd935623ac871a524e1c4e13f36c2ae509a9aa77b9e
COMMANDS.csv,2a6684928e720a5cb21a283c66df5afd158d48abdec28a5af49e0437c716f2b5
DECISION-FREEZE.md,159b78190a02a4c7bf5b1f5499e73c0c9229129868a76aac9d3e26a553678ab9
DECISION.md,e7fce2167859917579a1f76dea13054ec7d38e6b7fd4fb3cdd4c0fddc728ef5e
DUPLICATE-COMPARISON.md,5703565e2dd93fc73ea02b96f84569f7b22b2185f4986bca8cb71265eb716c0b
experiment/CONTRACT.md,7fbdbfbfa40efcf3f1c46399068b48718e07a8e1f2934a385f433fc1d2630dd8
experiment/CONTRACT.sha256,bf8d4559c42bfbe2748132dd32e456216013f54c82b971b6aec7de0f3c661143
experiment/trial-001/CHECK.md,f87f336ed5fc2c59e9f4a38b79e25258b5e5a729e4d2cf95696a6ea3f839ef16
experiment/trial-001/error-by-hour.csv,37374748d1e56af80e1c4ffe34f2ce9fa1641d4524fd4cd8d384e516cc621cd8
experiment/trial-001/predictions.csv,0004513ae666f36bcf4987e2b36944f1c4a8d79bf949ef09b788d0b95e6af93c
experiment/trial-001/PROPOSAL.md,16942ed74789759c49911b72055abe8b1891b28277ccb90ae1d71ba270bcf9fc
experiment/trial-001/RESULT.md,8a41b22ecffafe833fa485169189232cb33e250a8e0551b84d197fec63698162
experiment/trial-002/CHECK.md,a101e649e9626aa9686970246b3c28c8619963a4b7bf34a507202944d0024331
experiment/trial-002/error-by-hour.csv,f40334eb9112cdfe36ef600563343d9305db9c7faf7d336e6088a77885a1fae1
experiment/trial-002/predictions.csv,570ee4df3213290079bd43149fc2b5e9e081b4984302eab9b688580f03258c7b
experiment/trial-002/PROPOSAL.md,47356ee721bf664df6e12560d95b06f0095a0b903e5c369616bf38c475a084c1
experiment/trial-002/RESULT.md,cee0e4dc814196dcecf5db9142403c5e42ce51689d0e2549959038a97866fce9
experiment/trial-003/CHECK.md,e774b6a81e5ff7fa448c7c88d11b97491441358d7715a309f17e1e03e3fa5d4c
experiment/trial-003/error-by-hour.csv,2fb15f5a7a96c57aa2f7d0b6e24a60568b00c79c2da97147413f12564e3b87b5
experiment/trial-003/predictions.csv,c90d2fb5dae04ff22d14388bf3d67e756d518d0427cc4de2356ef84383eb4a4d
experiment/trial-003/PROPOSAL.md,595922bf24ea3ba6a0b638fe0c8990662b366629e4f4a82a7ca3b066341f7281
experiment/trial-003/RESULT.md,f0eedec04b8ec745179bf6c01f95e75eb842e135835eaac58a37272a5344a777
experiment/trials.csv,32979bec1ea496ea36968044df5dc3af0c617b0410c6d51c4e6fcfb0d389cd4e
EXPLORATION-REPORT.md,210b2ac92406b4b8066559c987fed4000dd07a9abf1daf2e6b0d7522652ac80f
hour-errors.csv,1e4ee40d21b9ade3a7db3d5fb216b889038cf29f0784138367def3cf8541b5f2
OBSERVATIONS.md,4335ad89b4001ae8734be24655edd6fed409bf1b5f3adb41dea7bd87b46a9aed
PROGRESS.md,a916d0cfcb52b39636baa2f74afde64706844671754127d1263ec6800e362ed8
PROTOCOL.md,63ccf8f2a3a648052362e94f86382fa2651e02c06f48060891815e8484afa671
run-exploration.py,cf763bdb704caea0143149ac7654cb2964995e748eac734f45a6fa232aba709d
SUGGESTED-RECIPE.txt,cfc336db2cdffbee57ee410671066012e70701a31810030fae5a0e9efbb3102e
TOOL-HASHES.csv,995d3e68b2c7216cfdb8d91f716445bea0d80c13706376bb0bb6671345172597
weather-errors.csv,c34faf0bfe046c28b9547a4cf4365fa134ff4372ac51dceedc4e31e697f268fd
