hour,size,mean
0,182,25.701015636197308
1,182,16.155519250608133
2,181,12.530097564882539
3,176,9.079994809404717
4,179,8.405625473775638
5,182,9.011439066897735
6,182,54.98945543543391
7,182,166.75484661290764
8,182,198.42620513077696
9,182,120.81124608327337
10,182,85.333269518145
11,182,115.0302556249857
12,182,155.58584721781168
13,182,161.4167660822887
14,182,145.4701469515117
15,182,155.9108161942616
16,182,167.9939634283446
17,182,244.12274261011387
18,182,235.35279845687643
19,182,177.0260130144389
20,182,143.88569752117644
21,182,86.52919972880994
22,182,51.437374404682124
23,182,42.715791786064926
