row_id,RMSD,F1,F2,F3,F4,F5,F6,F7,F8,F9
27,4.128,6922.15,2143.02,0.30958,63.6012,989631.0485,91.6472,3146.95,31.0,38.8427
60,1.892,13641.7,3672.22,0.26919,186.821,1883836.0415,212.284,4579.84,185.0,29.1308
79,10.252,7182.05,2359.8,0.32856,55.8177,973376.0357,101.397,2801.82,19.0,40.958
105,10.46,8938.94,4149.05,0.46415,92.4123,1281623.6675,131.192,3735.31,28.0,34.3761
107,9.165,9880.43,2824.41,0.28585,107.046,1355619.9042,136.504,3984.69,36.0,35.878
112,2.874,8565.25,1962.18,0.22908,109.253,1201938.5997,146.283,4199.49,54.0,33.5756
120,12.32,9416.38,3637.32,0.38627,95.3281,1335252.9197,149.767,3866.18,90.0,35.4438
140,4.027,8428.96,2058.58,0.24422,96.4205,1194829.6782,119.74,3806.6,56.0,35.1576
141,5.298,5709.34,1421.13,0.24891,52.3057,789879.8074,82.9841,2645.72,33.0,40.838
152,2.159,9543.45,2234.61,0.23415,111.864,1324950.2436,132.213,4221.34,56.0,34.3281
160,11.325,8625.69,3417.3,0.39617,73.5595,1231463.9387,111.509,3655.45,19.0,37.9844
163,16.462,6570.06,2560.55,0.38973,54.0008,863197.0061,108.933,3450.97,58.0,34.0708
209,4.951,8387.19,2278.04,0.2716,91.7564,1178104.0129,109.957,4083.76,125.0,34.6103
254,5.562,5233.78,1168.13,0.22319,53.475,727935.2732,63.4258,2812.04,17.0,39.8232
285,5.204,8084.92,2211.55,0.27354,90.7685,1074229.7433,135.242,3828.57,34.0,30.6645
310,4.204,7243.53,2057.07,0.28398,66.6182,1008189.3213,96.0069,3064.05,55.0,39.2259
328,3.531,21345.5,6810.63,0.31906,254.793,2983406.0672,339.794,5548.79,69.0,23.165
331,1.043,5279.17,1136.55,0.21528,45.9736,757722.5142,70.9922,2852.09,58.0,40.2008
336,7.069,6645.65,2283.01,0.34353,48.4476,855359.0726,103.239,2208.51,43.0,42.2603
360,3.278,5590.71,1430.92,0.25594,43.5552,796191.4496,67.1495,2509.66,5.0,40.1836
362,12.732,4828.14,1144.12,0.23696,41.5757,665465.9299,66.7739,2653.5,26.0,39.6355
389,3.633,10657.0,3911.79,0.36706,127.704,1470392.6811,181.454,3876.55,29.0,33.7359
391,4.458,14749.0,3118.47,0.21143,179.213,2068895.1715,228.623,5029.42,85.0,26.9522
404,2.822,8699.34,2655.55,0.30525,114.433,1190281.808,141.486,3802.77,79.0,34.9589
408,9.138,16211.0,5552.93,0.34254,173.601,2301749.2199,269.49,5573.02,203.0,27.0069
412,9.784,4905.85,1682.4,0.34293,29.4286,698316.233,60.2098,2406.4,43.0,42.7271
423,1.809,6537.05,1886.15,0.28853,69.366,935147.8733,81.6642,3159.38,13.0,38.7006
436,2.475,5692.01,1414.69,0.24853,63.6363,708999.3503,94.6398,3096.14,18.0,39.4005
447,2.284,4977.23,1347.86,0.2708,46.9127,687762.7987,57.5169,1920.46,17.0,43.3073
455,3.249,10012.6,2683.74,0.26803,97.8183,1393340.5196,126.019,4324.71,43.0,33.2669
