row_id,lever_position,ship_speed,gas_turbine_shaft_torque,gas_turbine_rate_of_revolutions,gas_generator_rate_of_revolutions,starboard_propeller_torque,port_propeller_torque,hp_turbine_exit_temperature,gt_compressor_outlet_air_temperature,hp_turbine_exit_pressure,gt_compressor_outlet_air_pressure,gas_turbine_exhaust_gas_pressure,turbine_injecton_control,fuel_flow,gt_compressor_decay_state_coefficient
2,3.144,9.0,8379.229,1386.757,7111.811,60.358,60.358,606.002,587.587,1.389,7.574,1.02,13.086,0.259,0.95
18,1.138,3.0,753.021,1371.886,6697.838,8.858,8.858,473.665,553.143,1.117,6.047,1.019,0.0,0.088,0.95
28,2.088,6.0,6895.321,1366.843,6830.317,26.481,26.481,633.651,580.761,1.326,7.239,1.019,15.319,0.289,0.95
55,2.088,6.0,6804.076,1363.758,6836.062,25.915,25.915,629.367,579.931,1.323,7.2,1.019,16.701,0.286,0.95
56,3.144,9.0,8379.829,1386.761,7127.343,60.364,60.364,601.03,586.686,1.388,7.53,1.02,12.881,0.255,0.95
67,5.14,15.0,21637.728,1924.325,8501.181,175.288,175.288,724.546,644.354,2.076,11.116,1.026,25.977,0.514,0.95
85,5.14,15.0,21638.127,1924.328,8503.014,175.304,175.304,722.583,643.99,2.076,11.093,1.026,25.865,0.512,0.95
90,1.138,3.0,6303.74,1396.991,6739.385,10.4,10.4,634.168,578.057,1.312,7.11,1.019,0.0,0.278,0.95
114,7.148,21.0,38977.355,2678.079,9138.456,332.161,332.161,842.338,697.883,2.956,15.473,1.035,44.908,0.889,0.95
140,6.175,18.0,29797.33,2307.255,8843.898,246.366,246.366,783.758,673.058,2.496,13.15,1.03,34.673,0.687,0.95
142,8.206,24.0,50997.156,3087.62,9323.977,438.037,438.037,936.687,739.356,3.563,18.313,1.041,60.996,1.208,0.95
157,5.14,15.0,21639.277,1924.343,8510.342,175.305,175.305,714.831,642.546,2.074,11.003,1.026,25.421,0.503,0.95
195,7.148,21.0,38974.631,2678.075,9143.01,332.11,332.11,833.209,696.381,2.951,15.323,1.035,44.191,0.875,0.95
203,6.175,18.0,29798.5,2307.212,8851.106,246.339,246.339,776.229,671.545,2.494,13.056,1.03,34.181,0.677,0.95
206,9.3,27.0,72782.59,3560.741,9795.105,645.236,645.236,1096.477,786.117,4.471,22.218,1.049,90.263,1.787,0.95
214,8.206,24.0,50994.777,3087.564,9326.963,438.052,438.052,928.632,738.136,3.556,18.148,1.041,60.241,1.193,0.95
215,9.3,27.0,72781.391,3560.72,9795.778,644.884,644.884,1095.609,785.988,4.47,22.192,1.049,90.159,1.785,0.95
224,9.3,27.0,72779.536,3560.712,9796.44,645.18,645.18,1094.742,785.859,4.468,22.165,1.049,90.054,1.783,0.95
279,1.138,3.0,2040.263,1407.154,6727.948,10.958,10.958,510.381,560.093,1.171,6.334,1.019,0.0,0.13,0.951
297,1.138,3.0,3357.235,1419.064,6741.94,11.699,11.699,549.554,566.61,1.222,6.608,1.019,0.0,0.176,0.951
315,1.138,3.0,4877.17,1413.343,6744.217,11.369,11.369,593.465,572.775,1.271,6.878,1.019,0.0,0.229,0.951
321,7.148,21.0,38979.092,2678.083,9136.432,332.044,332.044,844.736,698.071,2.959,15.527,1.035,45.114,0.893,0.951
326,3.144,9.0,8380.117,1386.763,7135.375,60.362,60.362,597.286,585.866,1.388,7.501,1.02,12.729,0.252,0.951
336,4.161,12.0,14725.179,1547.472,7812.492,113.796,113.796,651.179,611.841,1.655,8.908,1.022,17.621,0.349,0.951
341,9.3,27.0,72772.093,3560.423,9785.857,644.768,644.768,1104.787,787.177,4.485,22.518,1.049,91.312,1.808,0.951
367,8.206,24.0,50997.204,3087.618,9323.009,438.053,438.053,937.011,739.182,3.564,18.338,1.041,61.051,1.209,0.951
374,6.175,18.0,29797.016,2307.258,8842.79,246.276,246.276,783.222,672.808,2.496,13.152,1.03,34.647,0.686,0.951
390,4.161,12.0,14725.718,1547.475,7824.688,113.8,113.8,645.936,610.883,1.654,8.855,1.022,17.37,0.344,0.951
409,5.14,15.0,21639.525,1924.346,8511.193,175.329,175.329,712.383,641.936,2.073,10.983,1.026,25.287,0.501,0.951
414,1.138,3.0,267.668,1345.641,6723.539,7.335,7.335,451.241,547.282,1.094,5.833,1.019,6.793,0.073,0.951
418,5.14,15.0,21639.652,1924.348,8512.109,175.307,175.307,711.43,641.758,2.073,10.971,1.026,25.232,0.499,0.951
420,7.148,21.0,38975.439,2678.076,9142.004,332.014,332.014,833.523,696.225,2.952,15.342,1.035,44.233,0.876,0.951
458,9.3,27.0,72783.338,3560.74,9795.386,645.249,645.249,1093.588,785.479,4.47,22.172,1.049,89.979,1.781,0.951
469,2.088,6.0,6946.956,1369.166,6819.577,26.915,26.915,636.147,581.011,1.329,7.273,1.019,14.287,0.291,0.952
476,9.3,27.0,72762.643,3560.396,9776.138,644.899,644.899,1113.433,788.352,4.5,22.824,1.049,92.397,1.829,0.952
518,6.175,18.0,29793.772,2307.364,8831.347,246.289,246.289,793.715,674.771,2.5,13.291,1.03,35.342,0.7,0.952
558,1.138,3.0,5667.729,1405.354,6739.88,10.889,10.889,614.909,575.43,1.295,7.009,1.019,0.0,0.255,0.952
576,1.138,3.0,7401.689,1370.648,6724.002,8.838,8.838,667.667,580.495,1.335,7.246,1.019,7.384,0.326,0.952
626,6.175,18.0,29797.235,2307.248,8843.747,246.315,246.315,780.522,672.125,2.496,13.127,1.03,34.479,0.683,0.952
636,7.148,21.0,38976.515,2678.076,9140.492,332.15,332.15,834.848,696.236,2.954,15.379,1.035,44.355,0.878,0.952
653,6.175,18.0,29798.051,2307.232,8846.846,246.295,246.295,777.297,671.477,2.495,13.087,1.03,34.268,0.678,0.952
683,9.3,27.0,72781.524,3560.454,9793.489,644.888,644.888,1093.224,785.217,4.472,22.204,1.049,89.997,1.782,0.952
698,6.175,18.0,29798.554,2307.205,8851.978,246.353,246.353,771.983,670.407,2.493,13.02,1.03,33.919,0.672,0.952
707,6.175,18.0,29791.743,2307.433,8825.062,246.24,246.24,798.82,675.651,2.503,13.362,1.03,35.682,0.706,0.953
723,4.161,12.0,14724.149,1547.464,7789.667,113.797,113.797,658.247,612.854,1.658,8.992,1.022,17.967,0.356,0.953
732,4.161,12.0,14724.164,1547.465,7791.67,113.797,113.797,657.348,612.691,1.658,8.983,1.022,17.924,0.355,0.953
744,7.148,21.0,38982.405,2678.088,9132.911,332.095,332.095,848.522,698.291,2.963,15.619,1.035,45.447,0.9,0.953
750,4.161,12.0,14724.325,1547.467,7795.69,113.792,113.792,655.558,612.365,1.657,8.964,1.022,17.839,0.353,0.953
775,2.088,6.0,6325.462,1354.422,6828.521,24.215,24.215,616.166,577.073,1.306,7.098,1.019,20.804,0.274,0.953
779,6.175,18.0,29794.371,2307.336,8833.351,246.251,246.251,789.836,673.853,2.5,13.251,1.03,35.098,0.695,0.953
805,5.14,15.0,21637.345,1924.331,8501.889,175.319,175.319,719.012,642.866,2.076,11.075,1.026,25.681,0.508,0.953
813,4.161,12.0,14724.999,1547.471,7809.826,113.78,113.78,649.364,611.236,1.656,8.901,1.022,17.542,0.347,0.953
843,7.148,21.0,38977.997,2678.076,9138.476,332.167,332.167,837.198,696.417,2.956,15.433,1.035,44.558,0.882,0.953
883,2.088,6.0,4287.625,1344.74,6853.035,22.421,22.421,553.777,567.261,1.241,6.659,1.019,22.766,0.203,0.953
931,5.14,15.0,21639.629,1924.357,8514.709,175.335,175.335,705.639,640.368,2.072,10.919,1.026,24.911,0.493,0.953
937,2.088,6.0,6772.786,1362.198,6810.725,25.624,25.624,632.521,579.798,1.322,7.236,1.019,17.707,0.289,0.954
949,5.14,15.0,21635.312,1924.313,8491.78,175.284,175.284,728.315,644.44,2.079,11.191,1.026,26.219,0.519,0.954
956,3.144,9.0,8378.986,1386.756,7107.726,60.35,60.35,602.464,586.395,1.389,7.561,1.02,12.949,0.256,0.954
973,2.088,6.0,6458.988,1356.15,6817.123,24.529,24.529,622.331,578.001,1.311,7.152,1.019,20.39,0.279,0.954
1027,2.088,6.0,5439.576,1346.809,6826.606,22.815,22.815,592.487,573.169,1.278,6.929,1.019,23.409,0.247,0.954
1087,8.206,24.0,50996.355,3087.6,9321.897,438.126,438.126,932.934,737.876,3.565,18.306,1.041,60.742,1.203,0.954
1096,8.206,24.0,50995.504,3087.581,9322.285,437.969,437.969,931.903,737.721,3.564,18.285,1.041,60.645,1.201,0.954
1097,9.3,27.0,72776.098,3560.434,9786.885,644.875,644.875,1096.022,785.237,4.482,22.376,1.049,90.451,1.791,0.954
1123,8.206,24.0,50994.812,3087.557,9323.485,438.104,438.104,928.842,737.265,3.562,18.224,1.041,60.36,1.195,0.954
1131,7.148,21.0,38976.665,2678.078,9141.008,332.02,332.02,830.461,695.101,2.953,15.336,1.035,44.045,0.872,0.954
1181,3.144,9.0,8378.733,1386.755,7102.841,60.348,60.348,602.825,586.322,1.389,7.569,1.02,12.966,0.257,0.955
1183,5.14,15.0,21635.094,1924.312,8490.809,175.314,175.314,727.774,644.187,2.08,11.193,1.026,26.195,0.519,0.955
