game,agent_mark,winner,result,plies,final_board
0,X,X,win,7,X.OXXOXO.
1,O,X,loss,7,O.X.OXOXX
2,X,X,win,7,OO.XXXOX.
3,O,X,loss,7,OXOXX.OX.
4,X,draw,draw,9,XXOOOXXXO
5,O,O,win,8,XOXOOO.XX
6,X,O,loss,8,XXOXOOOX.
7,O,X,loss,9,XXOOXXOXO
8,X,X,win,9,OOXXOXOXX
9,O,O,win,6,OX.XO.X.O
10,X,draw,draw,9,OXOXOXXOX
11,O,O,win,8,X.OOOXOXX
12,X,draw,draw,9,OXXXOOXOX
13,O,O,win,8,OXXX.XOOO
14,X,X,win,5,XO..XO..X
15,O,X,loss,7,.OOO.XXXX
16,X,X,win,9,XXXXOOOXO
17,O,X,loss,7,XX.OXOO.X
18,X,draw,draw,9,OXXXOOOXX
19,O,X,loss,9,OXOXXOOXX
20,X,X,win,9,OOXOXXXXO
21,O,X,loss,9,OOXXXOXXO
22,X,X,win,5,..XOX.XO.
23,O,X,loss,5,XO..XO..X
24,X,X,win,9,XXXXOOOXO
25,O,X,loss,5,..X.X.XOO
26,X,O,loss,6,XXO.OXO..
27,O,O,win,6,XO..O.XOX
28,X,X,win,7,OOXO.XX.X
29,O,X,loss,9,XOXXXOXOO
30,X,X,win,5,XO.OX...X
31,O,X,loss,9,OOXXXOXOX
32,X,X,win,7,.OOXXX.XO
33,O,draw,draw,9,XOXXXOOXO
34,X,X,win,7,XXX.XOO.O
35,O,X,loss,7,XO.OXO.XX
36,X,X,win,7,..XOXXOOX
37,O,X,loss,9,XXXXOOOXO
38,X,X,win,9,OOXXOXOXX
39,O,X,loss,5,..O.O.XXX
40,X,X,win,7,OOXO.X.XX
41,O,X,loss,7,OX.XXO.XO
42,X,draw,draw,9,OXXXOOOXX
43,O,O,win,8,OXO.OXOXX
44,X,X,win,9,OOXXXOXXO
45,O,O,win,8,XOOXO.OXX
46,X,O,loss,8,.XOXOOXXO
47,O,X,loss,9,OXXOXXXOO
48,X,O,loss,6,.XXOOOX..
49,O,X,loss,7,X..XXOOOX
50,X,O,loss,6,..OXOXOX.
51,O,O,win,8,O.OOXXOXX
52,X,X,win,7,X.O.XOXOX
53,O,X,loss,5,..XO.XO.X
54,X,X,win,9,OXXXXOOXO
55,O,X,loss,5,X...XOO.X
56,X,X,win,7,OX.OX.XXO
57,O,X,loss,9,XOXOXOXXO
58,X,X,win,7,.OOXXXX.O
59,O,O,win,6,.XO.XOX.O
60,X,X,win,7,.OX.OOXXX
61,O,O,win,8,OXOX.OXXO
62,X,O,loss,8,XOXOOXXO.
63,O,X,loss,9,OOXXXOXXO
64,X,X,win,7,..OXXXOXO
