game,agent_mark,ply,board,player,action,after
0,X,1,.........,X,0,X........
0,X,2,X........,O,2,X.O......
0,X,3,X.O......,X,4,X.O.X....
0,X,4,X.O.X....,O,5,X.O.XO...
0,X,5,X.O.XO...,X,3,X.OXXO...
0,X,6,X.OXXO...,O,7,X.OXXO.O.
0,X,7,X.OXXO.O.,X,6,X.OXXOXO.
1,O,1,.........,X,8,........X
1,O,2,........X,O,6,......O.X
1,O,3,......O.X,X,7,......OXX
1,O,4,......OXX,O,4,....O.OXX
1,O,5,....O.OXX,X,2,..X.O.OXX
1,O,6,..X.O.OXX,O,0,O.X.O.OXX
1,O,7,O.X.O.OXX,X,5,O.X.OXOXX
2,X,1,.........,X,4,....X....
2,X,2,....X....,O,0,O...X....
2,X,3,O...X....,X,5,O...XX...
2,X,4,O...XX...,O,6,O...XXO..
2,X,5,O...XXO..,X,7,O...XXOX.
2,X,6,O...XXOX.,O,1,OO..XXOX.
2,X,7,OO..XXOX.,X,3,OO.XXXOX.
3,O,1,.........,X,1,.X.......
3,O,2,.X.......,O,2,.XO......
3,O,3,.XO......,X,3,.XOX.....
3,O,4,.XOX.....,O,6,.XOX..O..
3,O,5,.XOX..O..,X,4,.XOXX.O..
3,O,6,.XOXX.O..,O,0,OXOXX.O..
3,O,7,OXOXX.O..,X,7,OXOXX.OX.
4,X,1,.........,X,5,.....X...
4,X,2,.....X...,O,2,..O..X...
4,X,3,..O..X...,X,0,X.O..X...
4,X,4,X.O..X...,O,8,X.O..X..O
4,X,5,X.O..X..O,X,6,X.O..XX.O
4,X,6,X.O..XX.O,O,3,X.OO.XX.O
4,X,7,X.OO.XX.O,X,7,X.OO.XXXO
4,X,8,X.OO.XXXO,O,4,X.OOOXXXO
4,X,9,X.OOOXXXO,X,1,XXOOOXXXO
5,O,1,.........,X,8,........X
5,O,2,........X,O,5,.....O..X
5,O,3,.....O..X,X,2,..X..O..X
5,O,4,..X..O..X,O,1,.OX..O..X
5,O,5,.OX..O..X,X,7,.OX..O.XX
5,O,6,.OX..O.XX,O,4,.OX.OO.XX
5,O,7,.OX.OO.XX,X,0,XOX.OO.XX
5,O,8,XOX.OO.XX,O,3,XOXOOO.XX
6,X,1,.........,X,1,.X.......
6,X,2,.X.......,O,6,.X....O..
6,X,3,.X....O..,X,3,.X.X..O..
6,X,4,.X.X..O..,O,2,.XOX..O..
6,X,5,.XOX..O..,X,7,.XOX..OX.
6,X,6,.XOX..OX.,O,5,.XOX.OOX.
6,X,7,.XOX.OOX.,X,0,XXOX.OOX.
6,X,8,XXOX.OOX.,O,4,XXOXOOOX.
7,O,1,.........,X,5,.....X...
7,O,2,.....X...,O,8,.....X..O
7,O,3,.....X..O,X,0,X....X..O
7,O,4,X....X..O,O,3,X..O.X..O
7,O,5,X..O.X..O,X,1,XX.O.X..O
7,O,6,XX.O.X..O,O,6,XX.O.XO.O
7,O,7,XX.O.XO.O,X,4,XX.OXXO.O
7,O,8,XX.OXXO.O,O,2,XXOOXXO.O
7,O,9,XXOOXXO.O,X,7,XXOOXXOXO
8,X,1,.........,X,3,...X.....
8,X,2,...X.....,O,1,.O.X.....
8,X,3,.O.X.....,X,8,.O.X....X
8,X,4,.O.X....X,O,6,.O.X..O.X
8,X,5,.O.X..O.X,X,7,.O.X..OXX
8,X,6,.O.X..OXX,O,0,OO.X..OXX
8,X,7,OO.X..OXX,X,5,OO.X.XOXX
8,X,8,OO.X.XOXX,O,4,OO.XOXOXX
8,X,9,OO.XOXOXX,X,2,OOXXOXOXX
9,O,1,.........,X,6,......X..
9,O,2,......X..,O,4,....O.X..
9,O,3,....O.X..,X,3,...XO.X..
9,O,4,...XO.X..,O,0,O..XO.X..
9,O,5,O..XO.X..,X,1,OX.XO.X..
9,O,6,OX.XO.X..,O,8,OX.XO.X.O
10,X,1,.........,X,3,...X.....
10,X,2,...X.....,O,4,...XO....
10,X,3,...XO....,X,5,...XOX...
10,X,4,...XOX...,O,2,..OXOX...
10,X,5,..OXOX...,X,8,..OXOX..X
10,X,6,..OXOX..X,O,7,..OXOX.OX
10,X,7,..OXOX.OX,X,6,..OXOXXOX
10,X,8,..OXOXXOX,O,0,O.OXOXXOX
10,X,9,O.OXOXXOX,X,1,OXOXOXXOX
11,O,1,.........,X,7,.......X.
11,O,2,.......X.,O,2,..O....X.
11,O,3,..O....X.,X,5,..O..X.X.
11,O,4,..O..X.X.,O,4,..O.OX.X.
11,O,5,..O.OX.X.,X,8,..O.OX.XX
11,O,6,..O.OX.XX,O,3,..OOOX.XX
11,O,7,..OOOX.XX,X,0,X.OOOX.XX
11,O,8,X.OOOX.XX,O,6,X.OOOXOXX
12,X,1,.........,X,1,.X.......
12,X,2,.X.......,O,7,.X.....O.
12,X,3,.X.....O.,X,2,.XX....O.
12,X,4,.XX....O.,O,4,.XX.O..O.
12,X,5,.XX.O..O.,X,3,.XXXO..O.
12,X,6,.XXXO..O.,O,5,.XXXOO.O.
12,X,7,.XXXOO.O.,X,8,.XXXOO.OX
12,X,8,.XXXOO.OX,O,0,OXXXOO.OX
12,X,9,OXXXOO.OX,X,6,OXXXOOXOX
13,O,1,.........,X,1,.X.......
13,O,2,.X.......,O,0,OX.......
13,O,3,OX.......,X,2,OXX......
13,O,4,OXX......,O,6,OXX...O..
13,O,5,OXX...O..,X,5,OXX..XO..
13,O,6,OXX..XO..,O,7,OXX..XOO.
13,O,7,OXX..XOO.,X,3,OXXX.XOO.
13,O,8,OXXX.XOO.,O,8,OXXX.XOOO
14,X,1,.........,X,0,X........
14,X,2,X........,O,1,XO.......
14,X,3,XO.......,X,4,XO..X....
14,X,4,XO..X....,O,5,XO..XO...
14,X,5,XO..XO...,X,8,XO..XO..X
15,O,1,.........,X,6,......X..
15,O,2,......X..,O,3,...O..X..
15,O,3,...O..X..,X,5,...O.XX..
15,O,4,...O.XX..,O,1,.O.O.XX..
15,O,5,.O.O.XX..,X,8,.O.O.XX.X
15,O,6,.O.O.XX.X,O,2,.OOO.XX.X
15,O,7,.OOO.XX.X,X,7,.OOO.XXXX
16,X,1,.........,X,3,...X.....
16,X,2,...X.....,O,5,...X.O...
16,X,3,...X.O...,X,0,X..X.O...
16,X,4,X..X.O...,O,6,X..X.OO..
16,X,5,X..X.OO..,X,7,X..X.OOX.
16,X,6,X..X.OOX.,O,8,X..X.OOXO
16,X,7,X..X.OOXO,X,1,XX.X.OOXO
16,X,8,XX.X.OOXO,O,4,XX.XOOOXO
16,X,9,XX.XOOOXO,X,2,XXXXOOOXO
17,O,1,.........,X,1,.X.......
17,O,2,.X.......,O,5,.X...O...
17,O,3,.X...O...,X,4,.X..XO...
17,O,4,.X..XO...,O,3,.X.OXO...
17,O,5,.X.OXO...,X,0,XX.OXO...
17,O,6,XX.OXO...,O,6,XX.OXOO..
17,O,7,XX.OXOO..,X,8,XX.OXOO.X
18,X,1,.........,X,7,.......X.
18,X,2,.......X.,O,5,.....O.X.
18,X,3,.....O.X.,X,1,.X...O.X.
18,X,4,.X...O.X.,O,0,OX...O.X.
18,X,5,OX...O.X.,X,8,OX...O.XX
18,X,6,OX...O.XX,O,6,OX...OOXX
18,X,7,OX...OOXX,X,2,OXX..OOXX
18,X,8,OXX..OOXX,O,4,OXX.OOOXX
18,X,9,OXX.OOOXX,X,3,OXXXOOOXX
19,O,1,.........,X,8,........X
19,O,2,........X,O,2,..O.....X
19,O,3,..O.....X,X,3,..OX....X
19,O,4,..OX....X,O,0,O.OX....X
19,O,5,O.OX....X,X,4,O.OXX...X
19,O,6,O.OXX...X,O,5,O.OXXO..X
19,O,7,O.OXXO..X,X,7,O.OXXO.XX
19,O,8,O.OXXO.XX,O,6,O.OXXOOXX
19,O,9,O.OXXOOXX,X,1,OXOXXOOXX
20,X,1,.........,X,7,.......X.
20,X,2,.......X.,O,1,.O.....X.
20,X,3,.O.....X.,X,4,.O..X..X.
20,X,4,.O..X..X.,O,3,.O.OX..X.
20,X,5,.O.OX..X.,X,5,.O.OXX.X.
20,X,6,.O.OXX.X.,O,8,.O.OXX.XO
20,X,7,.O.OXX.XO,X,2,.OXOXX.XO
20,X,8,.OXOXX.XO,O,0,OOXOXX.XO
20,X,9,OOXOXX.XO,X,6,OOXOXXXXO
21,O,1,.........,X,7,.......X.
21,O,2,.......X.,O,8,.......XO
21,O,3,.......XO,X,6,......XXO
21,O,4,......XXO,O,0,O.....XXO
21,O,5,O.....XXO,X,3,O..X..XXO
21,O,6,O..X..XXO,O,5,O..X.OXXO
21,O,7,O..X.OXXO,X,2,O.XX.OXXO
21,O,8,O.XX.OXXO,O,1,OOXX.OXXO
21,O,9,OOXX.OXXO,X,4,OOXXXOXXO
22,X,1,.........,X,6,......X..
