seed,family,kind,position,arm
8101,1,classification,0,broad
8101,1,classification,1,greedy
8101,1,classification,2,lineage
8101,1,classification,3,evolved
8101,1,classification,4,broad-stop
8102,2,regression,0,greedy
8102,2,regression,1,lineage
8102,2,regression,2,evolved
8102,2,regression,3,broad-stop
8102,2,regression,4,broad
8103,0,classification,0,lineage
8103,0,classification,1,evolved
8103,0,classification,2,broad-stop
8103,0,classification,3,broad
8103,0,classification,4,greedy
8104,1,regression,0,evolved
8104,1,regression,1,broad-stop
8104,1,regression,2,broad
8104,1,regression,3,greedy
8104,1,regression,4,lineage
8105,2,classification,0,broad-stop
8105,2,classification,1,broad
8105,2,classification,2,greedy
8105,2,classification,3,lineage
8105,2,classification,4,evolved
8106,0,regression,0,broad
8106,0,regression,1,greedy
8106,0,regression,2,lineage
8106,0,regression,3,evolved
8106,0,regression,4,broad-stop
8107,1,classification,0,greedy
8107,1,classification,1,lineage
8107,1,classification,2,evolved
8107,1,classification,3,broad-stop
8107,1,classification,4,broad
8108,2,regression,0,lineage
8108,2,regression,1,evolved
8108,2,regression,2,broad-stop
8108,2,regression,3,broad
8108,2,regression,4,greedy
8109,0,classification,0,evolved
8109,0,classification,1,broad-stop
8109,0,classification,2,broad
8109,0,classification,3,greedy
8109,0,classification,4,lineage
8110,1,regression,0,broad-stop
8110,1,regression,1,broad
8110,1,regression,2,greedy
8110,1,regression,3,lineage
8110,1,regression,4,evolved
8111,2,classification,0,broad
8111,2,classification,1,greedy
8111,2,classification,2,lineage
8111,2,classification,3,evolved
8111,2,classification,4,broad-stop
8112,0,regression,0,greedy
8112,0,regression,1,lineage
8112,0,regression,2,evolved
8112,0,regression,3,broad-stop
8112,0,regression,4,broad
8113,1,classification,0,lineage
8113,1,classification,1,evolved
8113,1,classification,2,broad-stop
8113,1,classification,3,broad
8113,1,classification,4,greedy
8114,2,regression,0,evolved
8114,2,regression,1,broad-stop
8114,2,regression,2,broad
8114,2,regression,3,greedy
8114,2,regression,4,lineage
8115,0,classification,0,broad-stop
8115,0,classification,1,broad
8115,0,classification,2,greedy
8115,0,classification,3,lineage
8115,0,classification,4,evolved
8116,1,regression,0,broad
8116,1,regression,1,greedy
8116,1,regression,2,lineage
8116,1,regression,3,evolved
8116,1,regression,4,broad-stop
