path,sha256,bytes
07-01/CORRECTED-REPORT.md,df63edef95680ec5a1472e20be67147fc829c1297c6436026d935740428cb08b,114
07-01/CORRECTION.md,509e7fe85e1ac9e501479150a2bbe980d57f6887b17b30382265e68c9525dd0a,450
07-01/FIXED-REPORTER.md,80a0a6b45af588f359c3428d8a4f439de07322103a7a149d18247c232190b4d9,170
07-01/LATER-TRACE.md,89ae8b73cc5d56584abcb31857fc9de2066b7ed65262b0ba2b4aa06ac806a96e,273
07-01/LATER-WRONG-REPORT.md,84d652d14160f49a8c9de5662e88b2061b62143a1d4e61d73bad5cce25f08600,113
07-01/ORIGINAL-WRONG-REPORT.md,2614399700c5158adac9eff8a15ddd7b10c8e8247f54ab275a2e65c2dd7ad404,119
07-01/predictions.csv,0004513ae666f36bcf4987e2b36944f1c4a8d79bf949ef09b788d0b95e6af93c,82005
07-02/inputs/classification-child-selection-predictions.csv,c90caaee6d0f4cba918d43b44c88057d600d72509b441e56ac1217111defd2c6,3819
07-02/inputs/classification-child-training-predictions.csv,15e96b7f1301bc6beec87ab77d863bdc062d559d977fbc14de46b327d78dd63e,10778
07-02/inputs/classification-data.csv,04efd8e262ab1757fb79a3e23c521bdfd3e306badccf0fbce27cb1bef1abb8b0,54605
07-02/inputs/classification-parent-selection-predictions.csv,ee98b3317b22c02107a5a784378675e53029462dfbab2fef4e9ec2f334ea76f2,3819
07-02/inputs/classification-parent-training-predictions.csv,644f4daa8836a5bf57032f2fa7bb0f59c1ff0362b7a03d9e43332ffa770aafbe,10778
07-02/inputs/regression-child-selection-predictions.csv,6781e1d8931aec2af81b9337931e99b46696f7519657bc382422a84baffa9d01,10519
07-02/inputs/regression-child-training-predictions.csv,e9f19b4632daed13eb7ee6928ccbf057f67697559152aeb14b3f431d1084c115,30993
07-02/inputs/regression-data.csv,4801610c1293d188eceac6b8e22171e843d25f05459f2092250265b19dbe5b70,267961
07-02/inputs/regression-parent-selection-predictions.csv,f4783dd31ddda513acbf6fd574bb00d44da5e51d1a1b1b79ebc4854354aaf436,10551
07-02/inputs/regression-parent-training-predictions.csv,45f771a00133998a0d6346fb355b0f533595f00183ad02481e8f2cfb241ba634,31035
07-02/REFLECTION.md,90dc509bd1116f114012d6740ac82fea63a0605dd97368457722678ed4f7954b,781
07-02/RETENTION.md,015ea3b24f6e8cc66e00912496a7dd4903d56dc983ac05cc59b57d01598822c4,399
07-02/TWO-CHECKS.csv,46ff1605a5f241d7ea260e34475c94beb9c2d2d2052f741345afecc4767595ca,281
07-03/DECISION.csv,ea152009ad8e4c8b1c5226c3294ad4cc7c0fdd7ddbc20a795cc1d9bc54604dae,126
07-03/DECISION.md,ccb6706474061f9a902fbd866ef6cba207314621ef7699dcf2c75715fee73734,258
07-03/inputs/trial-001-predictions.csv,4010cb4ad7f4b75da32f282e6446092790f849f7933f0541e9e569f0b39a4d7d,3005
07-03/inputs/trial-002-predictions.csv,b2f22f90b4857deac8c057a339531673c09f9c98905d16b0993f1a386ab6ca8c,3005
07-03/MEMORY-v1.md,b983a6533dbf637c4041164a8b9ae516cb204fb29f6642c5c546c64a6bb72046,444
07-03/NO-MEMORY-RULE.md,74dc7520b34f5124642ffa712171c122fc54d8914585d99649adfec97e369eef,194
07-03/OPTIONS.csv,6d9313b56ab8e3e04326b6dc9f40a270ac647d81e03049e42e7cd0feaafc7a4b,105
07-03/OUT-OF-SCOPE.md,e5168b785bfb2187fe75346d153e894a16041426c63547589953ce58bf889fa6,370
07-03/OUTCOMES.csv,674154652013327156d2321853c9bea2f62d99d88cee3762e99a907ff5124012,119
07-03/SCOPE-CHECK.csv,6184fb33afc981b0cc7b067ae40394a24321904b50f7a3fb93eaff156da5bfb1,93
07-03/TASK.md,75766b36829b1c4ac9c490622c7a3bb9a3bb2662ca9e7b521f071cdcb02076be,246
07-03/USE-AND-BENEFIT.md,b938ff21ec850302800ac71c64c728e01387f79b1b28fbd3965c0d3ca7f13a43,432
07-04/CHANGE-PROPOSAL.md,da88a956602fcdfbee3dd2a4528a7684a78711b12dd1dd3fcb853e28883fd335,711
07-04/child/CONTRACT.md,99ee29913196a8f07c63a3802b64ec18729bd5bf3d26538b54c3b3a527cc3345,585
07-04/child/CONTRACT.sha256,7b5c234ac090bc462e2dd7916ea7d0d1497c588100b818950c9b1d64a9486093,65
07-04/child/SECOND-CHOICE.md,f0514e18b16bbd1b5f137a864acdcee1c8ff6b4a0183d7749d78c381be252521,280
07-04/child/SLICES.csv,ecbdde95fcaba3e419d6bc639e527b1e89d83c850a341dbb9780b76da0a8211e,631
07-04/child/trial-001/CHECK.md,f87f336ed5fc2c59e9f4a38b79e25258b5e5a729e4d2cf95696a6ea3f839ef16,198
07-04/child/trial-001/error-by-hour.csv,37374748d1e56af80e1c4ffe34f2ce9fa1641d4524fd4cd8d384e516cc621cd8,629
07-04/child/trial-001/POLICY-SNAPSHOT.md,f24fc20001822c7701e2f2ab942708c17447ad05783dccc21c9a6734b61cc764,522
07-04/child/trial-001/predictions.csv,0004513ae666f36bcf4987e2b36944f1c4a8d79bf949ef09b788d0b95e6af93c,82005
07-04/child/trial-001/PROPOSAL.md,dfde3c1b41161af3c7c28baddd1f5935bc52ace7158db6ab180ea179e937dfff,283
07-04/child/trial-001/RESULT.md,8a41b22ecffafe833fa485169189232cb33e250a8e0551b84d197fec63698162,337
