action,exit,wall_seconds
02-06-arm-a-constant-17,0,3.029437400000461
02-06-arm-a-check-trial-001,0,3.0017326999950456
02-06-arm-a-constant-17,0,3.2983200999951805
02-06-arm-a-check-trial-002,0,2.952818700003263
02-06-arm-b-constant-17,0,2.728904900002817
02-06-arm-b-check-trial-001,0,2.8074280000000726
02-06-arm-b-linear-17,0,3.138329800000065
02-06-arm-b-check-trial-002,0,3.23190969999996
05-02-bike-constant-17,0,4.544286300006206
05-02-bike-check-trial-001,0,3.1489696000062395
05-02-wine-constant-17,0,2.5432283999980427
05-02-wine-check-trial-001,0,2.499175600001763
05-04-run-constant-17,0,2.611060600000201
05-04-run-check-trial-001,0,2.5254952999966918
08-01-tree-tree-17,0,2.6323566999999457
08-01-tree-check-trial-001,0,2.6464951999951154
08-01-forest-forest-17,0,3.264331200000015
08-01-forest-check-trial-001,0,2.7118040999994264
08-01-tree-tree-29,0,2.5563143999970634
08-01-tree-check-trial-002,0,2.5735973000046215
08-01-forest-forest-29,0,3.5280617000025813
08-01-forest-check-trial-002,0,2.639181099999405
08-01-tree-tree-43,0,3.1250787999961176
08-01-tree-check-trial-003,0,2.7826037000049837
08-01-forest-forest-43,0,4.523299100001168
08-01-forest-check-trial-003,0,2.592823500002851
