attempt,task,kind,candidate,status,exit_code,worker_seconds,selection_score,selection_loss
1,3,classification,rbf-unscaled,success,0,1.89249529998051,0.9938461538461538,0.0061538461538461
2,3,classification,rbf-wide,success,0,1.7883231999876443,0.9528915662650602,0.0471084337349397
3,3,classification,extra-leaf2,success,0,2.0247588000202086,0.9877896200185357,0.0122103799814643
4,3,classification,boost-regularized,success,0,2.249368399992818,0.9938785912882298,0.0061214087117702
5,16,classification,rbf-unscaled,success,0,2.2235617999976967,0.9828091546696198,0.0171908453303801
6,16,classification,rbf-wide,success,0,2.6252995999820996,0.9805389442598744,0.0194610557401254
7,16,classification,extra-leaf2,success,0,2.2099598000058904,0.970740088145229,0.0292599118547709
8,16,classification,boost-regularized,success,0,14.912166199996136,0.9483609417238548,0.0516390582761452
9,28,classification,rbf-unscaled,success,0,2.0431146000046283,0.9873781960906424,0.0126218039093576
10,28,classification,rbf-wide,success,0,2.690608400007477,0.9875513361443372,0.0124486638556629
11,28,classification,extra-leaf2,success,0,2.616261499992106,0.9765970363403892,0.0234029636596106
12,28,classification,boost-regularized,success,0,11.924283700005617,0.9659162130362858,0.0340837869637141
13,361234,regression,median-reference,success,0,1.670592199981911,2.2975,0.9606271777003484
14,361234,regression,absolute-boost,success,0,1.9531647999829147,1.42945161967773,0.5976801197258802
15,361234,regression,absolute-forest,success,0,10.786576199985575,1.439169921875,0.6017435213414635
16,361234,regression,svr-tight,success,0,2.002549500000896,1.431213666762822,0.5984168641517027
17,361236,regression,median-reference,success,0,1.5743724999774713,6534.4633249201925,0.9999130438420936
18,361236,regression,absolute-boost,success,0,2.236101000016788,851.8147627239279,0.130345928935995
19,361236,regression,absolute-forest,success,0,3.485409700020682,778.8874302014452,0.119186482870433
20,361236,regression,svr-tight,success,0,2.0187979000038467,1086.557766182629,0.1662666433753697
21,361244,regression,median-reference,success,0,1.8563858999987133,0.3259259259259259,1.1164313484755477
22,361244,regression,absolute-boost,success,0,1.8829816999787,0.3259259259259259,1.1164313484755477
23,361244,regression,absolute-forest,success,0,2.8292350999836344,0.3420717592592592,1.171737517904645
24,361244,regression,svr-tight,success,0,1.7874981999921147,0.3401230512103315,1.1650623853613566
