"path","bytes","sha256"
"COST.csv","163","5d59533e764f70906a55384547ef4fc3550acaf97cfc21400a63b1c792574077"
"driver.source.py","15982","e4d1bb0cf3e18554119a40b747e9213f18d31f9c90ab8ef3f1f7c6bd75e7a54f"
"EXECUTION-STATUS.txt","40","11f73eae3f4c8c21f97c815679381f825dece1e20360b0813b1434964384f68a"
"EXECUTION.txt","167","1de3f0f25e184343d5930600dc5a132055e0e3dbe751fef842981a77fed59249"
"INPUTS.csv","308","687bc2dfb09d6264a69bab4f6da2824a05dd46fc73157d101e4506062d85e8c0"
"LARGER-TRAINING-PLAN.md","3417","f83b7238ef2590329b8e50ae9bea9630898572b0be15396d36aff31b6de914a9"
"PROGRESS.md","499","bb8563eb701db4b0bad5a09882f5638fdd1b4a6e84beca2f98d00df2abeeb243"
"PROTOCOL.md","4641","7bc139f9a8e556abacdfdb581d948f535e35ec9bc4c49b134203021759359926"
"REPORT-VERDICTS.csv","662","1d857dbb3157d9893c1b6830a97181dc881a9648418c1453b43a1f6ebafbd31c"
"SOURCE.md","611","e835ec2027c2958b8488890541ef8d821c34868e0dcc7f47b04a1cd7383f85f4"
"10-22/GWAS-NOTE.md","1047","6d184ab4b6d17c6c80b91169a1189c510d8088891b7f0a6bcfda08f6166dc4a0"
"10-22/REQUEST.md","219","11fcae2806bbf2f51c4467be1cc2c9144135bd38dc150f2763a975ece5ffbe6b"
"10-22/RUBRIC.md","453","5ffb4e4f2530d9621159e237cb948c1fc331c7e3e3ed1fd048198803cbc3e54e"
"10-22/TASK.md","294","2719dd9d7b6e2d01bdf179c251ce7a33c2b3c3da0b79115e0f11eec84c0ee4d8"
"10-22/complete-report/CHECKS.csv","310","4b2f9596fc438725d478a8c0add8a1fd04b145df3bd708c53a31af3e73ae7576"
"10-22/complete-report/REPORT.md","625","b2fb957b3940894eb6bce4210be7252b16c484596087289f67718eb7be146d04"
"10-22/complete-report/VERDICT.md","292","b7f83b72d97be30dfb444bbe532359268c1d762356d758298b13cb2520408578"
"10-22/complete-report/inputs/logistic.csv","3005","b2f22f90b4857deac8c057a339531673c09f9c98905d16b0993f1a386ab6ca8c"
"10-22/complete-report/inputs/majority.csv","3005","4010cb4ad7f4b75da32f282e6446092790f849f7933f0541e9e569f0b39a4d7d"
"10-22/minority-recall-omitted/CHECKS.csv","312","da6b42d99f7a2b3e649270f8ea3536596ac167212f20b52562258a020b7ddd81"
"10-22/minority-recall-omitted/REPORT.md","567","ae215e4725dcbd4c5745c4ec0be56054ab3d4aecc17b98dddde0b7bca21b1550"
"10-22/minority-recall-omitted/VERDICT.md","323","0a5ef002b22dcd4624328949f37a334856217dbfe492a9fe0c09c71b75ac764d"
"10-22/minority-recall-omitted/inputs/logistic.csv","3005","b2f22f90b4857deac8c057a339531673c09f9c98905d16b0993f1a386ab6ca8c"
"10-22/minority-recall-omitted/inputs/majority.csv","3005","4010cb4ad7f4b75da32f282e6446092790f849f7933f0541e9e569f0b39a4d7d"
"10-23/CHANGE-PROPOSAL.md","1026","96c3b940e51721e189e9b5b7742d0bb69166f418e1ac2410bb73c94c20759f9d"
"10-23/INCOMPLETE-FIXTURE.md","226","e4fac33dbe7c3257e963834992968421bb4a4a25e334e1fc88f8f06305b80aa8"
"10-23/LENGTH-ONLY-VARIANT.md","862","0de95790fca4628211d9ef06f76267d2a56b8198974d7d968ba311dd26f5f378"
"10-23/REPORT-SKILL-child.md","248","f03c3d0750477129f98739f9132e1636f41ea2600c36a7803d3218ab0c983b1d"
"10-23/REPORT-SKILL-parent.md","136","6710df9d3b8b31fbde746ec1ecf5015f9e87b79323254263bfdde3dc6018d554"
"10-23/child-complete/CHECKS.csv","310","4b2f9596fc438725d478a8c0add8a1fd04b145df3bd708c53a31af3e73ae7576"
"10-23/child-complete/REPORT.md","625","b2fb957b3940894eb6bce4210be7252b16c484596087289f67718eb7be146d04"
"10-23/child-complete/VERDICT.md","292","b7f83b72d97be30dfb444bbe532359268c1d762356d758298b13cb2520408578"
"10-23/child-complete/inputs/logistic.csv","3005","b2f22f90b4857deac8c057a339531673c09f9c98905d16b0993f1a386ab6ca8c"
"10-23/child-complete/inputs/majority.csv","3005","4010cb4ad7f4b75da32f282e6446092790f849f7933f0541e9e569f0b39a4d7d"
"10-23/child-incomplete/CHECKS.csv","320","35791d16dc973b1604545dc2df043aaaaa91f32874223ab2719fdd6fff0bbe03"
"10-23/child-incomplete/REPORT.md","284","a3d58343fd46a853e93e4d06f4e560ecd4c18297d7fc1a537ab653d8680f6d26"
"10-23/child-incomplete/VERDICT.md","484","cde1c93e6a191a4d103de930ebc2f3c205396fde3455a372496d7541d4e67865"
"10-23/child-incomplete/inputs/logistic.csv","2620","2b05a44cf489899fa05bd75731ec297638fb7f3265ecba62ebfd6186a930eab1"
"10-23/child-incomplete/inputs/majority.csv","2620","fdb45b961e322c99d5818be961d8690b7e53b02724a313b82e6614a9ed8e299a"
"10-23/parent-complete/CHECKS.csv","317","84f393f224a3250a44302ff4076a21416ac43e0234797bb18fdf83e3144f63c4"
"10-23/parent-complete/REPORT.md","318","fc0e02fb51d0e8549d5cc83c2f8735f96eaac28a51785e54fefa32b572d45182"
"10-23/parent-complete/VERDICT.md","414","e8923c3a57410ed17fb3e8bfed80cab1927e382775903216ce1a67b45b4e3f5c"
"10-23/parent-complete/inputs/logistic.csv","3005","b2f22f90b4857deac8c057a339531673c09f9c98905d16b0993f1a386ab6ca8c"
"10-23/parent-complete/inputs/majority.csv","3005","4010cb4ad7f4b75da32f282e6446092790f849f7933f0541e9e569f0b39a4d7d"
"10-23/parent-incomplete/CHECKS.csv","319","4ccd2f2daf8260eecd83fab6d91f653911fddcbb25911307167ac5173e29ca5b"
"10-23/parent-incomplete/REPORT.md","323","d321a24efb0941c4e63d30c64d1bb2bb157ac6b04cad7de27966b3109108df8e"
"10-23/parent-incomplete/VERDICT.md","454","58bd8236cc77d4ca1210b05fa6ddd7a5339d5eb2afdb3088bdd2d7cdac4f0090"
"10-23/parent-incomplete/inputs/logistic.csv","2620","2b05a44cf489899fa05bd75731ec297638fb7f3265ecba62ebfd6186a930eab1"
"10-23/parent-incomplete/inputs/majority.csv","2620","fdb45b961e322c99d5818be961d8690b7e53b02724a313b82e6614a9ed8e299a"
