repository_path,copy,source_sha256,copy_sha256
how-did-i-generate-it/rsi/validation/RESEARCH-READING-PROTOCOL.md,PROTOCOL.md,ed5cbc725baaf7c147654670b75364e8071e269c17c5af6cfffeef51f5d7fbe0,ed5cbc725baaf7c147654670b75364e8071e269c17c5af6cfffeef51f5d7fbe0
how-did-i-generate-it/rsi/research/research-reading/FRAMEWORK.md,FRAMEWORK.md,c347ea9b3606d2294476afce2e3e0087852d1abed66c2c593523376f81a83076,c347ea9b3606d2294476afce2e3e0087852d1abed66c2c593523376f81a83076
how-did-i-generate-it/rsi/research/research-reading/THREE-CASES.md,THREE-CASES.md,cb005ebdeed5a996709500f1235e2e64c975a1fd09afa67fbacb4b91c4a95340,ba857b66b99f97e7734aa1fda810234d5801a03a1707c14a5120459fc5e5c7d6
how-did-i-generate-it/rsi/research/research-reading/CLAIM-CARD.md,CLAIM-CARD.md,1f9cf8e2417473a9c5187f8dbf7408776df93dad4191336d3d76536e70a4531f,1f9cf8e2417473a9c5187f8dbf7408776df93dad4191336d3d76536e70a4531f
how-did-i-generate-it/rsi/research/research-reading/SEARCH-RECORD.md,SEARCH-RECORD.md,a301e0c49e0c85b1e78b321a6ad8cdf0d2f7b96223c2db0396a006a870fa69e6,a301e0c49e0c85b1e78b321a6ad8cdf0d2f7b96223c2db0396a006a870fa69e6
rsi/evidence/2026-09-20/clean-journey/02-04/CONTROLLER-CONTRACT.md,local/fixed-contract.md,5c972e7da7d6b6395c3efa05d3def6a5cdbe96cea09acc7a33fab835154821f3,5c972e7da7d6b6395c3efa05d3def6a5cdbe96cea09acc7a33fab835154821f3
rsi/evidence/2026-09-20/clean-journey/02-04/controller.py,local/fixed-controller.py,b3a398c89c673bbeccad73da1a5111caf927c0f41bb392f70eeae7f23092eb1e,b3a398c89c673bbeccad73da1a5111caf927c0f41bb392f70eeae7f23092eb1e
rsi/evidence/2026-09-20/clean-journey/02-04/requests.csv,local/fixed-requests.csv,6a5e444942e7ce451506a29604720d3a89e4fba4057afbd24142f965ec050e72,6a5e444942e7ce451506a29604720d3a89e4fba4057afbd24142f965ec050e72
rsi/evidence/2026-09-20/self-star-and-measurement/07-03/MEMORY-v1.md,local/memory-MEMORY-v1.md,b983a6533dbf637c4041164a8b9ae516cb204fb29f6642c5c546c64a6bb72046,b983a6533dbf637c4041164a8b9ae516cb204fb29f6642c5c546c64a6bb72046
rsi/evidence/2026-09-20/self-star-and-measurement/07-03/DECISION.csv,local/memory-DECISION.csv,ea152009ad8e4c8b1c5226c3294ad4cc7c0fdd7ddbc20a795cc1d9bc54604dae,ea152009ad8e4c8b1c5226c3294ad4cc7c0fdd7ddbc20a795cc1d9bc54604dae
rsi/evidence/2026-09-20/self-star-and-measurement/07-03/OUTCOMES.csv,local/memory-OUTCOMES.csv,674154652013327156d2321853c9bea2f62d99d88cee3762e99a907ff5124012,674154652013327156d2321853c9bea2f62d99d88cee3762e99a907ff5124012
rsi/evidence/2026-09-20/self-star-and-measurement/07-03/SCOPE-CHECK.csv,local/memory-SCOPE-CHECK.csv,6184fb33afc981b0cc7b067ae40394a24321904b50f7a3fb93eaff156da5bfb1,6184fb33afc981b0cc7b067ae40394a24321904b50f7a3fb93eaff156da5bfb1
rsi/evidence/2026-09-20/self-star-and-measurement/07-03/USE-AND-BENEFIT.md,local/memory-USE-AND-BENEFIT.md,b938ff21ec850302800ac71c64c728e01387f79b1b28fbd3965c0d3ca7f13a43,b938ff21ec850302800ac71c64c728e01387f79b1b28fbd3965c0d3ca7f13a43
rsi/evidence/2026-09-20/inherited-improver/IMPROVER-v0.md,local/IMPROVER-v0.md,dd7bf64c778aa036900abd4c88d9dc607ee862b5e483e2bec272691f4ff0354f,dd7bf64c778aa036900abd4c88d9dc607ee862b5e483e2bec272691f4ff0354f
rsi/evidence/2026-09-20/inherited-improver/IMPROVER-v1.md,local/IMPROVER-v1.md,5be9de39c343a9b1faf94c13b90d71bfd8644dac6d0c059ce4c2517e20b86a33,5be9de39c343a9b1faf94c13b90d71bfd8644dac6d0c059ce4c2517e20b86a33
rsi/evidence/2026-09-20/inherited-improver/EXECUTION-TRACE.md,local/EXECUTION-TRACE.md,ff0db2e546a8fd29fcedfff75a88f5af4cb069d02edeedd9e4aa8713083e57a3,ff0db2e546a8fd29fcedfff75a88f5af4cb069d02edeedd9e4aa8713083e57a3
rsi/evidence/2026-09-20/two-generations/LINEAGE.md,local/negative-lineage.md,fb5ef8952a1c7435c6ef346dbfa8ef24c8593ebc058628fc28fb3faeec9a54b4,fb5ef8952a1c7435c6ef346dbfa8ef24c8593ebc058628fc28fb3faeec9a54b4
