seed,kind,family,arm,node,loss,score,attempts,failures,worker_seconds,fit_seconds,tree_sha256
3101,classification,2,parent,node-011,0.138637919018528,0.930681040490736,12,0,25.18104380002478,2.7336887999845203,ff09ef78d737c0dab5a241b8d11e9b35585a8ba58fb05eb29b8a15f9c7b94f50
3101,classification,2,child,node-010,0.1379598294730364,0.9310200852634818,12,0,25.36982609995175,2.5372882999654394,37a8edb07bf0b81c8a62293010d747c6104da0d2b288506e1bd3e574b1699a58
3102,regression,0,child,node-004,0.1646449894319916,0.2508607708092575,12,0,27.244372300017858,3.5794426999927964,48d4989b8402b1faf0de642ca38f071b53f7fd684f1ddeb5b610cccabc327f80
3102,regression,0,parent,node-004,0.1646449894319916,0.2508607708092575,12,0,29.556159600033425,3.353642900037812,d72bdbe5e81aca6b94482987764511310bebb0ff377f26bf13108c3a7f494e3f
3103,classification,1,parent,node-004,0.1071419392973709,0.9464290303513144,12,0,29.24313489999622,3.152643499983242,cb626ef6c738827a18a10d4097f8663c586da9af384a3e03250914a089c8829e
3103,classification,1,child,node-004,0.1071419392973709,0.9464290303513144,12,0,26.15600049996283,2.646881900000153,7b970aca60521aaaa098ecc8b65f073dfd61a8c7a116bd96367476f305bacd17
3104,regression,2,child,node-010,0.1581457439919137,0.253088473394268,12,0,26.93793810007628,3.260657000093488,f59ffc0de599106d53617510ce9087c254562710a3e77808b82486727f55bdef
3104,regression,2,parent,node-010,0.1804544059326348,0.2887901309383027,12,0,25.942372399935266,3.2767740999697703,109a67feb7b2431c83759790ce51f88c9583d4cb5b2be28f6384fba5fe3b9fcb
3105,classification,0,parent,node-004,0.1183224536122553,0.9408387731938724,12,0,25.67604679998476,2.6538977000454906,efe0c61c100876af979a81a7f396f44e26cd0af6facd4463b99057ccff53b6fc
3105,classification,0,child,node-004,0.1183224536122553,0.9408387731938724,12,0,25.44755620000069,2.569481300015468,a8e7b318b4eedc0bf0475aa9363572a740d39a0086ec8525ae900fdae7be918c
3106,regression,1,child,node-001,0.125545529829481,0.2338657685354012,12,0,27.51655070000561,3.212825799942948,6773f399f1cfa2f2dd3a47a42e08f61307f059eaccaae3002c4c1a998357c8ea
3106,regression,1,parent,node-001,0.125545529829481,0.2338657685354012,12,0,25.54582750008558,3.189841100014746,c7004f7331253de1dbb25ce0d95f6be661df27fb80e8635b0f2830adc974687f
