@relation 'x'
@attribute 'process.b1.capacity' numeric
@attribute 'process.b2.capacity' numeric
@attribute 'process.b3.capacity' numeric
@attribute 'process.b4.capacity' numeric
@attribute 'property.price' numeric
@attribute 'property.product' {'1','2','3','4','5','6'}
@attribute 'property.winner' {'0','1','2','3','4'}
@attribute 'verification.result' {FALSE, TRUE}
@attribute 'verification.time' numeric
@data
0,0,2,1,59,"1","0","FALSE",163.316666666667
0,0,2,1,59,"2","0","FALSE",200.86
0,0,2,1,59,"4","0","FALSE",154.888888888889
0,0,2,1,59,"6","0","FALSE",108.64
0,0,2,1,60,"1","0","TRUE",85.4666666666667
0,0,2,1,60,"1","3","TRUE",82
0,0,2,1,60,"1","4","FALSE",154.25
0,0,2,1,60,"2","0","TRUE",80.95
0,0,2,1,60,"2","3","TRUE",78
0,0,2,1,60,"2","4","FALSE",197.01
0,0,2,1,60,"4","0","TRUE",80.25
0,0,2,1,60,"4","3","TRUE",77.9166666666667
0,0,2,1,60,"4","4","FALSE",144.694444444444
0,0,2,1,60,"6","0","TRUE",88.12
0,0,2,1,60,"6","3","TRUE",78.84
0,0,2,1,60,"6","4","TRUE",78.15
0,0,2,1,69,"3","0","FALSE",112.05
0,0,2,1,69,"5","0","FALSE",322.055555555556
0,0,2,1,70,"3","0","TRUE",87.1
0,0,2,1,70,"3","3","TRUE",97.11
0,0,2,1,70,"3","4","TRUE",80.86
0,0,2,1,70,"5","0","TRUE",194.438888888889
0,0,2,1,70,"5","3","FALSE",378.822222222222
0,0,2,1,70,"5","4","TRUE",207.772222222222
0,1,1,1,59,"1","0","FALSE",646.675
0,1,1,1,59,"4","0","FALSE",564.634615384615
0,1,1,1,59,"6","0","FALSE",248.216666666667
0,1,1,1,60,"1","0","FALSE",578.625
0,1,1,1,60,"4","0","FALSE",523.961538461538
0,1,1,1,60,"6","0","TRUE",90
0,1,1,1,60,"6","2","TRUE",94.5833333333333
0,1,1,1,60,"6","3","FALSE",243.516666666667
0,1,1,1,60,"6","4","FALSE",225.05
0,1,1,1,61,"1","0","FALSE",608.2
0,1,1,1,61,"4","0","FALSE",546.346153846154
0,1,1,1,62,"1","0","FALSE",596.475
0,1,1,1,62,"4","0","FALSE",554.115384615385
0,1,1,1,63,"1","0","FALSE",603.65
0,1,1,1,63,"4","0","FALSE",553.769230769231
0,1,1,1,64,"1","0","FALSE",532.8
0,1,1,1,64,"4","0","FALSE",483.461538461538
0,1,1,1,65,"1","0","FALSE",567.975
0,1,1,1,65,"4","0","FALSE",505.961538461538
0,1,1,1,66,"1","0","FALSE",564.3
0,1,1,1,66,"4","0","FALSE",496.173076923077
0,1,1,1,67,"1","0","FALSE",588.9
0,1,1,1,67,"4","0","FALSE",522.634615384615
0,1,1,1,68,"1","0","FALSE",537.075
0,1,1,1,68,"4","0","FALSE",481.653846153846
0,1,1,1,69,"1","0","FALSE",544.05
0,1,1,1,69,"3","0","FALSE",178.4
0,1,1,1,69,"4","0","FALSE",512.346153846154
0,1,1,1,69,"5","0","FALSE",751.1875
0,1,1,1,70,"1","0","TRUE",518.2
0,1,1,1,70,"1","2","TRUE",547.725
0,1,1,1,70,"1","3","FALSE",602.125
0,1,1,1,70,"1","4","FALSE",588.2
0,1,1,1,70,"3","0","TRUE",153.516666666667
0,1,1,1,70,"3","2","TRUE",151.133333333333
0,1,1,1,70,"3","3","FALSE",165.416666666667
0,1,1,1,70,"3","4","FALSE",176.716666666667
0,1,1,1,70,"4","0","TRUE",418.057692307692
0,1,1,1,70,"4","2","TRUE",451.153846153846
0,1,1,1,70,"4","3","FALSE",529.076923076923
0,1,1,1,70,"4","4","FALSE",518.365384615385
0,1,1,1,70,"5","0","FALSE",739.475
0,1,1,1,71,"5","0","FALSE",751.9875
0,1,1,1,72,"5","0","FALSE",740.4125
0,1,1,1,73,"5","0","FALSE",719.45
0,1,1,1,74,"5","0","FALSE",745.5375
0,1,1,1,75,"5","0","FALSE",734.5625
0,1,1,1,76,"5","0","FALSE",752.3
0,1,1,1,77,"5","0","FALSE",725.55
0,1,1,1,78,"5","0","FALSE",742.825
0,1,1,1,79,"5","0","FALSE",723.8125
0,1,1,1,80,"5","0","TRUE",101.7375
0,1,1,1,80,"5","2","FALSE",770.2375
0,1,1,1,80,"5","3","FALSE",770.75
0,1,1,1,80,"5","4","TRUE",106.3375
0,1,2,0,59,"1","0","FALSE",513.233333333333
0,1,2,0,59,"2","0","FALSE",1527.53
0,1,2,0,59,"4","0","FALSE",476.322222222222
0,1,2,0,59,"6","0","FALSE",145.4
0,1,2,0,60,"1","0","FALSE",443.016666666667
0,1,2,0,60,"2","0","FALSE",1137.465
0,1,2,0,60,"4","0","FALSE",419.855555555556
0,1,2,0,60,"6","0","TRUE",91.805
0,1,2,0,60,"6","2","TRUE",85.25
0,1,2,0,60,"6","3","FALSE",134.325
0,1,2,0,61,"1","0","FALSE",462.058333333333
0,1,2,0,61,"2","0","FALSE",1293.665
0,1,2,0,61,"4","0","FALSE",441.838888888889
0,1,2,0,62,"1","0","FALSE",463.708333333333
0,1,2,0,62,"2","0","FALSE",1245.215
0,1,2,0,62,"4","0","FALSE",434.75
0,1,2,0,63,"1","0","FALSE",463.075
0,1,2,0,63,"2","0","FALSE",1290.88
0,1,2,0,63,"4","0","FALSE",455.266666666667
0,1,2,0,64,"1","0","FALSE",389.3
0,1,2,0,64,"2","0","FALSE",991.07
0,1,2,0,64,"4","0","FALSE",362.811111111111
0,1,2,0,65,"1","0","FALSE",411.825
0,1,2,0,65,"2","0","FALSE",1106.455
0,1,2,0,65,"4","0","FALSE",384.338888888889
0,1,2,0,66,"1","0","FALSE",398.483333333333
0,1,2,0,66,"2","0","FALSE",1098.255
0,1,2,0,66,"4","0","FALSE",377.394444444444
0,1,2,0,67,"1","0","FALSE",428.833333333333
