task,recipe,status,metric,score,normalized_loss,fit_seconds,predict_seconds,process_seconds,note
bike,linear-0-pairwise,ok,MAE,106.1314641002221,0.6571472050126237,0.1165223999996669,0.0186578999855555,1.7498677000112366,exit=0
bike,linear-0-quantile,ok,MAE,102.09998896954004,0.6321850259202496,0.0186056999955326,0.003126900002826,1.5967212000105064,exit=0
bike,forest-0-pairwise,ok,MAE,105.43251302083333,0.6528194238767001,9.421961899992311,0.0698822999838739,11.177634099993156,exit=0
bike,forest-0-quantile,ok,MAE,92.8666015625,0.5750135284875441,0.3474826000165194,0.0113564000057522,1.945653099974152,exit=0
bike,boost-0-pairwise,ok,MAE,91.05778006819264,0.5638136265599841,14.084551000007195,0.1281877000001259,15.925262700009624,exit=0
bike,boost-0-quantile,ok,MAE,93.49084917236344,0.5788787589876171,0.1765883000043686,0.0177642999915406,1.7991445999941789,exit=0
bike,kernel-0-pairwise,ok,MAE,105.69039952353224,0.654416211369418,0.5954742000030819,0.750233600003412,2.9361460999934934,exit=0
bike,kernel-0-quantile,ok,MAE,105.28191832068956,0.6518869681989407,0.0430578000086825,0.0599209000065457,1.700614300003508,exit=0
bike,neighbors-0-pairwise,ok,MAE,96.33253804927794,0.5964739925859813,0.0339277000166475,0.1163289999822154,1.7543670999875758,exit=0
bike,neighbors-0-quantile,ok,MAE,124.84115820756158,0.7729943130640952,0.0075020999938715,0.0149019999953452,1.8000944000086747,exit=0
bike,extra-0-pairwise,ok,MAE,98.61669270833332,0.6106170731770242,11.525291199999629,0.0650444999919273,13.493008499994176,exit=0
bike,extra-0-quantile,ok,MAE,87.746015625,0.5433077684155125,0.3516899999813176,0.0116526999918278,2.032556899997872,exit=0
wine,linear-0-pairwise,ok,MAE,0.5386664360516883,0.9140137930877053,0.0061668000125791,0.0012012999795842,1.5693476000160445,exit=0
wine,linear-0-quantile,ok,MAE,0.4984287599701131,0.8457381618641813,0.0072437999770045,0.0025201000098604,1.5888001999992412,exit=0
wine,forest-0-pairwise,ok,MAE,0.5071022727272727,0.8604554521276596,1.64332679999643,0.0097912999917753,3.335419999988517,exit=0
wine,forest-0-quantile,ok,MAE,0.492358934169279,0.835438829787234,0.2808755000005476,0.0067059000139124,2.089327399997273,exit=0
wine,boost-0-pairwise,ok,MAE,0.5463666300796317,0.9270795478478858,0.3885281000111718,0.0066943999845534,2.158454799995525,exit=0
wine,boost-0-quantile,ok,MAE,0.5205517511700439,0.8832766416130001,0.1047902999853249,0.0077724000148009,1.929003500001272,exit=0
wine,kernel-0-pairwise,ok,MAE,0.5030221157069196,0.8535322069707838,0.0307142999954521,0.0159181999915745,1.8337983000092208,exit=0
wine,kernel-0-quantile,ok,MAE,0.491142044980093,0.8333740018545197,0.0328133000002708,0.0145548000000417,1.8141367999778597,exit=0
wine,neighbors-0-pairwise,ok,MAE,0.5557497520818473,0.9430009091176026,0.0051429000159259,0.0071099000051617,1.7599835000000894,exit=0
wine,neighbors-0-quantile,ok,MAE,0.5490259932100136,0.9315919778403954,0.0086429999792017,0.0076110000081826,1.7849698000063654,exit=0
wine,extra-0-pairwise,ok,MAE,0.5232170846394985,0.8877992021276596,0.3648115000105463,0.0048720999911893,2.107792299997527,exit=0
wine,extra-0-quantile,ok,MAE,0.5134208463949843,0.8711768617021277,0.1109589000116102,0.0065713000076357,1.870455700001912,exit=0
cancer,linear-0-pairwise,ok,balanced_accuracy,0.9589880707527766,0.0820238584944468,0.0092702999827452,0.0023126000014599,1.740062500000931,exit=0
cancer,linear-0-quantile,ok,balanced_accuracy,0.96248457424928,0.0750308515014399,0.0154316000116523,0.0061311000026762,1.7973987000004854,exit=0
cancer,forest-0-pairwise,ok,balanced_accuracy,0.9566022213081036,0.0867955573837928,2.414923100004671,0.0077526999812107,4.338026899989927,exit=0
cancer,forest-0-quantile,ok,balanced_accuracy,0.9448375154257508,0.1103249691484986,0.1746863999869674,0.0081330999964848,1.7743780000018887,exit=0
cancer,boost-0-pairwise,ok,balanced_accuracy,0.9448375154257508,0.1103249691484986,1.7240907999803312,0.0089844999893102,3.643176200013841,exit=0
cancer,boost-0-quantile,ok,balanced_accuracy,0.9472233648704236,0.1055532702591526,0.1050831000029575,0.0093624000146519,1.8109547999920323,exit=0
cancer,kernel-0-pairwise,ok,balanced_accuracy,0.9308515014397368,0.1382969971205265,0.0126177000056486,0.0079467000032309,1.8492719999921972,exit=0
cancer,kernel-0-quantile,ok,balanced_accuracy,0.9659810777457836,0.0680378445084328,0.0138977000024169,0.0088234000140801,1.7913954999821726,exit=0
cancer,neighbors-0-pairwise,ok,balanced_accuracy,0.914150555327026,0.1716988893459481,0.0062770000076852,0.0077195999911054,1.7643168999929912,exit=0
cancer,neighbors-0-quantile,ok,balanced_accuracy,0.9424516659810778,0.1150966680378444,0.0140372999885585,0.0115665000048466,1.830318399996031,exit=0
cancer,extra-0-pairwise,ok,balanced_accuracy,0.9542163718634308,0.0915672562731386,0.2690289999882225,0.0038141999975778,2.075349399994593,exit=0
cancer,extra-0-quantile,ok,balanced_accuracy,0.9389551624845742,0.1220896750308515,0.0637606999953277,0.0085735000029671,1.8486150999960955,exit=0
digits,linear-0-pairwise,ok,balanced_accuracy,0.9763465036796118,0.026281662578209,0.103065700008301,0.0167428999848198,1.9440108999842776,exit=0
digits,linear-0-quantile,ok,balanced_accuracy,0.9320417558624196,0.075509160152867,0.07066619998659,0.0159671000146772,1.8497051000013016,exit=0
digits,forest-0-pairwise,ok,balanced_accuracy,0.9388176930686096,0.0679803410348783,44.526369300001534,0.0463249000022187,46.4826453999849,exit=0
digits,forest-0-quantile,ok,balanced_accuracy,0.9610225202049436,0.0433083108833961,0.4080957999976817,0.0180929999914951,2.0270764000015333,exit=0
digits,boost-0-pairwise,timeout,,,,,,60.03581689999555,60-second timeout; charged
digits,boost-0-quantile,ok,balanced_accuracy,0.9638600782778864,0.0401554685801261,1.222908700001426,0.0628081999893765,2.903929899999639,exit=0
digits,kernel-0-pairwise,ok,balanced_accuracy,0.9555882019667472,0.0493464422591697,0.3546609000186436,0.4886678999755531,2.428908000001684,exit=0
digits,kernel-0-quantile,ok,balanced_accuracy,0.963977495107632,0.0400250054359643,0.0386243999819271,0.0390220999834127,1.6824158999952488,exit=0
digits,neighbors-0-pairwise,ok,balanced_accuracy,0.966719410833341,0.0369784324073988,0.0349882000009529,0.0762655999860726,1.6985300999949686,exit=0
digits,neighbors-0-quantile,ok,balanced_accuracy,0.9583034508420386,0.0463294990644015,0.0239293000195175,0.020862900011707,1.6281737000099383,exit=0
digits,extra-0-pairwise,ok,balanced_accuracy,0.9650543749559763,0.0388284722711372,11.410292200016556,0.045656800008146,13.182483999989929,exit=0
digits,extra-0-quantile,ok,balanced_accuracy,0.9441960285303908,0.0620044127440101,0.2451272000034805,0.0181240000238176,1.8881609000090973,exit=0
friedman,linear-0-pairwise,ok,MAE,2.1937605948949352,0.5269789045743695,0.0107278999930713,0.0030991999956313,1.6301791000005323,exit=0
friedman,linear-0-quantile,ok,MAE,2.165379067705055,0.520161175172412,0.0125550999946426,0.005363500007661,1.595273700018879,exit=0
friedman,forest-0-pairwise,ok,MAE,1.6900969860700783,0.4059902709604046,13.500605800014457,0.0212917000171728,15.238265799998771,exit=0
friedman,forest-0-quantile,ok,MAE,1.5983258510188676,0.3839452710030826,0.747118600003887,0.01183060000767,2.3882262999832164,exit=0
friedman,boost-0-pairwise,ok,MAE,1.206435585459009,0.2898065106758721,2.02536090000649,0.026149199984502,3.870037399989087,exit=0
friedman,boost-0-quantile,ok,MAE,1.1419290441345475,0.2743109335540331,0.1645710000011604,0.0138411999796517,1.7539256000018213,exit=0
friedman,kernel-0-pairwise,ok,MAE,2.4311490738513544,0.5840036869914411,0.0803322999854572,0.0822752999956719,1.87251099999412,exit=0
friedman,kernel-0-quantile,ok,MAE,1.814378063430415,0.4358447164085914,0.0558141999936196,0.0476306999917142,1.8516936000087296,exit=0
friedman,neighbors-0-pairwise,ok,MAE,3.4235507544206416,0.8223955843302722,0.0094372000021394,0.017284000001382,1.809813400002895,exit=0
