row_id,tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,stab
10,5.93011011760085,6.73087337437817,6.24513790053774,0.53328751282593,2.32709159288717,-0.702501235021046,-1.11691962966126,-0.507670728204865,0.239815632938209,0.563109593653352,0.164461028193514,0.753701355880644,-0.0284114612679547
16,4.95224090481821,8.08867235232354,8.88331865624976,5.6945572196255,5.06729577625163,-1.68141419491175,-1.87706128759659,-1.50882029374329,0.305662026508872,0.307903841937671,0.889893892795722,0.879427907898293,0.065617204379854
32,4.78071330094865,8.45334255746003,2.75518794596618,4.24978929144039,4.11210459945627,-1.15415757612057,-1.15840304162763,-1.79954398170807,0.0633621937780536,0.987507304944471,0.791912254627119,0.292634388226655,0.0212336270954038
43,4.13059342073561,6.00209632273564,1.65517358242424,1.54877294012755,2.82288006024715,-1.14775468133548,-1.01536576742633,-0.65975961148534,0.783161160990573,0.705585718356643,0.364066309517074,0.617826172501391,0.01661997656822
45,9.23469681095942,5.40755900162045,3.76159923331948,5.17246806484824,2.72816841481646,-0.550407644471922,-1.55388097074348,-0.623879799601063,0.625206959986782,0.089422124512929,0.0720080936143105,0.172636291845309,-0.0119701230829484
48,7.66079579444337,1.30031678689623,7.6464417415921,6.77835512610903,3.66130345137504,-1.31537000873982,-1.82601140335732,-0.519922039277898,0.548837056734045,0.179855140268416,0.528381542993687,0.722353092914923,0.0457268021853065
73,9.39514172807625,2.29623146232842,7.44719902228815,3.30494781213965,3.68220652900898,-1.0588921394049,-1.34778687565621,-1.27552751394787,0.63043878665991,0.348798336459816,0.0593324468502379,0.829695887044428,-0.0142250257674039
76,9.20591116897103,8.75065279631314,1.22716366606805,9.28468002970167,4.462871152584,-1.74876040404412,-0.738003567265219,-1.97610718127466,0.104626291134084,0.584213163733343,0.213716215511055,0.738963692016469,0.028232259145282
77,4.61926951420447,2.94415393355754,9.97102290267202,1.68178884195779,3.7439682057359,-1.13430772115339,-1.18131269458461,-1.4283477899979,0.367215290653648,0.0969923660876893,0.917105771422584,0.523630290638478,-0.000361556671433957
85,1.04768726368983,7.95768026070142,9.28693887580779,6.70660721806127,4.27535034659752,-1.08278990540222,-1.8391804216192,-1.3533800195761,0.417331501177105,0.811116288209158,0.834101695623937,0.758616637604252,0.0623285733721631
91,0.630115536512597,1.49136670068719,3.45679582751193,5.00620829651686,4.5588079314613,-1.97331706514537,-1.98816260456503,-0.597328261750902,0.30436077473829,0.296415150947323,0.222007388681478,0.177922477075423,-0.0527711399835311
