job,kind,worker,assigned,overhead,setup,start,end,deadline,lateness,result
J01,A,0,0,0,1,1,2,100,0,checked-J01
J02,A,1,0,0,1,1,2,100,0,checked-J02
J05,A,0,2,0,0,2,3,100,0,checked-J05
J06,A,1,2,0,0,2,3,100,0,checked-J06
J09,A,0,3,0,0,3,4,100,0,checked-J09
J10,A,1,3,0,0,3,4,100,0,checked-J10
J03,B,0,4,0,1,5,6,3,3,checked-J03
J04,B,1,4,0,1,5,6,3,3,checked-J04
J07,B,0,6,0,0,6,7,100,0,checked-J07
J08,B,1,6,0,0,6,7,100,0,checked-J08
J11,B,0,7,0,0,7,8,100,0,checked-J11
J12,B,1,7,0,0,7,8,100,0,checked-J12
