"variant","path","bytes","sha256"
"raw","bike.npz","33845","556d1529ab1f04151f72f37a129c2703d9b9b6299e5b3a669b849b118cb6fc1e"
"raw","cancer.npz","78008","66e84df12b4ce06437e26afeb8f90bc4678b7838d283ee0a23b44113ac15143a"
"raw","CHECKS.csv","207381","8f1577e143a0585c32cdf19cee50810094a2ab4899a79fe50b456ec1e13c84f0"
"raw","digits.npz","81571","0a56ef1b3ba47d9d61cce77da521629289815b78196438fe986a2c1a12d9a42c"
"raw","ENVIRONMENT.md","435","d46b74ab9e26d5ca61df515376a9840e383f3e353578ee6940531138f0af9d0a"
"raw","friedman.npz","323136","d70b47695fd7bdb7a8a0f9171eb7f732181b513e0bc69f3a39db31c4a89ba2f5"
"raw","headroom-replays.csv","69928","d950974a49dce17c9ae949135a3c66dc0e28a6425f5d7283b3782bd3bfc1477e"
"raw","headroom-summary.csv","3819","e774599c180e51c0fbb992185e3e131c21030283ded5886382e429dc131b7f5e"
"raw","interactions.npz","191433","0bde9703506b41b71c55509dfa2163c7b7b22f31f05a15412339038b5b1af5be"
"raw","pilot-source.py","16949","4f441f2bc14e65afc2c1f7e5c31012704a583c1deb79bbca395627cc2dbdad72"
"raw","recipes.csv","3166","c899dbac82d41b9930c433b5c5f2233453b9b0212d092739c1b0196c48b23a7e"
"raw","reference.csv","379","5ef1b10163f52562657aef6e6047ce174addb9b1eb61e7a39097fbe7d958ff39"
"raw","results.csv","39476","f134cf36929253d2934c5284cd1cc0b35c4d5ac3da523f6251d13a406a730f74"
"raw","tasks.csv","649","db164380da3412e6248d91ac41a6af9983699715bd197ce8d801959b655b369b"
"raw","wine.npz","31896","7fc0a1e98a4310d56482ece1270995844e3645faef63b305226a070a4434600b"
"raw","attempts/bike/boost-0/predictions.csv","34475","4c4e71205a67c9dbd25f319e2c73cb22f7568b0aebea974304621ca432b5b736"
"raw","attempts/bike/boost-0/result.csv","220","76476257c77a0471483b00a99573e69686c9fa0cc30fe94531a6eb1828eaf95e"
"raw","attempts/bike/boost-0/STARTED.md","40","29023270ca752d0c02aee6b7fe19e57c84c4023e1b67819e5da3a739dce2cfd4"
"raw","attempts/bike/boost-0/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-0/stdout.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-1/predictions.csv","34433","5cd968cc48a02fbc1c150d56d902587997462138ee45bb65824ee614737623db"
"raw","attempts/bike/boost-1/result.csv","220","3d367c6104fe50f87506a376e5ba3d4b05946d158bad10f6e9938722a7edd157"
"raw","attempts/bike/boost-1/STARTED.md","41","33642a97caad1305ef834acc9ffd7fd2076c703bfc4e92f735300cd3a1fd44ca"
"raw","attempts/bike/boost-1/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-1/stdout.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-2/predictions.csv","34471","da98c0203a02a027cf851e6fc167854b42fd832b3a484a685f35ecbb1d1d9868"
"raw","attempts/bike/boost-2/result.csv","221","1b536e735ccec91f923cb3de5570e56acbb7a4dcc86237bf9f522bd6fb40aeb6"
"raw","attempts/bike/boost-2/STARTED.md","41","9d1cfb5f64cc12f554335160f27ada051b0950811946b4e6a3dbe63940fac38d"
"raw","attempts/bike/boost-2/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-2/stdout.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-3/predictions.csv","34445","3e29227c3a3b3f551178c706edb09c95efc2c952838c100457cb430f4015519d"
"raw","attempts/bike/boost-3/result.csv","222","72fda53e1cf08a7447e3b676aca10fc36d2fe05b179a075128de03dee85a9f19"
"raw","attempts/bike/boost-3/STARTED.md","41","0063f572ccf0a7398a8a315d747dbed06424efd056333872af8a7baf97e47318"
"raw","attempts/bike/boost-3/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-3/stdout.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-4/predictions.csv","34356","9e5fdfea2ab367cf3e76e492535df41760326d9ef55c8413de8f109439c8c09e"
"raw","attempts/bike/boost-4/result.csv","224","2368610933b60cbbc79db11e4c880f528f8368035fccb6de04be41ed052e2566"
"raw","attempts/bike/boost-4/STARTED.md","40","e86792d3656da151ac5f03b19ff145c8bc669e4b7709066a575a8ceb0231246f"
"raw","attempts/bike/boost-4/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-4/stdout.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
"raw","attempts/bike/boost-5/predictions.csv","34393","7de549089c90983223a4270ca29d8eaa4d77bbc887a1e33cd6ec6008cf37b3bf"
"raw","attempts/bike/boost-5/result.csv","221","8a507818f4cff6ff1cc66e827ede2fbbc7807edf359af5eadb9918c5777152e2"
"raw","attempts/bike/boost-5/STARTED.md","41","62701eae3294f1b6beb20bbe298a439521affa64ee5b5ea35a7a5234d6a7ceee"
"raw","attempts/bike/boost-5/stderr.txt","0","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855"
