source_row,partition,target,x0,x1
0,selection,1,0.31466275680152106,0.4570140013462457
1,training,1,1.2886911762986224,0.15922038811926825
2,training,0,0.440726526782464,0.8067495224414878
3,training,1,1.485514146668234,-0.29349525308221364
4,final,1,1.6631988774940076,-0.4657961832612332
5,training,0,-0.3645990204325241,0.7145094412443573
6,selection,1,0.08802547006831851,-0.19641307681497913
7,final,0,-0.39506143534223215,1.2709839078099066
8,training,1,0.5953634099410371,-0.5277438174514366
9,training,0,-0.4668054169989557,1.1859982178267796
10,final,1,1.8262095366785593,-0.42294413870105557
11,selection,0,-0.5873509189064278,0.7132621287314906
12,selection,1,0.34445981698826605,-0.34457789764865693
13,training,1,0.5093722767787133,0.12274186487023292
14,final,1,1.6591431828532588,-0.009496436120332796
15,selection,1,0.20032170705270996,-0.5733977975055135
16,final,1,0.17833635558238134,0.283790498791009
17,training,1,1.858998722909103,0.08105784694149043
18,selection,1,0.36977882248861516,-0.37457074386504174
19,selection,0,-0.053999696505757755,1.0658260414100067
20,selection,1,2.234003380070284,0.7146711003067968
21,training,0,1.0462797545972575,0.20475809783192458
22,training,1,1.3958423110259786,-0.7676733967978295
23,training,0,0.24021096125080107,0.8800696527608777
24,training,1,1.0895339897727154,-0.4456258936260529
25,training,0,0.26463519638928884,0.812719895869321
26,training,1,1.5869580640633263,0.027325974544052292
27,training,1,0.3986453776157455,-0.8655392145257936
28,selection,1,0.8553223810626929,-0.19696679716564153
29,training,1,0.6303281948941111,-0.15633888687780106
30,final,1,1.5262690275220945,0.2058686447327483
31,training,0,-0.37560816022635723,0.714916749624281
32,selection,0,0.30794209962175445,0.9148108620074633
33,final,1,-0.18379097335473413,0.02881710973232071
34,final,0,-0.15597901309390722,0.776958708126041
35,training,1,0.07700778323966076,0.19641915871125304
36,selection,0,-0.44093966496200065,1.1449307791347914
37,training,1,0.27277788331117386,-0.04275053012455282
38,training,0,0.4505475031270463,0.4737736068129241
39,selection,1,0.13019024798095208,0.37056033898810614
40,training,1,-0.09676220608078051,0.03960053694405169
41,training,0,-0.057343573185745594,0.5941688348978043
42,training,1,1.4968171191171797,-0.46562460293633046
43,training,1,0.4254685500412526,-0.41436252145115443
44,training,0,-0.02093890321075187,0.9086671034534941
45,training,1,1.1469930984453058,-1.0295416952868437
46,final,1,-0.06835448366837674,0.5106188005760376
47,training,0,0.6726211731845617,0.7237154440962416
48,training,1,0.7790480413247358,-0.7493383975908678
49,training,1,1.6693449243456875,-0.40414584721192737
50,final,0,-0.6153130886956361,0.2521791501648609
51,training,0,-0.7739774351723897,0.43402781816377284
52,training,1,1.6925183997438604,-0.4626898169367266
53,selection,0,-0.6066033332071245,0.6733464300317249
54,final,1,2.0780123871136675,0.24401198989806555
55,final,0,0.9048309724382929,0.7612918396765691
56,training,0,0.12671669026944754,1.0151561659037973
57,selection,1,1.2982571701756576,-0.3706115669828915
58,training,0,-0.8194491037976138,0.5139240273706016
59,selection,0,0.7321582532335185,0.4968148091829645
60,final,0,0.026409299511365003,1.3637862221112407
61,selection,0,-0.11678118206799976,1.2384110026376087
62,final,1,0.0005279840516799229,0.26123913045632935
63,training,0,1.1820092578712265,0.49605745046141675
64,training,0,-0.48091404836408647,1.229751610391649
65,training,0,0.4229242990166019,1.0213257497933743
66,final,1,-0.04927142003251923,0.27310229929956503
67,final,1,0.32455170021577584,-0.05391215973138469
68,training,1,0.7482847841587668,-0.7563170079290347
69,training,0,0.25690829521497155,0.9101940336951491
