task,arm,step,template,factor,constructor_sha256,candidate_sha256
6,fixed,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,fixed,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,fixed,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,fixed,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
6,fixed,5,base:random-forest,1.0,b1442fc782e8e5c834a46466b008c083f5663bd83a3bb90a7889bf6de0ef6eb6,e9c753f9787119201fc1c592a988b8976e0dc62d1acd2bb2dd1868577ffcf722
6,fixed,6,base:rbf-10,1.0,33e90a76b84a031407b71d85c5f26522d78e78f435903b17bd62b4bc90fc002e,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
6,fixed,7,base:neighbors-5,1.0,49e5118ba2a17632b7ebf05df735e2cf126b9700aad111be6bdfd535c0e2ae9c,a4821662078480e2996fa850eaade7e28fb3fa0dd4259ee83a7724c8bad7f947
6,fixed,8,base:neighbors-25,1.0,a1de33f7420483cf3fcb0b1ba1d4c779039e9079b9d2ab92cbe78577c25b27e3,d5ed597863abd27381db3bb000aa27f3299aa58a0c3783b6fdb9cc6c82d238cc
6,random,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,random,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,random,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,random,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
6,random,5,one:extra-leaf2,0.33142519,60b04c2b53a26954acf19121d1a293a295cb8d2db1411b786167b818b7d4571b,96477ea47aa6618ac6c6f05ee752323ad8be8dc535d31813b0d423f49890cdbd
6,random,6,one:rbf-unscaled,0.43662054,fb6ea41809c5f2f79bb6fb71ef2869421350b351ab8886a5889f03b6ab3bfdc5,8abc11626f19569abf84a08a0e7318a80f3f7208f58a79acc15598b450435786
6,random,7,one:rbf-unscaled,3.66697255,c75737b246fcd9d15022a90b80a0e36ea1654652ee67e9ff36975443da6ac512,d628af6e10ebac678de3fe255e886b7805ce1d18fa4e709a38d9243bd2a464f8
6,random,8,base:rbf-1,1.71910508,d51c668f584d152b84b8602351bace1021e5fe1a999c13e16e6c6d00d5dbcb51,4660d3a5bd7438635399ded9a65b0c83d6ab978f283e1984adb793f38b1870f1
6,memory,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,memory,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,memory,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,memory,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
6,memory,5,one:rbf-unscaled,1.0,3da0dd8d6a674341b9c5a794a3bbf65623e5bad0fda9bb227bb9ca61e8181bfe,dd804c636771f2161c3721bf7147812e84b397cbe329c9fbcf9d6b0785a2ead0
6,memory,6,two:unscaled-c100,1.0,cd5c81235bec963ef67c5013b266eebe54beabf2a22adf74522acba5373cb239,be461f279e1b9ec611172daaca5c6c07b9f9c0de300838234832aba4ff1372eb
6,memory,7,two:unscaled-c1,1.0,4cb573da01a32e356aa6343a89bc8ca2273ef71258ab9f89a9fdc3fe742bbbc9,77f9c01412c1a5d370ca4fd88ce6bf201b677441c68435d9c7482bf91d54dae9
6,memory,8,base:rbf-10,1.0,33e90a76b84a031407b71d85c5f26522d78e78f435903b17bd62b4bc90fc002e,13d628007aef6e99b23bbb779ea38ae22e49f3906910542c89aba2a08f66f0a5
6,parent,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,parent,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,parent,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,parent,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
6,parent,5,base:extra-trees,0.3,8d571f6e0ec77f9d2e89d6dce1e62210c90f898432ff5a448ff9b496bc6be796,a5c764fbf163521fa8ba3fdc31bdde46af14baec05b12444b82ee0722368a523
6,parent,6,base:extra-trees,3.0,e16e775ec3b8fc0d92b74317e75ded4c1e63d305f6fa6e3344b910b65c8fbdef,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3
6,parent,7,base:extra-trees,0.9,b3f3c43086f75b1cc540400c83537b94fae9a74c73fdc4c2835e5ef74e7ccda1,3f29dc0780d4f3aa4655fdf3c0fc0f75b76c803066bc430d3956bb7943614f36
6,parent,8,base:extra-trees,9.0,d239877820a405d2505f48e0d978548e7fe4975c0ea1c04a2ab4176b3031ab77,09c468e49046ea782a98aacc03fbc212ddec60030caf34880f5ee9ff5ecee83c
6,harness,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,harness,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,harness,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,harness,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
6,harness,5,one:extra-leaf2,0.3,8d571f6e0ec77f9d2e89d6dce1e62210c90f898432ff5a448ff9b496bc6be796,af088346b6e7a6479b8fcd44b70b0e836e486b5671b0cf9b173a4d9714865357
6,harness,6,base:extra-trees,3.0,e16e775ec3b8fc0d92b74317e75ded4c1e63d305f6fa6e3344b910b65c8fbdef,891965cc6e3eba7ce8146a32d7847f1f90f75159a5133f79f57ced8fafd487a3
6,harness,7,one:extra-leaf2,0.9,b3f3c43086f75b1cc540400c83537b94fae9a74c73fdc4c2835e5ef74e7ccda1,a825664b449d2a41bd1c92dc3a6c9180d24461669d95c3ccb02ee078858fe669
6,harness,8,base:extra-trees,9.0,d239877820a405d2505f48e0d978548e7fe4975c0ea1c04a2ab4176b3031ab77,09c468e49046ea782a98aacc03fbc212ddec60030caf34880f5ee9ff5ecee83c
6,updater,1,base:linear,1.0,0b7619d372dc079bffaf029a7ea983fae2a2c2e2f4075d7bfc7e5fc7c99a58ad,5845040f70ad03cdf38d8b6362e028a5c41a29ddd9c28957f8eafaa4ff346ce8
6,updater,2,base:extra-trees,1.0,d833d5dbc135d64358e2368090c8c8b2c5e23444643dbc1df6c53bdd52c7ad6b,6693402674e41a8ab7a643a8e9699f7c645e141ce3644d0798c8c25fbe088cc7
6,updater,3,base:rbf-1,1.0,a469e336d25250a2b093b0ab2ae84fee62177eb3e296600d5f6273f01170f3f6,23685b8c1140ac3757b641823dadaeed0d4c1d5d83ed3d9580db5a3e20ab0157
6,updater,4,base:hist-boost,1.0,72902727776287335a0916c004e5f65b63e7353ffc058896722226a7f1d8a4a0,c324d40acb1400de8232424b830603bbe0655da3781387d7601b809bc44cd1ad
