task,step,parent_template,harness_template,same_constructor,same_source
6,1,base:linear,base:linear,True,True
6,2,base:extra-trees,base:extra-trees,True,True
6,3,base:rbf-1,base:rbf-1,True,True
6,4,base:hist-boost,base:hist-boost,True,True
6,5,base:extra-trees,one:extra-leaf2,True,False
6,6,base:extra-trees,base:extra-trees,True,True
6,7,base:extra-trees,one:extra-leaf2,True,False
6,8,base:extra-trees,base:extra-trees,True,True
23,1,base:linear,base:linear,True,True
23,2,base:extra-trees,base:extra-trees,True,True
23,3,base:rbf-1,base:rbf-1,True,True
23,4,base:hist-boost,base:hist-boost,True,True
23,5,base:rbf-1,two:unscaled-c1,False,False
23,6,base:rbf-1,base:rbf-1,True,True
23,7,base:rbf-1,two:unscaled-c1,False,False
23,8,base:rbf-1,base:rbf-1,True,True
31,1,base:linear,base:linear,True,True
31,2,base:extra-trees,base:extra-trees,True,True
31,3,base:rbf-1,base:rbf-1,True,True
31,4,base:hist-boost,base:hist-boost,True,True
31,5,base:linear,one:rbf-wide,False,False
31,6,base:linear,base:linear,True,True
31,7,base:linear,two:unscaled-c1,False,False
31,8,base:linear,one:rbf-wide,False,False
361235,1,one:median-reference,one:median-reference,True,True
361235,2,base:linear,base:linear,True,True
361235,3,base:random-forest,base:random-forest,True,True
361235,4,base:rbf-1,base:rbf-1,True,True
361235,5,base:random-forest,one:absolute-forest,False,False
361235,6,base:random-forest,base:random-forest,True,True
361235,7,base:random-forest,one:absolute-forest,False,False
361235,8,base:random-forest,base:random-forest,True,True
361237,1,one:median-reference,one:median-reference,True,True
361237,2,base:linear,base:linear,True,True
361237,3,base:random-forest,base:random-forest,True,True
361237,4,base:rbf-1,base:rbf-1,True,True
361237,5,base:random-forest,one:absolute-forest,False,False
361237,6,base:random-forest,base:random-forest,True,True
361237,7,base:random-forest,one:absolute-forest,False,False
361237,8,base:random-forest,base:random-forest,True,True
361247,1,one:median-reference,one:median-reference,True,True
361247,2,base:linear,base:linear,True,True
361247,3,base:random-forest,base:random-forest,True,True
361247,4,base:rbf-1,base:rbf-1,True,True
361247,5,base:random-forest,one:absolute-forest,False,False
361247,6,base:random-forest,base:random-forest,True,True
361247,7,base:random-forest,one:absolute-forest,False,False
361247,8,base:random-forest,base:random-forest,True,True
