reference,metric,mean_evolved_minus_reference,ci_low,ci_high,lower,tied,higher,tasks
broad,final_loss,-0.0010127033508328769,-0.0030381100524986306,0.0,1,3,0,4
broad,attempts,-8.0,-11.0,-2.75,3,1,0,4
broad,worker_seconds,-16.192757974989945,-22.547177149936033,-5.703113425035551,4,0,0,4
broad,utility,-0.017205461325822822,-0.02413102975166196,-0.00636830040000496,4,0,0,4
greedy,final_loss,-0.022169173713628105,-0.04298537575054341,-0.0013529716767127983,3,1,0,4
greedy,attempts,-8.0,-11.0,-2.75,3,1,0,4
greedy,worker_seconds,-16.036102175006818,-22.049519899963343,-6.542610525080815,4,0,0,4
greedy,utility,-0.03820527588863493,-0.055541404000580774,-0.020869147776689093,4,0,0,4
lineage,final_loss,-0.0010127033508328769,-0.0030381100524986306,0.0,1,3,0,4
lineage,attempts,-8.0,-11.0,-2.75,3,1,0,4
lineage,worker_seconds,-16.199474349967204,-22.371298674908758,-5.5394634250624195,4,0,0,4
lineage,utility,-0.01721217770080009,-0.02431732130158428,-0.00598021887505458,4,0,0,4
broad-stop,final_loss,0.0,0.0,0.0,0,4,0,4
broad-stop,attempts,-0.5,-1.5,0.0,1,3,0,4
broad-stop,worker_seconds,-0.8696196250239145,-2.7452261250145957,0.16962594994402203,2,0,2,4
broad-stop,utility,-0.0008696196250239131,-0.0027452261250145923,0.00016962594994402586,2,0,2,4
