task,kind,candidate,selection_loss,status,worker_seconds
3,classification,base:linear,0.0473679332715477,success,1.6702488999872005
3,classification,base:extra-trees,0.0075949953660796,success,1.8465510999958497
3,classification,base:hist-boost,0.0107043558850787,success,2.2995921000256203
3,classification,base:random-forest,0.0091658943466172,success,1.883747800020501
3,classification,base:rbf-1,0.0380722891566265,success,1.7895758000086062
3,classification,base:rbf-10,0.0061538461538461,success,1.7274344000034034
3,classification,base:neighbors-5,0.0995597775718257,success,1.6919135999924038
3,classification,base:neighbors-25,0.0935356811862835,success,1.6730629999947269
16,classification,base:linear,0.0589890965114865,success,2.127436800015857
16,classification,base:extra-trees,0.0344879624642736,success,2.8328837000008207
16,classification,base:hist-boost,0.0443280967638373,success,5.335215700004483
16,classification,base:random-forest,0.0399783930862833,success,2.599294799991185
16,classification,base:rbf-1,0.0175876707272056,success,2.1093105000036303
16,classification,base:rbf-10,0.0175876707272056,success,2.1087638000026345
16,classification,base:neighbors-5,0.049937353208467,success,1.942012099985732
16,classification,base:neighbors-25,0.0769014176358116,success,1.9347608000098264
28,classification,base:linear,0.0333289577216024,success,2.246180699992692
28,classification,base:extra-trees,0.0147966702913521,success,2.492724800016731
28,classification,base:hist-boost,0.0261934247605266,success,4.980011200008448
28,classification,base:random-forest,0.0197440948184459,success,2.396767300000647
28,classification,base:rbf-1,0.0249958557674039,success,2.1956341000040998
28,classification,base:rbf-10,0.0213520121000516,success,2.2837325999862514
28,classification,base:neighbors-5,0.0333787815372523,success,2.0892327000037767
28,classification,base:neighbors-25,0.0464875916462125,success,2.4633638999948744
361234,regression,base:linear,0.6425213138241322,success,1.952695200016024
361234,regression,base:extra-trees,0.6312323061846691,success,4.098461300018244
361234,regression,base:hist-boost,0.646923053167458,success,2.6465547000116203
361234,regression,base:random-forest,0.620673181620209,success,3.5350636999937706
361234,regression,base:rbf-1,0.5967879461230221,success,2.53150340000866
361234,regression,base:rbf-10,0.610450342515077,success,2.427162700012559
361234,regression,base:neighbors-5,0.6495854809569369,success,2.2704645000048918
361234,regression,base:neighbors-25,0.6165595538097125,success,2.4603765000065323
361236,regression,base:linear,0.7058718630826383,success,2.032217500003753
361236,regression,base:extra-trees,0.1102086836840742,success,2.415658600017196
361236,regression,base:hist-boost,0.1158203636840458,success,2.7461776999989524
361236,regression,base:random-forest,0.0678443633278501,success,2.5526816000055987
361236,regression,base:rbf-1,0.2214090295664642,success,3.0862213000073098
361236,regression,base:rbf-10,0.2046913407310922,success,2.0131723000085917
361236,regression,base:neighbors-5,0.217623130449008,success,2.111905199999456
361236,regression,base:neighbors-25,0.2922355110454833,success,1.9824455000052692
361244,regression,base:linear,1.4344246523148416,success,2.211906699987594
361244,regression,base:extra-trees,1.8019353698190053,success,2.2214992999797687
361244,regression,base:hist-boost,1.545430110933713,success,2.5850992999912705
361244,regression,base:random-forest,1.5435578219971444,success,1.9975417999958156
361244,regression,base:rbf-1,1.2524306034962334,success,1.9285201000166128
361244,regression,base:rbf-10,1.2750733899993116,success,1.9105910999933255
361244,regression,base:neighbors-5,1.7337914961464678,success,1.9058151000062933
361244,regression,base:neighbors-25,1.4229412785800637,success,1.8535352000035343
3,classification,one:rbf-unscaled,0.0061538461538461,success,1.89249529998051
3,classification,one:rbf-wide,0.0471084337349397,success,1.7883231999876443
3,classification,one:extra-leaf2,0.0122103799814643,success,2.0247588000202086
3,classification,one:boost-regularized,0.0061214087117702,success,2.249368399992818
16,classification,one:rbf-unscaled,0.0171908453303801,success,2.2235617999976967
16,classification,one:rbf-wide,0.0194610557401254,success,2.6252995999821
16,classification,one:extra-leaf2,0.0292599118547709,success,2.2099598000058904
16,classification,one:boost-regularized,0.0516390582761452,success,14.912166199996136
28,classification,one:rbf-unscaled,0.0126218039093576,success,2.0431146000046283
28,classification,one:rbf-wide,0.0124486638556629,success,2.690608400007477
28,classification,one:extra-leaf2,0.0234029636596106,success,2.616261499992106
28,classification,one:boost-regularized,0.0340837869637141,success,11.924283700005615
361234,regression,one:median-reference,0.9606271777003484,success,1.670592199981911
361234,regression,one:absolute-boost,0.5976801197258802,success,1.9531647999829147
361234,regression,one:absolute-forest,0.6017435213414635,success,10.786576199985577
361234,regression,one:svr-tight,0.5984168641517027,success,2.002549500000896
361236,regression,one:median-reference,0.9999130438420936,success,1.5743724999774713
361236,regression,one:absolute-boost,0.130345928935995,success,2.236101000016788
361236,regression,one:absolute-forest,0.119186482870433,success,3.485409700020682
361236,regression,one:svr-tight,0.1662666433753697,success,2.0187979000038467
361244,regression,one:median-reference,1.1164313484755477,success,1.8563858999987133
361244,regression,one:absolute-boost,1.1164313484755477,success,1.8829816999787
361244,regression,one:absolute-forest,1.171737517904645,success,2.8292350999836344
361244,regression,one:svr-tight,1.1650623853613566,success,1.787498199992115
3,classification,two:unscaled-c1,0.0380722891566265,success,1.7388812999997754
3,classification,two:unscaled-c100,0.0076598702502317,success,1.6634628000028897
3,classification,two:native-category-boost,0.0076598702502317,success,1.823032299987972
3,classification,two:forest-all-features,0.0076598702502317,success,1.8887204000202475
16,classification,two:unscaled-c1,0.0146908453303801,success,1.686907399998745
16,classification,two:unscaled-c100,0.0171908453303801,success,1.6193621999991592
16,classification,two:native-category-boost,0.0417247375907106,success,8.077997999993386
16,classification,two:forest-all-features,0.0820447943173112,success,7.584432000003289
28,classification,two:unscaled-c1,0.0091562851554037,success,1.814951199979987
28,classification,two:unscaled-c100,0.0126218039093576,success,1.7921629000047687
28,classification,two:native-category-boost,0.025269551885434,success,7.291803999978583
28,classification,two:forest-all-features,0.039478394350181,success,3.458358900010353
361234,regression,two:log-boost,0.6440854627914262,success,1.9448275000031567
361234,regression,two:log-svr,0.5988896037456004,success,2.192148799978895
361234,regression,two:extra-leaf5,0.6086200465484223,success,2.04482929999358
361234,regression,two:quadratic-splines,0.6201909074893881,success,1.765599900012603
361236,regression,two:log-boost,0.0995625911876291,success,2.005035100009991
361236,regression,two:log-svr,0.165339770211785,success,1.891820499993628
361236,regression,two:extra-leaf5,0.1641573077008169,success,1.8992716999782715
