row_id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working%3F,Husbands_occupation,Standard-of-living_index,Media_exposure,Contraceptive_method_used
5,19.0,4,4,0.0,1,1,3,3,0,1
9,45.0,1,1,8.0,1,1,2,2,1,1
15,26.0,2,4,0.0,1,1,4,1,0,1
16,48.0,1,1,7.0,1,1,2,4,0,1
20,26.0,3,4,1.0,1,0,4,1,0,1
24,48.0,4,4,5.0,1,1,1,4,0,1
33,33.0,2,2,2.0,1,1,3,1,0,1
34,24.0,2,3,1.0,1,1,3,3,0,1
48,26.0,4,4,1.0,1,1,1,4,0,1
50,31.0,4,4,0.0,1,0,1,4,0,1
51,49.0,4,4,7.0,0,1,2,4,0,1
53,34.0,4,4,1.0,0,0,2,3,0,1
59,49.0,4,4,6.0,1,1,1,2,0,1
62,47.0,1,2,2.0,1,0,1,3,0,1
71,48.0,2,3,8.0,1,1,1,4,0,1
81,49.0,4,4,6.0,0,0,1,4,0,1
87,35.0,4,4,3.0,0,1,1,4,0,1
89,24.0,2,2,3.0,1,0,2,1,0,1
99,27.0,2,3,5.0,1,1,2,1,0,1
104,23.0,2,4,2.0,1,1,3,3,0,1
106,22.0,4,4,0.0,1,1,1,1,0,1
111,32.0,3,3,7.0,1,0,2,3,0,1
118,49.0,4,3,5.0,1,1,2,3,0,1
129,25.0,3,4,0.0,1,1,1,3,0,1
136,24.0,4,4,2.0,1,1,3,3,0,1
140,33.0,4,4,2.0,1,1,1,3,0,1
144,30.0,2,4,2.0,1,1,3,4,0,1
151,21.0,1,3,4.0,1,1,3,2,0,1
164,34.0,4,4,4.0,1,1,2,3,0,1
167,26.0,4,4,1.0,1,1,1,4,0,1
169,20.0,3,4,0.0,1,0,2,4,0,1
172,22.0,2,4,1.0,1,1,2,4,0,1
178,45.0,2,4,2.0,1,0,2,4,0,1
180,34.0,4,4,2.0,1,0,1,4,0,1
181,25.0,2,4,1.0,1,1,2,2,0,1
202,36.0,2,4,2.0,1,0,2,4,0,1
204,40.0,3,4,1.0,1,1,1,2,0,1
205,22.0,2,3,2.0,1,1,3,1,0,1
214,43.0,1,3,8.0,1,1,3,1,0,1
225,32.0,4,4,4.0,1,0,1,3,0,1
228,47.0,1,4,8.0,1,1,3,3,0,1
234,39.0,1,1,5.0,1,0,3,1,1,1
238,39.0,3,3,6.0,1,1,3,3,0,1
248,27.0,4,4,1.0,1,1,1,2,0,1
249,46.0,3,2,11.0,1,0,2,2,1,1
250,34.0,4,4,3.0,0,1,1,2,0,1
252,25.0,3,3,1.0,1,1,3,2,0,1
263,22.0,3,3,0.0,1,1,2,2,0,1
264,31.0,2,4,5.0,1,1,3,2,0,1
267,42.0,3,4,10.0,1,0,3,2,0,1
275,35.0,3,4,1.0,0,1,2,3,0,1
289,35.0,1,3,0.0,1,1,2,2,1,1
299,26.0,4,4,1.0,1,1,1,4,0,1
306,44.0,1,2,2.0,1,1,2,4,0,1
322,45.0,3,4,2.0,0,1,1,4,0,1
323,21.0,1,3,0.0,1,0,3,4,1,1
327,35.0,4,4,2.0,0,1,3,4,0,1
331,35.0,1,2,0.0,1,0,4,4,0,1
345,28.0,4,4,1.0,0,1,2,4,0,1
352,24.0,2,2,2.0,1,1,3,1,1,1
365,20.0,2,3,3.0,1,1,3,4,0,1
382,37.0,2,3,2.0,0,0,3,3,0,1
383,25.0,2,3,1.0,1,0,2,1,0,1
389,20.0,2,3,1.0,1,1,3,4,0,1
395,37.0,4,4,2.0,0,1,1,4,0,1
396,49.0,1,3,6.0,1,1,2,4,0,1
407,47.0,3,3,2.0,1,1,2,4,0,1
414,20.0,2,3,3.0,1,1,3,4,0,1
417,35.0,4,4,4.0,1,1,1,4,0,2
418,26.0,4,4,2.0,1,0,1,4,0,2
423,25.0,2,4,6.0,1,1,3,4,0,2
424,42.0,2,3,7.0,1,1,3,4,0,2
427,26.0,1,1,2.0,1,1,3,4,0,2
435,45.0,4,4,7.0,1,1,1,4,0,2
440,32.0,4,4,4.0,1,1,2,4,0,2
454,36.0,4,4,2.0,1,1,2,4,0,2
463,37.0,4,4,3.0,1,1,1,4,0,2
466,27.0,3,3,1.0,0,0,2,4,0,2
470,31.0,4,4,3.0,0,0,4,4,0,2
475,34.0,4,4,3.0,1,1,1,4,0,2
476,44.0,4,4,6.0,0,1,1,3,0,2
