hour,size,mean
0,182,60.956043956043956
1,182,75.52747252747253
2,181,85.74585635359117
3,176,97.125
4,179,103.25139664804469
5,182,88.28571428571429
6,182,47.972527472527474
7,182,170.8186813186813
8,182,324.0769230769231
9,182,151.8021978021978
10,182,95.46703296703296
11,182,134.04395604395606
12,182,181.41758241758242
13,182,187.83516483516485
14,182,171.52747252747253
15,182,183.1043956043956
16,182,247.42857142857142
17,182,421.9065934065934
18,182,388.0054945054945
19,182,256.5879120879121
20,182,157.6868131868132
21,182,99.76373626373626
22,182,60.505494505494504
23,182,44.494505494505496
