"path","sha256","bytes"
"BASELINE-HOURLY.csv","37374748d1e56af80e1c4ffe34f2ce9fa1641d4524fd4cd8d384e516cc621cd8","629"
"check-1-command.txt","b430ca92d13254e044190bd429e490a93b241d28aaf15b05dda0523840db74bc","709"
"check-2-command.txt","b53375db2944f2b26e0c537da8d2b99abe225d5ccb0282c82c569d4a0cfd2b89","709"
"CHECKS.csv","72dbb528324e6e1c03f1e13c7393d6cb6e30ab503f25fa6c921ee0cf15557d48","292"
"compare-command.txt","f8c8b8a2156e6a65bb9a7ac6b1b56c7504be99a5a51dbd3cb7b7b3d8eeb9e925","506"
"DECISION-1.md","6f7c81cc9a701a304d007715122963e8561016e7b529d8ccff48e52c22da3edb","345"
"DECISION-2.md","d8581538299f0f57e741264afef02a1ef108781e5da38ace75fe463282d4e7bf","343"
"ENVIRONMENT.md","b02b0e73636416e299199f81fe23beaa6308741f1fd424d1bdf070552c42f5b3","318"
"experiment/COMPARISON.md","718b60eb5255afdb383757a4b796454fe6a4adae446410a637a3e206e2c2d567","535"
"experiment/CONTRACT.md","99ee29913196a8f07c63a3802b64ec18729bd5bf3d26538b54c3b3a527cc3345","585"
"experiment/CONTRACT.sha256","7b5c234ac090bc462e2dd7916ea7d0d1497c588100b818950c9b1d64a9486093","65"
"experiment/trial-001/CHECK.md","f87f336ed5fc2c59e9f4a38b79e25258b5e5a729e4d2cf95696a6ea3f839ef16","198"
"experiment/trial-001/error-by-hour.csv","37374748d1e56af80e1c4ffe34f2ce9fa1641d4524fd4cd8d384e516cc621cd8","629"
"experiment/trial-001/predictions.csv","0004513ae666f36bcf4987e2b36944f1c4a8d79bf949ef09b788d0b95e6af93c","82005"
"experiment/trial-001/PROPOSAL.md","5bab7fe0b368e2c62dcd7674abba46d57505f9d8df281430895ea73889ef8d5b","260"
"experiment/trial-001/RESULT.md","8a41b22ecffafe833fa485169189232cb33e250a8e0551b84d197fec63698162","337"
"experiment/trial-002/CHECK.md","a101e649e9626aa9686970246b3c28c8619963a4b7bf34a507202944d0024331","198"
"experiment/trial-002/error-by-hour.csv","f40334eb9112cdfe36ef600563343d9305db9c7faf7d336e6088a77885a1fae1","638"
"experiment/trial-002/predictions.csv","570ee4df3213290079bd43149fc2b5e9e081b4984302eab9b688580f03258c7b","126165"
"experiment/trial-002/PROPOSAL.md","bb982782001c00e403f4c06547255819887ae37396d76a9bab0f1abfc360425b","258"
"experiment/trial-002/RESULT.md","cee0e4dc814196dcecf5db9142403c5e42ce51689d0e2549959038a97866fce9","337"
"experiment/trials.csv","1d0f37c780858f93913549a2fc36d639926a96f3c4ef05bf9a295b430d7cc0bd","460"
"fit-1-command.txt","a6864cd15164fc8e803ffa8d775503cb42f57781a7f5305dac58f6192e233e66","1052"
"fit-2-command.txt","b0f96172eaa3614fa7d9a7e382121ca6a7c0cfaa2255a12c06295b1e89fac103","1048"
"HOURLY-CHANGES.csv","bf672c58adef8475bfd3f1e693c0e56d2643bf042fa1481b860d4fb748b29a8f","1554"
"hourly-errors.png","3ee635e00f48730fc28ef9ce063a1f24c8969bd9dd9f9b8823a9268909d17fb9","121064"
"HYPOTHESIS.md","3e6574a5d1fb3c74058f81618569c92f85c4359190e2265dceab077c8fca74ac","1834"
"INPUT-IDENTITIES.csv","b17d87c68efc6086c6e93ce9cf792699e86c1b2a14b9de87e928b4c4d0d9352b","1223"
"PROGRESS.md","562ec7c8010dd25f46795b106109ac049bf1f305c2fecd0f50de43242bb0e217","206"
"PROTOCOL.md","f1114debf75b892ee3b36f4de4c91cca3febf5133389c4363b5847b28a30cb14","1786"
"RESULT.md","90b79711ee67814c1db9e22a042121ed6bc85164cc922e1ccd2748dda7556867","897"
"REVIEW.md","f5e48aa656d1dfac69b35c51be3052132b37c113caee11b7f80636244c4263ee","1043"
"run-model-hypothesis.py","4e46d737fbce661ac9f243c99faae743b22665546280c0f4da8e64090d034991","8310"
"STARTED.txt","5bbc8bc8500e8cdef434339a074b0f76dac2dc19260dcd5b50191b9f16a247d9","33"
