row_id,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,att27,att28,att29,att30,att31,att32,att33,att34,att35,att36,att37,att38,att39,att40,att41,att42,att43,att44,att45,att46,att47,att48,att49,att50,att51,att52,att53,att54,att55,att56,att57,att58,att59,att60,att61,att62,att63,att64,class
2,-9.6391573,-6.65589762,0.38868687,-1.7176497,0.30034566,3.400769,-7.24078465,-1.65940475,-0.87400484,4.15340328,-4.73282719,2.3718729,-0.79178405,2.60947013,-2.2039113,-4.43581343,-0.76231313,-0.39408088,1.13350272,2.64404106,-3.87646961,3.06737208,-0.15099674,-0.81416202,1.29000688,-0.88531619,2.59749889,-3.2680254,-1.77711105,-0.25931001,-2.88796043,0.80343604,0.8859874,1.16418111,-2.67226529,0.21301402,2.50261712,0.01169091,-0.24138141,-0.50314313,-2.01774025,0.62305349,0.2979953,0.45353943,-0.52346694,1.17260945,-1.03432989,-1.04553866,-1.51997733,1.57861912,0.77229238,-1.64467287,0.55519545,0.37211597,-0.41317409,-0.02302837,-0.02526498,1.2598381,-0.44135952,-0.96009386,1.99584341,1.09774804,0.82718205,-1.76784039,1
5,3.43761778,-3.91450167,-1.12680268,4.0373373,-2.51349759,1.73334265,-8.81278515,-4.18172646,8.662117,-2.78392625,4.71745014,6.02195644,8.26852226,1.53816581,0.33972073,4.25197697,-1.58556354,2.30210304,1.98904133,1.01600456,0.14805859,-0.63774627,-4.05436325,3.96678066,-1.82035065,3.76235247,0.01849514,1.50801635,0.84758711,-2.54333544,-1.8236984,2.13441086,2.37541938,2.56613088,1.2007829,-3.72988772,2.00805211,-0.78168851,2.11913109,-3.18023324,1.26827073,-0.07902773,-1.46358788,3.0511539,0.43409252,-0.63722652,1.03862607,0.73440015,-0.52425808,0.85377204,0.68123037,2.52312851,0.28975725,-0.32469475,-0.56110281,0.89597452,0.52090955,-2.05292678,-0.57287437,0.17989838,-1.10531461,-0.758766,1.4206413,1.64978492,1
8,-13.14117336,-13.00230408,12.33443832,-3.0018878,2.88424301,-0.15115225,0.35371828,-1.1055038,3.59855676,0.55361831,-0.20296931,-0.29433846,2.40556335,-0.54101306,-0.34484816,3.44001627,-4.82740211,2.11421084,-2.3284359,-1.67416525,0.45099717,-0.40359515,1.97526312,0.82006288,-1.15583277,-1.28689206,2.95406055,0.91433334,0.66722131,0.5390656,-2.92117119,0.63459277,-0.72798419,-0.88445801,0.70718563,-1.43986726,0.86837626,2.76316833,-1.5916754,-1.16553187,-2.40987825,-0.41604424,-0.18437535,-0.29452175,-0.2203511,0.16643959,0.8944025,-1.33142281,-0.05367829,1.11944807,-0.02503638,0.48196787,-0.5165627,0.29529214,0.55565989,-0.09457046,0.70878196,-0.09180011,-0.27694249,-0.63486564,0.29471844,1.02031898,-0.56620491,0.4790664,1
17,-13.23609447,-10.4115181,9.41302872,-3.0164094,2.22933578,0.35847914,-4.2320509,-0.49017406,0.40246677,2.77386308,-3.34169245,-1.22839761,-0.193735,1.48982906,-2.26856184,2.24106312,-4.91630697,0.18330085,-0.21301277,0.45779538,-2.38709784,-0.03188246,1.07923079,1.00359106,-1.00208759,-0.41514942,1.38503635,-0.52389061,-0.50423622,0.80706346,-0.40973532,0.97309494,-1.15068245,0.71222758,0.02642536,0.30594638,0.90270138,-0.10900456,-0.57570827,-1.3379941,-1.70381355,-0.52636409,0.77660203,-1.52617526,1.6658268,0.28475568,0.2851156,-0.21100402,-1.57910371,0.26585126,-0.27293587,1.30187452,-0.05693126,-0.087286,-1.53030157,-0.32313165,-0.35151029,-0.10557075,0.43287307,1.67278111,1.14619005,0.28164434,0.29355514,0.92112774,1
19,-6.36288309,-9.69883537,4.20247173,-5.00516176,1.58736002,3.7171793,-9.22032452,-7.43925667,-1.4983182,-1.72826576,-0.51196361,-0.97618604,2.81250429,1.20870829,1.50525951,1.1855166,-0.4989537,-0.54786664,-1.63315308,2.68518066,-2.72592115,-1.65246654,2.28149533,-0.93271542,-2.02667284,2.55285811,1.28068399,-2.31676769,0.18743682,-0.23996115,-1.24002016,0.7052629,1.24193585,-1.50420284,-1.25200009,-0.009841,-2.28990221,-0.10008663,0.69555414,-1.07258999,0.62917483,0.63027656,1.08164072,0.10278581,-0.70986366,0.16862631,-0.81633341,-2.38384938,0.13351271,1.36666548,-1.68433857,-0.9707247,2.08678007,-0.98829198,0.45134163,-0.71791857,0.75477409,0.46767908,0.09309757,0.30144179,-0.68278736,0.24435323,1.34947455,0.62763679,1
32,-6.82198286,-4.54712486,1.69955635,0.98311198,2.15585995,4.5898056,-9.71505928,-2.87814021,-0.72956562,-0.34868133,-4.83698034,1.67988658,1.97065198,0.63474983,-0.84079266,-1.24606395,3.21090484,-3.15895486,3.52970028,3.73569059,-3.13042688,0.68448663,0.49918672,2.66196775,0.11587423,0.85780329,1.15121865,-1.9895705,-2.55538702,-0.09432757,-2.71928263,0.00675416,-1.3460077,-1.11327004,-0.14651096,-0.36426702,0.09749174,-2.85102582,1.27371335,-1.63877869,-0.79887068,0.22677398,1.7736764,-1.18723309,-0.69224346,-0.54742372,-1.12197495,0.55010819,-0.20642245,0.14573348,-0.3872875,-0.14744633,1.84623361,0.07526493,0.40825182,1.95171452,0.1996448,-0.26599467,1.55361795,0.74503589,0.45548648,0.16745603,0.49611735,-1.9776237,1
34,-4.81671143,-6.65811634,-3.67707157,1.96992731,-1.85824835,-2.48586607,-9.65284061,-5.91962624,4.2528615,0.2538026,0.25405216,-1.72099519,6.73071194,1.3753773,0.2412374,2.94362164,1.64794874,4.83951855,-0.26864898,3.26431179,-1.78460383,-4.99088335,-0.03370705,0.04524589,-1.62863755,0.84281152,1.70832002,0.40951169,1.60868669,-1.06185603,1.70095682,0.38744283,-2.70398116,0.5985949,0.2676931,-1.75891864,0.31135297,-1.2185564,-0.84058034,-1.13190806,-0.62468809,-0.75627482,-0.45332858,2.97391486,0.79961383,1.51446676,-1.6595732,-0.33632159,-0.26298073,1.39205611,-0.93570125,2.30237532,-0.56523943,-0.90996003,0.41842932,-0.65819991,-1.37009335,-0.80249929,0.41842169,1.49794924,0.63471895,-0.23383826,-1.37318027,0.93226194,1
36,-7.13155222,-6.58524847,4.98613358,-2.17874217,3.34739304,4.79187012,-8.83102322,-8.38235855,-3.46946573,2.91671038,-0.06388402,0.96490407,1.25362563,1.65310705,2.18451309,3.26163983,2.26633143,-1.17631555,-0.24061881,3.7681179,-3.66256809,-0.8688845,3.34872985,-0.5411284,0.01065177,1.0568279,-0.05064178,-0.39627755,0.63848948,-0.40380061,-1.17338932,-0.013978,-1.72813368,-1.28882217,0.34779614,-1.28750598,-0.38091588,-0.65440315,1.21789277,-1.05449498,-0.92916405,-0.40642685,0.62516868,-0.18041877,0.46946591,1.21345234,0.82604396,-0.54142547,0.76335418,-0.22982445,-1.86224651,0.22850099,0.5779736,-0.70774627,-0.01656431,-0.42653805,-0.32978868,-0.83581626,-0.37647954,1.39024842,-0.75636834,-1.00346327,0.29560924,-2.13083243,1
39,-6.52063942,-5.32470131,-0.3610667,-1.27492869,2.0668416,0.34049433,-10.69326687,-2.12895656,3.16822004,-5.97110891,-1.46878815,1.24685907,3.76433134,1.79224443,-3.82840729,-3.64877748,1.98272276,0.21577561,3.29160643,4.0457325,-1.08073056,-1.44124317,-0.71916831,0.82478023,-1.9055382,0.32736629,2.48759842,0.00656247,1.44482255,-1.18469608,0.35356498,0.94884038,-0.36090875,0.04274726,0.36241263,2.04536128,-0.88879645,-2.83824158,1.77092242,-0.79820555,-0.24933177,0.060711,2.16159081,0.10698323,0.50645649,-0.37899697,-1.62870646,-1.40172982,-0.68682849,0.24225998,-1.88246679,-0.5596838,0.16471457,-0.15736496,0.68694329,1.90231299,-0.99910355,-2.06333017,0.429995,1.94345367,1.15549803,0.28594935,-0.21633089,-0.56419069,1
44,-11.19219303,-0.9037528,1.01951873,-1.74873853,1.84593451,5.78136349,-5.64418411,-2.17192817,-2.92763805,1.96781611,-0.6960938,4.84041977,-2.46530867,3.45045185,1.56036639,-0.39717054,1.84990668,-3.2234633,0.21031487,3.7001071,-4.55667734,4.17282295,4.51427269,2.42335844,-0.60453176,1.55642998,2.1358943,0.11061978,0.50426698,0.18126142,-4.03015995,-0.04813242,-0.87521744,-1.88127565,-0.77745962,-2.61774015,0.23958111,-0.29469699,-0.72837436,1.47015703,0.96566892,0.02788599,0.82120049,-1.52956676,-0.20976615,0.87756348,-0.45507145,0.02548432,1.55369616,-0.58425122,-0.051488,-1.0998652,0.26120162,-1.35833764,-0.62860376,0.99885583,-0.01177263,-0.44556278,-0.12944457,0.38184714,-0.02617958,0.27125144,-0.16758949,-1.73929167,1
