task,kind,arm,selected_step,template,factor,candidate_sha256,status,exit_code,worker_seconds,train_loss,selection_loss,selection_score,final_loss,final_score
6,classification,parent,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.018478700018022,0.0054970891006213,0.1007769350232427,0.8992230649767573,0.1059962227959958,0.8940037772040041
6,classification,i0,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.0168695999891497,0.0054970891006213,0.1007769350232427,0.8992230649767573,0.1059962227959958,0.8940037772040041
6,classification,i1,6,base:rbf-10,1.0,99666013fed9dfb0cb3c8aefeb0ff36ea73030482a9d8666d270a500e98c3cc7,success,0,2.0079379999951925,0.0054970891006213,0.1007769350232427,0.8992230649767573,0.1059962227959958,0.8940037772040041
23,classification,i0,9,base:rbf-1,0.5,7429b51f08095ce499e26c5bff7f4256901a79c63b8f34d0d2f4fca4c92fae64,success,0,1.6637698999838904,0.3924917861409797,0.4541832328673422,0.5458167671326578,0.4661881880551958,0.5338118119448042
23,classification,i1,10,one:rbf-wide,1.0,4483f350c36b64578650a3863d4b22f0ccf2927693173891c0ad0b23fac2b8b6,success,0,1.6387555999972392,0.3780988649940263,0.4159557094609037,0.5840442905390962,0.4611487546270155,0.5388512453729845
23,classification,parent,9,base:rbf-1,0.5,7429b51f08095ce499e26c5bff7f4256901a79c63b8f34d0d2f4fca4c92fae64,success,0,1.6194335999898612,0.3924917861409797,0.4541832328673422,0.5458167671326578,0.4661881880551958,0.5338118119448042
31,classification,i1,12,base:rbf-1,0.5,7429b51f08095ce499e26c5bff7f4256901a79c63b8f34d0d2f4fca4c92fae64,success,0,1.6522003000136465,0.1712002096436058,0.2634249743062693,0.7365750256937307,0.2855839416058394,0.7144160583941606
31,classification,parent,12,base:linear,0.1875,efc274660ee82ac68806cf49517c5b549cbfa3b9de4c46d85ff98273ffecd3b6,success,0,1.7494030999951065,0.235691823899371,0.259827852004111,0.7401721479958889,0.2933964416058394,0.7066035583941606
31,classification,i0,12,base:linear,0.1875,efc274660ee82ac68806cf49517c5b549cbfa3b9de4c46d85ff98273ffecd3b6,success,0,1.778724500007229,0.235691823899371,0.259827852004111,0.7401721479958889,0.2933964416058394,0.7066035583941606
361235,regression,parent,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,1.9257279000012204,1.1050808161815445e-15,0.2185274285975099,1.1809015990802674,0.221553693650379,1.1972552498009554
361235,regression,i0,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,1.909418299997924,1.1050808161815445e-15,0.2185274285975099,1.1809015990802674,0.221553693650379,1.1972552498009554
361235,regression,i1,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,1.8953368999937084,1.1050808161815445e-15,0.2185274285975099,1.1809015990802674,0.221553693650379,1.1972552498009554
361237,regression,i0,6,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,1.8865339999902062,0.0781624269160682,0.2657502196457857,3.412231497829408,0.2423087058337296,3.111242577131938
361237,regression,i1,6,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,1.9222033999976702,0.0781624269160682,0.2657502196457857,3.412231497829408,0.2423087058337296,3.111242577131938
361237,regression,parent,6,base:hist-boost,1.0,c57445ba4248176a610264d02f47077484c9b2db467b3617b7e6c2d09fac91b3,success,0,1.885137700010091,0.0781624269160682,0.2657502196457857,3.412231497829408,0.2423087058337296,3.111242577131938
361247,regression,i1,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.5537497000186704,3.4173990648799463e-16,0.0591500137705344,0.00076064453125,0.0532266589443671,0.00068447265625
361247,regression,parent,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.472194200003287,3.4173990648799463e-16,0.0591500137705344,0.00076064453125,0.0532266589443671,0.00068447265625
361247,regression,i0,5,base:extra-trees,1.0,fe9f52aac6fae812ea74bfe6725897abb4cf9f7a3df60d58683d0107f65b1d3b,success,0,2.536338000005344,3.4173990648799463e-16,0.0591500137705344,0.00076064453125,0.0532266589443671,0.00068447265625
