attempt,task,kind,candidate,status,exit_code,worker_seconds,selection_score,selection_loss
1,3,classification,unscaled-c1,success,0,1.7388812999997754,0.9619277108433736,0.0380722891566265
2,3,classification,unscaled-c100,success,0,1.6634628000028897,0.9923401297497684,0.0076598702502317
3,3,classification,native-category-boost,success,0,1.8230322999879718,0.9923401297497684,0.0076598702502317
4,3,classification,forest-all-features,success,0,1.8887204000202473,0.9923401297497684,0.0076598702502317
5,16,classification,unscaled-c1,success,0,1.686907399998745,0.98530915466962,0.0146908453303801
6,16,classification,unscaled-c100,success,0,1.6193621999991592,0.9828091546696198,0.0171908453303801
7,16,classification,native-category-boost,success,0,8.077997999993386,0.9582752624092894,0.0417247375907106
8,16,classification,forest-all-features,success,0,7.584432000003289,0.9179552056826888,0.0820447943173112
9,28,classification,unscaled-c1,success,0,1.814951199979987,0.9908437148445962,0.0091562851554037
10,28,classification,unscaled-c100,success,0,1.7921629000047687,0.9873781960906424,0.0126218039093576
11,28,classification,native-category-boost,success,0,7.291803999978583,0.974730448114566,0.025269551885434
12,28,classification,forest-all-features,success,0,3.458358900010353,0.9605216056498188,0.039478394350181
13,361234,regression,log-boost,success,0,1.9448275000031572,1.5404377318428275,0.6440854627914262
14,361234,regression,log-svr,success,0,2.192148799978895,1.432344302291561,0.5988896037456004
15,361234,regression,extra-leaf5,success,0,2.04482929999358,1.4556162779949766,0.6086200465484223
16,361234,regression,quadratic-splines,success,0,1.765599900012603,1.48328992041212,0.6201909074893881
17,361236,regression,log-boost,success,0,2.005035100009991,650.6446782109643,0.0995625911876291
18,361236,regression,log-svr,success,0,1.891820499993628,1080.5006207822405,0.165339770211785
19,361236,regression,extra-leaf5,success,0,1.8992716999782715,1072.773190923615,0.1641573077008169
20,361236,regression,quadratic-splines,success,0,1.7976208000036422,2031.5528627296871,0.3108711619745712
21,361244,regression,log-boost,success,0,1.8902671000105329,0.404321987398926,1.3849703435764318
22,361244,regression,log-svr,success,0,2.184256500011543,0.3325269541374668,1.1390426053327594
23,361244,regression,extra-leaf5,success,0,2.0567158999911044,0.4249188528738966,1.4555231424409718
24,361244,regression,quadratic-splines,success,0,1.9779115999990609,0.6438271064827045,2.205374618891032
