row_id,feature_group,group,split,included
0,66e20e4b23631a62b328621b984a6dcb0acbd32af9ae5caeee590195322b48e7,e6fc24d1450de5b3497f54d9d116f1bbdadf8b3a148f51ddf41cfbb93d393f8b,train,True
1,d983b8010de1e515bf8278c47f4ba306273119177b9f3824e1fe5cc6553e9017,213c9a024d0dd2e35b7cc807209db5a4d931c26ddf935aa58be2c263d88d19f6,final,True
2,2a3b84233c04ad5fd5d1cc610e9eae039a56503f900b87881780010493389d8b,d48fca65de9de1bfdb06beb7eeb25230b1c74c838d15b0e5eda4022a319b368e,train,True
3,6736cc7e30fbdcbf95150cfd1c6ae664fa0a4be76aee385b7ef039d140770767,83914af0034ce65c721427b713f363742086e7971bf36ed9429d80130b2d31b6,final,True
4,105434188e00928efecd000d09eaa32bfff32c8c41e235037332d1e9a4e3edf5,1b48474c5bb9550896b0fae25cc7d69c9af3246bb5a04146b22e86e97b47f618,final,True
5,ac4b09832a9ddca05b098eeaf08d23216d8ca0e7562cfdff5d8549edf1b2a1cb,0d6511c146c249a949b243bc321b4bf407ee7342444fb7dd32ca9c8872a18e38,train,True
6,1e489e0d284b8ae6b27a5d97e64922e783c42a4c767dd5a2830fcab4bfba41a2,e5e58c2da5c63d7a5b095cc0196cc1d460e02e2b4ce8c5b6b9e7b8c00f0d457c,train,True
7,db192a9f23b9cc5fb2a4b285f65fb72fb438c39ebea07852781179313bbfd755,49c6cd99cabfb4982fd2796c4fba48c65a9e40dd14ca58d95fbce34505670eb0,final,True
8,ef456acb1fec0908edff13250223673af2404bb5184af01bdc976931cf8b98b1,2146aaa4eaf17d1e85d04a779c62411fd1494b4d5bb90b884d24109e1736c2af,train,True
9,139f0268e2601e80be38be55c808c97dadd1a3df7677eeb9d2f79532be023dd6,54357dd2c70a50559b4fb33afb5db96a281b1b5be371defa72fbf0b7470faefc,train,True
10,44bc94cbab5caec8226f51af72d441770b4a51da5ee605cff41b1c6b739dda56,491e56fcdd68cccf4d5e4af7f4d23cdc2fb07907dcf1541207e20113c4ea07cb,final,True
11,15c7907061423a470c3c0aa4f5b4c06f4f574608699bd539f569a500c9c01187,313458e328af44f84154b6072fc9f2c93e4035c7b0e416d9664ce26247720b79,selection,True
12,ea93bb95ba4d0ea6489a1c3d5163ee8e60e2f77589fb43d118d40afa1da2fbe2,53c0c572a8eea2e897b7fa80552c39cf1355eee327fc2c70e3a4124ef5aef510,train,True
13,0cefaa1b3117948b840ddb2ca903090c6754de12c6a28b04deef771a65f7cafa,535f1fccce0eb2c6be2c9b7541512c990f7dad840d7a7c961ce54a83e5d0a743,train,True
14,14dfef317c63f2593549339496b328031829f07f64e73438c63ef75632d19548,137852a3a805235c60b9275bb0fb8e301484b16e1ca73708e73b45a69c7eb01e,train,True
15,0cefaa1b3117948b840ddb2ca903090c6754de12c6a28b04deef771a65f7cafa,535f1fccce0eb2c6be2c9b7541512c990f7dad840d7a7c961ce54a83e5d0a743,train,True
16,40e08ff3c2a0551549cc314813b7c888d6d72d3d58b93ced1a6aa71e6e56f6dd,5a91aca41482913ec354735d1427ceb50c53dff1588edd5a3adc287faaa89923,train,True
17,035c84df7ae330f6631aa8e68f72c7f4e571ce88abf50d2dfda5f5977e6321e4,f0ca44f40a33a8ce7ff715c2c561973c7e339e810474647ca771b7dc63a64391,final,True
18,2815e064b3ec9a057011dd2c618d7146e3505d3636313f18ab255a7580650af3,0d0976a6d44d2d9eb05f62e3e0f670038cc09cec06579a60dd482717455c06f3,train,True
19,ade084bc9ce07b8d2a20d20e5d5a7afc295041fe8d5dcc94b8603786df6572e3,d5d55e70430d656718d4773c18532ddbf72df50b4bdfdc787e7a792ad9d008fd,selection,True
20,fe3bdea2ee13d62d9e88ef0b50f25043ea48c2f7e4bf3d5ef80d9085aec62ab9,5ae6eb1c5f73112e7a770ca36b16f57913efdca660b00c741924674276e800e1,selection,True
21,80c3b88520861a93e0b7926b299aaeda9241881792260745091994bb317b025c,f2c74cc9e73be95ea25a42223fce171153aa657db59987d5ff526dfbbbb51c83,selection,True
22,26842be9f32069a20d29e3a282b684c0a0db70f6c3c34a192b6be2445a194e29,7713eb1abde30a722418c1c189ec85efdf93b4debaa636e64e65c185c4b1c586,selection,True
23,329d72babf5f88617fc0ec4b4ffd8c1076014a5341239765580b24f5c427c13d,8f30c3b914a288b575f00fab944584741916549994f9d4215c44cfeed933dcd9,train,True
24,a1f2005b3ae6f1bd957dcbc384263dd7c6b5cf92e0dccd79a811d163badad8d7,61ceded1a242d13dd1797e0818e41f0878440b5ecdc74a0d816c02634ee272e4,train,True
25,4ba811f7d4bafe11ae80499bc3cbac6ca846260f7409a4752462bf01363e58df,104c1c4f9708de3746c8eb541b7a81fb71c6d0beff1d4819bb0c9a862f7c749f,train,True
26,3e01d0a2130ca72399731e35c4ea3f4c4be6c4f240da25354c69f6a1ce3234f3,0eab5ccfe64642eee2fb62b74e2a610590a244fbcfb3105e08b5677f1cf46727,train,True
27,dc5af5d05ce0631f2e365742b5edfeeeeec680e2c29ce1784d027135f2c516ea,cec25d93351f9425aa4311b4a7ab876faf4528a1fddba1ce3873a4fa36685112,train,True
28,8fe5a1923efeba787561e16d2fa1b2b8dc38a0b3d0c058372607ab1a0066c7cf,81a35876e3cfd1102aa4f9ba95fb3f61799ae6a0f695d450f2d0fdba353df623,final,True
